,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
1136,AVwckQhv_7pvs4fzwhpf,Pizza Place,Accommodation & Food Services,Berkeley,RU,"USD,RUB",,Two Topping Pizza,La Vals,0,25,CA,219,219,219
1137,AVwckQhv_7pvs4fzwhpf,Pizza Place,Accommodation & Food Services,Berkeley,RU,"USD,RUB",,Three Or More Topping Pizza,La Vals,0,25,CA,219,219,219
1138,AVwc7s1wIN2L1WUfqehD,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,RU,"USD,RUB",,Three Cheese Pizza,Domenicos Jr,0,25,CA,219,219,219
1139,AVwc7s1wIN2L1WUfqehD,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,RU,"USD,RUB",Topped with mozzarellaampcomma feta and ricotta,Three Cheese Pizza,Domenicos Jr,0,25,CA,219,219,219
1140,AVwc7s1wIN2L1WUfqehD,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,RU,"USD,RUB",Includes 1 toppingampcomma additional toppings for 075 each,Pizza Sandwich,Domenicos Jr,0,25,CA,219,219,219
1141,AVwcsjkFIN2L1WUfn4dB,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",Accommodation & Food Services,Milpitas,RU,"USD,RUB",,Cheese Pizza,Pizza Box,0,25,CA,219,219,219
1142,AVwdE0JU_7pvs4fz2AYn,Pizza Place,Accommodation & Food Services,Glendale,RU,"USD,RUB",,Supreme Pizza,Pizza Boy,0,25,CA,219,219,219
1143,AVwdxVzvkufWRAb59G2Q,"Pizza,Italian Restaurant,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Riverside,RU,"USD,RUB",,Bbq Chicken Pizza,Romanos Chicago Pizzeria,0,25,CA,219,219,219
1144,AWEHynBaIxWefVJwwZfg,Pizza Place,Accommodation & Food Services,Arcadia,RU,"USD,RUB",,Pizza Dough Sticks,Alex DiPeppes,0,25,CA,219,219,219
1145,AVwejfkbIN2L1WUf6CVf,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Alameda,RU,"USD,RUB",Pesto sauce pesto chicken and spinach,Good Boy Pizza Gluten Free,Bowzers Pizza,0,25,CA,219,219,219
