,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
7562,AVweELF0ByjofQCxu91y,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Denver,RU,"USD,RUB",,Plain Pizza 24'',Cosmos Pizza,0,25,CO,35,35,35
7563,AVweELF0ByjofQCxu91y,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Denver,RU,"USD,RUB",,Plain Pizza 16'',Cosmos Pizza,0,25,CO,35,35,35
7564,AWEXWit5IxWefVJwxsOY,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Alamosa,RU,"USD,RUB",,"14"" Large Cheese Pizza",SLV Pizza Company,25,40,CO,35,35,35
7565,AVwdkogvIN2L1WUfxIul,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",Cherry pie filling topped with strudel and icingampcomma baked on our medium pizza dough Feeds 24 people,Cherry Dessert Pizza,Krazy Karls Pizza,0,25,CO,35,35,35
7566,AWEXPm133-Khe5l_fUiw,"Brewery,Pizza Place",Accommodation & Food Services,Salida,RU,"USD,RUB",,French Pizza,Amicas Wood Fired Pizza Microbrews,0,25,CO,35,35,35
7567,AWEXPm133-Khe5l_fUiw,"Brewery,Pizza Place",Accommodation & Food Services,Salida,RU,"USD,RUB",,Pizza Special,Amicas Wood Fired Pizza Microbrews,0,25,CO,35,35,35
7568,AWEXPm133-Khe5l_fUiw,"Brewery,Pizza Place",Accommodation & Food Services,Salida,RU,"USD,RUB",,Pizza Al Pesto,Amicas Wood Fired Pizza Microbrews,0,25,CO,35,35,35
7569,AWEXPm133-Khe5l_fUiw,"Brewery,Pizza Place",Accommodation & Food Services,Salida,RU,"USD,RUB",,"9"" Breakfast Pizza (Gluten Free Option Available Add $4.50)",Amicas Wood Fired Pizza Microbrews,0,25,CO,35,35,35
7570,AVwcfuU6IN2L1WUflk3y,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Durango,RU,"USD,RUB",,18'' Pizza,Diorios South Pizza,0,25,CO,35,35,35
7571,AVwcfuU6IN2L1WUflk3y,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Durango,RU,"USD,RUB",,Pan Style Deep Dish Pizza,Diorios South Pizza,0,25,CO,35,35,35
7572,AVwcfuU6IN2L1WUflk3y,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Durango,RU,"USD,RUB",,14'' Pizza,Diorios South Pizza,0,25,CO,35,35,35
7573,AVzA90J0LD2H7whiWH5E,Pizza Place,Accommodation & Food Services,Aurora,RU,"USD,RUB",,Slice Cheese Pizza,Lubos New York Pizza,0,25,CO,35,35,35
7574,AWEIIPoJa4HuVbedL0Jq,"Beer Garden,Pizza Place",Retail,Broomfield,RU,"USD,RUB",,Create Your Own Made to Order Pizza,Double Ds Sourdough Pizzeria and Taphouse,0,25,CO,35,35,35
7575,AWEIIPoJa4HuVbedL0Jq,"Beer Garden,Pizza Place",Retail,Broomfield,RU,"USD,RUB",,Create Your Own Made to Order Pizza,Double Ds Sourdough Pizzeria and Taphouse,0,25,CO,35,35,35
7576,AWEIIPoJa4HuVbedL0Jq,"Beer Garden,Pizza Place",Retail,Broomfield,RU,"USD,RUB",,Create Your Own Made to Order Pizza,Double Ds Sourdough Pizzeria and Taphouse,0,25,CO,35,35,35
7577,AVwc69EkIN2L1WUfqWXt,"Pizza Place,Pizza Place Downtown Fort Collins",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,Create Your Own Pizza,Cozzolas Pizza Old Town,0,25,CO,35,35,35
7578,AVwc69EkIN2L1WUfqWXt,"Pizza Place,Pizza Place Downtown Fort Collins",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,Jackie's White Pizza,Cozzolas Pizza Old Town,0,25,CO,35,35,35
7579,AVwc69EkIN2L1WUfqWXt,"Pizza Place,Pizza Place Downtown Fort Collins",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,Create Your Own Pizza,Cozzolas Pizza Old Town,0,25,CO,35,35,35
7580,AVwc69EkIN2L1WUfqWXt,"Pizza Place,Pizza Place Downtown Fort Collins",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,Pizza Sauce,Cozzolas Pizza Old Town,0,25,CO,35,35,35
7581,AVwciF2fkufWRAb5wNWL,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Littleton,RU,"USD,RUB",,Sicilian Cheese Pizza Slices,Big Bills NY Pizza,25,40,CO,35,35,35
7582,AVwciF2fkufWRAb5wNWL,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Littleton,RU,"USD,RUB",,Neopolitan Combo Pizza Slices,Big Bills NY Pizza,25,40,CO,35,35,35
7583,AVwciF2fkufWRAb5wNWL,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Littleton,RU,"USD,RUB",,Sicilian Thick Square Party Pizza,Big Bills NY Pizza,25,40,CO,35,35,35
7584,AVwciF2fkufWRAb5wNWL,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Littleton,RU,"USD,RUB",,Neopolitan Cheese Pizza Slices,Big Bills NY Pizza,25,40,CO,35,35,35
7585,AVwciF2fkufWRAb5wNWL,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Littleton,RU,"USD,RUB",,Sicilian Combo Pizza Slices,Big Bills NY Pizza,25,40,CO,35,35,35
7586,AVzX6eHC3D1zeR_xBpcj,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Englewood,RU,"USD,RUB",,New! Build Your Own Pizza,Mangia Bevi Cafe,0,25,CO,35,35,35
7587,AVzX6eHC3D1zeR_xBpcj,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Englewood,RU,"USD,RUB",,Uncle Frank's Pizzamaestro,Mangia Bevi Cafe,0,25,CO,35,35,35
7588,AVzX6eHC3D1zeR_xBpcj,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Englewood,RU,"USD,RUB",,New! Chicken Caesar Salad Pizza,Mangia Bevi Cafe,0,25,CO,35,35,35
7589,AVzX6eHC3D1zeR_xBpcj,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Englewood,RU,"USD,RUB",,Margherita Pizza,Mangia Bevi Cafe,0,25,CO,35,35,35
7590,AVwcqDg0_7pvs4fzxiIP,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,"12"" Cheese Pizza",Pablo's Pizza,0,25,CO,35,35,35
7591,AVwcqDg0_7pvs4fzxiIP,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Fort Collins,RU,"USD,RUB",,Specialty Pizza,Pablo's Pizza,0,25,CO,35,35,35
7592,AVwdQho1IN2L1WUft6Jx,"wholesale,Pizza Place","Wholesale Trade,Accommodation & Food Services",Parker,RU,"USD,RUB","Garlic butter, bacon, ham or sausage, eggs, onions, green peppers, mushrooms",Breakfast Pizza,Tontis Pizza,0,25,CO,35,35,35
7593,AVwdQho1IN2L1WUft6Jx,"wholesale,Pizza Place","Wholesale Trade,Accommodation & Food Services",Parker,RU,"USD,RUB",,Two Topping Pizza,Tontis Pizza,0,25,CO,35,35,35
7594,AWEXJZGwIxWefVJwxl1f,Pizza Place,Accommodation & Food Services,Denver,RU,"USD,RUB",,Pizza Margherita,Protos PizzaDenver,25,40,CO,35,35,35
7595,AWEmrTEra4HuVbedNNaN,Pizza Place,Accommodation & Food Services,Cañon City,RU,"USD,RUB",,Add to Large Pizzas,Papa Johns Pizza,0,25,CO,35,35,35
7596,AWEmrTEra4HuVbedNNaN,Pizza Place,Accommodation & Food Services,Cañon City,RU,"USD,RUB",,Medium Pizza Offers,Papa Johns Pizza,0,25,CO,35,35,35
7597,AWEM_DCeRxPSIh2RrmBI,"Pizza Place,Restaurants",Accommodation & Food Services,Lone Tree,RU,"USD,RUB",,The Original Bbq Chicken Pizza,California Pizza Kitchen,25,40,CO,35,35,35
7598,AWEM_DCeRxPSIh2RrmBI,"Pizza Place,Restaurants",Accommodation & Food Services,Lone Tree,RU,"USD,RUB",,The Original Bbq Chicken Pizza,California Pizza Kitchen,25,40,CO,35,35,35
7599,AVwcvsasByjofQCxhtzV,"Pizza,American Restaurants,Restaurant,Pizza Restaurants,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Denver,RU,"USD,RUB","Olive oil, tomatoes, roasted garlic, fresh basil, oregano.",Half Margheritah Eata Pizza,Pie Hole,1,24,CO,35,35,35
7600,AVwcqodhByjofQCxg1vC,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Boulder,RU,"USD,RUB",,Plain Pizza,Cosmos Pizza,0,25,CO,35,35,35
7601,AVwcqodhByjofQCxg1vC,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Boulder,RU,"USD,RUB",,16 Inch Large Pizza,Cosmos Pizza,0,25,CO,35,35,35
7602,AVzdA4ItLD2H7whiXBBb,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Castle Rock,RU,"USD,RUB",,Any Large Pizza,Papa John's Pizza,0,25,CO,35,35,35
7603,AVwcuoXxkufWRAb5yYWJ,"Pizza,Carry-out food,Pizza Place,Restaurants",Accommodation & Food Services,Castle Rock,RU,"USD,RUB",,Add To Large Pizzas,Papa John's Pizza,0,25,CO,35,35,35
7604,AWEw4iRORxPSIh2RsYJK,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Pagosa Springs,RU,"USD,RUB",,Pizza Nuggets,Pagosa Peaks Pizza,0,25,CO,35,35,35
7605,AVwdYnY5IN2L1WUfvQGs,"Restaurant,Pizza Place",Accommodation & Food Services,Denver,RU,"USD,RUB",,16ampquot New York Style Cheese Pizza,ZaZas Pizzeria,0,25,CO,35,35,35
7606,AVwdYnY5IN2L1WUfvQGs,"Restaurant,Pizza Place",Accommodation & Food Services,Denver,RU,"USD,RUB",,Stuffed Pizza,ZaZas Pizzeria,0,25,CO,35,35,35
7607,AWENDEJuIxWefVJwxPXo,Pizza Place,Accommodation & Food Services,Glenwood Springs,RU,"USD,RUB",,Pb & J Pizza,Russos Ny Pizza,0,25,CO,35,35,35
7608,AWENDEJuIxWefVJwxPXo,Pizza Place,Accommodation & Food Services,Glenwood Springs,RU,"USD,RUB",,Pizza Dog,Russos Ny Pizza,0,25,CO,35,35,35
7609,AWENDEJuIxWefVJwxPXo,Pizza Place,Accommodation & Food Services,Glenwood Springs,RU,"USD,RUB",,10.5 Inch Pizza,Russos Ny Pizza,0,25,CO,35,35,35
7610,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Creamy garlic sauce mozzarella chicken Roma tomatoes green onions and herb and cheese blend on a gluten free crust,Medium Chicken Garlic Gluten Free Crust Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7611,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage mushrooms olives and herb and cheese blend Recommended on an original crust,Cowboy Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7612,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Sweet chili sauce mozzarella chicken zucchini mixed onions and crushed red pepper Recommended on a thin crust,Thai Chicken Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7613,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage ground beef mushrooms mixed onions green peppers and olives Recommended on an original crust,Papa39s Favorite Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7614,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",,ChicagoStyle Stuffed Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7615,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage ground beef mushrooms mixed onions green peppers and olives on a gluten free crust,Medium Papa39s Favorite Gluten Free Crust Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
7616,AVwcmgKi_7pvs4fzw7E3,"Restaurant,Pizza Place",Accommodation & Food Services,Boulder,RU,"USD,RUB",Creamy garlic sauce mozzarella spicy fennel sausage sundried tomatoes mushrooms spinach and Parmesan on a gluten free crust,Medium Spicy Fennel Sausage Gluten Free Crust Pizza Baking Required,Papa Murphy's,0,25,CO,35,35,35
