,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
2522,AVwcvnln_7pvs4fzyfqZ,Pizza Place,Accommodation & Food Services,Tallahassee,RU,"USD,RUB",,Pizza,Brickyard Pizza,0,25,FL,145,145,145
2523,AVwcvnln_7pvs4fzyfqZ,Pizza Place,Accommodation & Food Services,Tallahassee,RU,"USD,RUB",,Pizza,Brickyard Pizza,0,25,FL,145,145,145
2524,AVwdixeC_7pvs4fz67Pw,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,RU,"USD,RUB",pizza sauce pepperoni and mozzarella cheese,Pizza Sub,Hungry Howies Pizza,0,25,FL,145,145,145
2525,AVwdixeC_7pvs4fz67Pw,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,RU,"USD,RUB",,1 Topping Pizza,Hungry Howies Pizza,0,25,FL,145,145,145
2526,AVwdixeC_7pvs4fz67Pw,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,RU,"USD,RUB",,Plue 2 liter Soda with 2ampcomma Pizza,Hungry Howies Pizza,0,25,FL,145,145,145
2527,AVwdixeC_7pvs4fz67Pw,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,DeLand,RU,"USD,RUB",2nd pizza of equal or lesser value,Each 2nd Pizza,Hungry Howies Pizza,0,25,FL,145,145,145
2528,AVwcjjQ4kufWRAb5weHv,"Restaurant,Pizza Place",Accommodation & Food Services,Jacksonville,RU,"USD,RUB",carry out plus taxes,Large 3 Topping Pizza,Little Caesars Pizza,0,25,FL,145,145,145
2529,AVwdtJCD_7pvs4fz8g3-,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Orlando,RU,"USD,RUB",,Build You Own Pizza,Famas Ristorante,25,40,FL,145,145,145
2530,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,Spinach On Pizza Bianca,Papa Joes,0,25,FL,145,145,145
2531,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,Personal Pizza (per Topping),Papa Joes,0,25,FL,145,145,145
2532,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,Pizza By the Slice,Papa Joes,0,25,FL,145,145,145
2533,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,Personal Pizza (Per Topping),Papa Joes,0,25,FL,145,145,145
2534,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,White (pizza Bianca),Papa Joes,0,25,FL,145,145,145
2535,AVweEGB3kufWRAb5_r4w,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,Pizza By The Slice,Papa Joes,0,25,FL,145,145,145
2536,AVwdygg6kufWRAb59RSK,Pizza Place,Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB",,White Pizza,Specialty Pizza Express,0,25,FL,145,145,145
2537,AVwdygg6kufWRAb59RSK,Pizza Place,Accommodation & Food Services,Altamonte Springs,RU,"USD,RUB","A layer of olive oil, crushed garlic, fresh handpicked basil and topped with sliced vine ripe tomatoes and our mozzarella i romano i parmesan cheese blend plus two free toppings",White Pizza,Specialty Pizza Express,0,25,FL,145,145,145
2538,AVwcsi_EByjofQCxhLRo,Pizza Place,Accommodation & Food Services,Orlando,RU,"USD,RUB",,White Pizza,Elegante Market,0,25,FL,145,145,145
2539,AVwcsfet_7pvs4fzx9tu,Pizza Place,Accommodation & Food Services,Port Richey,RU,"USD,RUB",Served with french fries,Kids Pizza,Alpha Pizza,0,25,FL,145,145,145
