,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
9296,AVwctrN8ByjofQCxhXcc,Pizza Place,Accommodation & Food Services,Belleville,RU,"USD,RUB","We top our crust with our alfredo sauce and layer on chicken, mushrooms, bacon, onions, and diced fresh tomatoes.",Alfredo Pizza,Papa Vitos Pizza,0,25,IL,111,111,111
9297,AVwctrN8ByjofQCxhXcc,Pizza Place,Accommodation & Food Services,Belleville,RU,"USD,RUB",,Pizza Rolls,Papa Vitos Pizza,0,25,IL,111,111,111
9298,AVzsxs4MLD2H7whiX1yU,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Waterloo,RU,"USD,RUB",,Cheese Pizza,Papa Vito's Pizza,0,25,IL,111,111,111
9299,AVwc_nqo_7pvs4fz1JOb,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Orland Park,RU,"USD,RUB",,"Pizza, Pop, Salad, Bread and Butter",Traversos Pizza Restaurant,0,25,IL,111,111,111
9300,AVwdd50i_7pvs4fz6MRM,Pizza Place,Accommodation & Food Services,Chicago,RU,"USD,RUB",,Daily Special Gourmet Margherita Pizza,Lonnies Pizzeria,0,25,IL,111,111,111
9301,AVwcrTax_7pvs4fzxwrx,"Pizza,Restaurant,Pizza Place,Food & Entertainment,Restaurants",Accommodation & Food Services,Hoffman Estates,RU,"USD,RUB",Homemade,Pizza Pocket,Sir Nicks Pizza,0,25,IL,111,111,111
9302,AVwcnyOs_7pvs4fzxKQG,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Chicago,RU,"USD,RUB",,Pan Cheese Pizza,Lucky Vitos Pizzeria,25,40,IL,111,111,111
9303,AVwcnyOs_7pvs4fzxKQG,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Chicago,RU,"USD,RUB",,Half and Half Pan Cheese Pizza,Lucky Vitos Pizzeria,25,40,IL,111,111,111
9304,AVwcnyOs_7pvs4fzxKQG,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Chicago,RU,"USD,RUB",,Half and Half Stuffed Cheese Pizza,Lucky Vitos Pizzeria,25,40,IL,111,111,111
9305,AV1tfliP3-Khe5l_OkJX,"Restaurant,Pizza Place",Accommodation & Food Services,Saint Charles,RU,"USD,RUB",,"Individual 6"" Cheese Stuffed Deep Dish Pizza",Giordanos,0,25,IL,111,111,111
9306,AV1tfliP3-Khe5l_OkJX,"Restaurant,Pizza Place",Accommodation & Food Services,Saint Charles,RU,"USD,RUB",,"Individual 6"" Pepperoni Stuffed Deep Dish Pizza",Giordanos,0,25,IL,111,111,111
9307,AVwcp4QyIN2L1WUfnaTP,Pizza Place,Accommodation & Food Services,Chicago,RU,"USD,RUB",,Pizza,Petes Pizzeria 2,0,25,IL,111,111,111
9308,AVwcj4olByjofQCxfn-e,"Bar,Pub, Pizza Place, and Bar,Pizza Place,Pub",Accommodation & Food Services,Wauconda,RU,"USD,RUB",,The Jj Twig or Mexican Pizza,JJ Twigs Pizza Pub,0,25,IL,111,111,111
9309,AV47MjhF3-Khe5l_ShDZ,"Pizza Place,Catering,Restaurants",Accommodation & Food Services,Fairview Heights,RU,"USD,RUB",,Cheesy Pizza Sticks,Johnnys Pizza Pasta,0,25,IL,111,111,111
9310,AV47MjhF3-Khe5l_ShDZ,"Pizza Place,Catering,Restaurants",Accommodation & Food Services,Fairview Heights,RU,"USD,RUB",,Blt Pizza,Johnnys Pizza Pasta,0,25,IL,111,111,111
9311,AVwdCcNNkufWRAb51psq,"Pizza,Restaurant,Pizza Restaurants,Pizza Place,Pizza Place Park West,Restaurants",Accommodation & Food Services,Chicago,RU,"USD,RUB",,14ampquot Deluxe Sicilian Pizza,Cafe Luigi,0,25,IL,111,111,111
9312,AVwdCcNNkufWRAb51psq,"Pizza,Restaurant,Pizza Restaurants,Pizza Place,Pizza Place Park West,Restaurants",Accommodation & Food Services,Chicago,RU,"USD,RUB",Fresh tomato mushrooms onion green peppers spinach ans olives,Vegetarian Stuffed Pizza Slice,Cafe Luigi,0,25,IL,111,111,111
9313,AVwdCcNNkufWRAb51psq,"Pizza,Restaurant,Pizza Restaurants,Pizza Place,Pizza Place Park West,Restaurants",Accommodation & Food Services,Chicago,RU,"USD,RUB",,Cheese Pizza Slice,Cafe Luigi,0,25,IL,111,111,111
