,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
1018,AVwdaeTtkufWRAb55pSH,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,RU,"USD,RUB",,Pizza Sub,Spartan Pizzeria,0,25,MD,32,32,32
1019,AVwdaeTtkufWRAb55pSH,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,RU,"USD,RUB",,White Pizza,Spartan Pizzeria,0,25,MD,32,32,32
1020,AVwctBI5kufWRAb5yHR6,"Rock Club,Pizza Place and Rock Club Charles North,Pizza Place and Rock Club,Pizza Place",Accommodation & Food Services,Baltimore,RU,"USD,RUB",,Wbs Pizza (Writers in Baltimore Schools),Joe Squared Pizza Bar,25,40,MD,32,32,32
1021,AVwdXk9AIN2L1WUfvFro,Pizza Place,Accommodation & Food Services,Elkton,RU,"USD,RUB",,Buffalo Chicken Pizza,Pats Pizzeria,0,25,MD,32,32,32
1022,AVwdXk9AIN2L1WUfvFro,Pizza Place,Accommodation & Food Services,Elkton,RU,"USD,RUB",,Cheese Steak Pizza,Pats Pizzeria,0,25,MD,32,32,32
1023,AVwdXk9AIN2L1WUfvFro,Pizza Place,Accommodation & Food Services,Elkton,RU,"USD,RUB",,White Pizza With Ricotta,Pats Pizzeria,0,25,MD,32,32,32
1024,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,Bacon Cheeseburger Pizza,Bello Vitos,0,25,MD,32,32,32
1025,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,"16"" Cheese Pizza",Bello Vitos,0,25,MD,32,32,32
1026,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,Pizza Turnover,Bello Vitos,0,25,MD,32,32,32
1027,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,Pizza By The Slice,Bello Vitos,0,25,MD,32,32,32
1028,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,Slice of Pizza,Bello Vitos,0,25,MD,32,32,32
1029,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,White Pizza,Bello Vitos,0,25,MD,32,32,32
1030,AVwdIj1u_7pvs4fz2mEk,Pizza Place,Accommodation & Food Services,Essex,RU,"USD,RUB",,Pizza By the Slice,Bello Vitos,0,25,MD,32,32,32
