,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
8474,AVzxoJIc3D1zeR_xCxzY,"Bar,Pizza Place",Accommodation & Food Services,Saint Paul,RU,"USD,RUB",,Glutenfree Pizza,Adagios Lounge,0,25,MN,23,23,23
8475,AVweMgYH_7pvs4fzA4Is,"Pizza,Italian Restaurant,wich Place,Pizza Place,Sandwich Place,Restaurants",Accommodation & Food Services,Eden Prairie,RU,"USD,RUB",,Pizza,Davannis Pizza and Hot Hoagies,25,40,MN,23,23,23
8476,AWEM9JhS3-Khe5l_e7ll,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB",,Bambini (Kids Pizza),Punch Neapolitan Pizza,25,40,MN,23,23,23
8477,AVwcmVti_7pvs4fzw5A2,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB","4 slices of Vienna bread topped with our own distinctive ssauce, pepperoni, and melted cheese.",Pepperoni Pizza Bread,Carbones Pizza,25,40,MN,23,23,23
8478,AVwcmVti_7pvs4fzw5A2,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB",,Cheese Burger Pizza,Carbones Pizza,25,40,MN,23,23,23
8479,AVwcmVti_7pvs4fzw5A2,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB","Our pizza sauce with hamburger, black olives, onions, mozzarella cheese, taco chips covered with lettuce and tomatoes and a side of taco sauce.",Taco Pizza,Carbones Pizza,25,40,MN,23,23,23
8480,AVwcmVti_7pvs4fzw5A2,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB",,Pizza Fries,Carbones Pizza,25,40,MN,23,23,23
8481,AVwcmVti_7pvs4fzw5A2,Pizza Place,Accommodation & Food Services,Saint Paul,RU,"USD,RUB","Hamburger, onions, pickles and extra cheese.",Cheese Burger Pizza,Carbones Pizza,25,40,MN,23,23,23
8482,AV1wDfyFa4HuVbed8f1e,"Pizza,Pizza Place",Accommodation & Food Services,Andover,RU,"USD,RUB",,Specialty Pizza,5 Pizza,0,25,MN,23,23,23
8483,AV1wDfyFa4HuVbed8f1e,"Pizza,Pizza Place",Accommodation & Food Services,Andover,RU,"USD,RUB",,1 Topping Pizza,5 Pizza,0,25,MN,23,23,23
8484,AWMaIedy3-Khe5l_iAhu,Pizza Place,Accommodation & Food Services,New Prague,RU,"USD,RUB",,Desset Pizza,Carbones Pizza Sports Bar New Prague,0,25,MN,23,23,23
8485,AWMaIedy3-Khe5l_iAhu,Pizza Place,Accommodation & Food Services,New Prague,RU,"USD,RUB",,Carbone's Pizza Sticks,Carbones Pizza Sports Bar New Prague,0,25,MN,23,23,23
8486,AWMaIedy3-Khe5l_iAhu,Pizza Place,Accommodation & Food Services,New Prague,RU,"USD,RUB",,Breakfast Pizza,Carbones Pizza Sports Bar New Prague,0,25,MN,23,23,23
8487,AWMaIedy3-Khe5l_iAhu,Pizza Place,Accommodation & Food Services,New Prague,RU,"USD,RUB",,Buffalo Chicken Pizza Sticks,Carbones Pizza Sports Bar New Prague,0,25,MN,23,23,23
8488,AVwc__g__7pvs4fz1NdQ,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Saint Paul,RU,"USD,RUB",,Pizza Man Deluxe,Pizza Man,0,25,MN,23,23,23
8489,AVwdalfokufWRAb55qYh,"Pizza,Pizza Place Downtown West,Pizza Place,Bakeries,Restaurants",Accommodation & Food Services,Minneapolis,RU,"USD,RUB",,Gyro Pizza,Mamas Bakery Pizza Salad Bar,0,25,MN,23,23,23
8490,AVwdalfokufWRAb55qYh,"Pizza,Pizza Place Downtown West,Pizza Place,Bakeries,Restaurants",Accommodation & Food Services,Minneapolis,RU,"USD,RUB",With Alfredo sauce.,Cheese Pizza,Mamas Bakery Pizza Salad Bar,0,25,MN,23,23,23
8491,AVwdPb_QIN2L1WUftt0u,"Pizza,Pizza Place",Accommodation & Food Services,Shakopee,RU,"USD,RUB",,Pizza,Pizza N Pasta Shakopee,0,25,MN,23,23,23
8492,AVwdPb_QIN2L1WUftt0u,"Pizza,Pizza Place",Accommodation & Food Services,Shakopee,RU,"USD,RUB",Made with pepperoni smothered in mozzarella cheese and pizza sauce.,Pizza,Pizza N Pasta Shakopee,0,25,MN,23,23,23
8493,AVwc5Xql_7pvs4fz0Hwg,Pizza Place,Accommodation & Food Services,Rosemount,RU,"USD,RUB",,Kids Pizza Buffet,Carbones Pizza Pub,0,25,MN,23,23,23
8494,AVwc5Xql_7pvs4fz0Hwg,Pizza Place,Accommodation & Food Services,Rosemount,RU,"USD,RUB",,Taco Pizza,Carbones Pizza Pub,0,25,MN,23,23,23
8495,AVwdddveByjofQCxpWPA,"Pizza Place,Catering,Restaurants",Accommodation & Food Services,Rochester,RU,"USD,RUB",,Slice of Pizza and Pop Combos (One Slice and Small Pop),Mr Pizza North,0,25,MN,23,23,23
8496,AVwdXFrjByjofQCxoTeQ,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Rochester,RU,"USD,RUB",,Kids Pizza,Pi Pizza,0,25,MN,23,23,23
8497,AVwc2ynIByjofQCxi72P,"Restaurant,Pizza Place",Accommodation & Food Services,Saint Paul,RU,"USD,RUB",Lamb tomatoes white onions and cucumber sauce Our crust is hand tossed and slowly fermented following the traditions of European artisan bread,Gyro Pizza,Grand Pizza,0,25,MN,23,23,23
8498,AVwc2ynIByjofQCxi72P,"Restaurant,Pizza Place",Accommodation & Food Services,Saint Paul,RU,"USD,RUB",Garlic sauce with mozzarella topped with lettuce red onion and chicken tossed in ranch Buffalo sauce Our crust is hand tossed and slowly fermented following the traditions of European artisan bread,Buffalo Chicken Salad Pizza,Grand Pizza,0,25,MN,23,23,23
