,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
3608,AVwcr0iskufWRAb5x6lr,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Raleigh,RU,"USD,RUB",,"15"" Plain Cheese Pizza",Tonys Pizza,0,25,NC,62,62,62
3609,AVweUktQByjofQCxxMCG,"Restaurant,Pizza Place Brice Street Area,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Loaded with extra cheeseampcomma pepperoni ampamp sauce,Pizza Sub,Hungry Howies Pizza,25,40,NC,62,62,62
3610,AVweUktQByjofQCxxMCG,"Restaurant,Pizza Place Brice Street Area,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Pepperoniampcomma beefampcomma hamampcomma sausage and mozzarella cheese,Meat Eater Pizza,Hungry Howies Pizza,25,40,NC,62,62,62
3611,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB","Veal scaloppine sauteed in olive oil with fresh mushrooms, capers, olives and marinara sauce.",Vitello Alla Pizzaiola,Angelas Italian Restaurant,0,25,NC,62,62,62
3612,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza with Meatballs,Angelas Italian Restaurant,0,25,NC,62,62,62
3613,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza with Fresh Garlic,Angelas Italian Restaurant,0,25,NC,62,62,62
3614,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza with Onions,Angelas Italian Restaurant,0,25,NC,62,62,62
3615,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza with Ham,Angelas Italian Restaurant,0,25,NC,62,62,62
3616,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Black Olives,Angelas Italian Restaurant,0,25,NC,62,62,62
3617,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Pineapple,Angelas Italian Restaurant,0,25,NC,62,62,62
3618,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Sausage,Angelas Italian Restaurant,0,25,NC,62,62,62
3619,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Green Peppers,Angelas Italian Restaurant,0,25,NC,62,62,62
3620,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB","Ricotta, mozzarella and fresh garlic.",White Pizza,Angelas Italian Restaurant,0,25,NC,62,62,62
3621,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Anchovies,Angelas Italian Restaurant,0,25,NC,62,62,62
3622,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza with Mushrooms,Angelas Italian Restaurant,0,25,NC,62,62,62
3623,AVwckJ-gkufWRAb5wlE8,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Charlotte,RU,"USD,RUB",,New York Style Pizza With Onions,Angelas Italian Restaurant,0,25,NC,62,62,62
3624,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,Stuffed Veggie Pizza,Slice Of NY Pizza,0,25,NC,62,62,62
3625,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,Meat Lover's Pizza,Slice Of NY Pizza,0,25,NC,62,62,62
3626,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,"Sicilian Pizza 16""X16"" (Thick and Square)",Slice Of NY Pizza,0,25,NC,62,62,62
3627,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,Primavera Pizza,Slice Of NY Pizza,0,25,NC,62,62,62
3628,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,Bbq Chicken Pizza,Slice Of NY Pizza,0,25,NC,62,62,62
3629,AWE7Vi9Ma4HuVbedNcLJ,Pizza Place,Accommodation & Food Services,Raleigh,RU,"USD,RUB",,Original Ny Cheese Pizza,Slice Of NY Pizza,0,25,NC,62,62,62
3630,AVwdMqWBByjofQCxmiZ3,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Wake Forest,RU,"USD,RUB",Available only in medium and large,Stuffed Pizza,PTA Pizza Hoagie,0,25,NC,62,62,62
3631,AVwdhvy9_7pvs4fz6xOr,"Pizza,Pizza Place,Restaurants,Bars",Accommodation & Food Services,Oak Ridge,RU,"USD,RUB",,Pizza Pub Special,Bills Pizza Pub,0,25,NC,62,62,62
3632,AVwdhvy9_7pvs4fz6xOr,"Pizza,Pizza Place,Restaurants,Bars",Accommodation & Food Services,Oak Ridge,RU,"USD,RUB",,Pizza,Bills Pizza Pub,0,25,NC,62,62,62
3633,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",Rudinoampaposs sauceampcomma pepperoniampcomma mushroomsampcomma onions and green peppers with homemade blend of mozzarella and provolone cheeses,Super Pizza,Rudinos Pizza Grinders,0,25,NC,62,62,62
3634,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",With homemade blend of mozzarella and provolone cheeses,Slice of Cheese Pizza,Rudinos Pizza Grinders,0,25,NC,62,62,62
3635,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",Pepperoniampcomma pizza sauce and mozzarella and provolone cheeses on freshampcomma homemade white or wheat bread,18ampquot Pizza Grinder,Rudinos Pizza Grinders,0,25,NC,62,62,62
3636,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",BBQ sauceampcomma chickenampcomma pineappleampcomma bacon and onions with homemade blend of mozzarella and provolone cheeses,BBQ Chicken Pizza,Rudinos Pizza Grinders,0,25,NC,62,62,62
3637,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",Pepperoniampcomma pizza sauce and mozzarella and provolone cheeses on freshampcomma homemade white or wheat bread Served with chips,9ampquot Pizza Grinder,Rudinos Pizza Grinders,0,25,NC,62,62,62
3638,AVwcrQrjkufWRAb5x0Nl,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Durham,RU,"USD,RUB",Rudinoampaposs sauceampcomma mushroomsampcomma onionsampcomma green peppers and black olives with homemade blend of mozzarella and provolone cheeses,Vegetarian Delight Pizza,Rudinos Pizza Grinders,0,25,NC,62,62,62
3639,AVwcw_ed_7pvs4fzyuhZ,Pizza Place,Accommodation & Food Services,Cary,RU,"USD,RUB",,The White Pizza,New York Pizza,0,25,NC,62,62,62
3640,AVwcw_ed_7pvs4fzyuhZ,Pizza Place,Accommodation & Food Services,Cary,RU,"USD,RUB",Pick as many toppings as you like for the price of three. please select your pizza size,Pizza (create Your Own),New York Pizza,0,25,NC,62,62,62
3641,AVwcw_ed_7pvs4fzyuhZ,Pizza Place,Accommodation & Food Services,Cary,RU,"USD,RUB","Feta cheese, fresh garlic, black olives, spinach and mozzarella cheese",The Greek Pizza,New York Pizza,0,25,NC,62,62,62
3642,AVwcw_ed_7pvs4fzyuhZ,Pizza Place,Accommodation & Food Services,Cary,RU,"USD,RUB",,Pizza Slices,New York Pizza,0,25,NC,62,62,62
3643,AVwdR7Qw_7pvs4fz4Ner,Pizza Place,Accommodation & Food Services,Cornelius,RU,"USD,RUB","Mushrooms, onions, green peppers, black olives, and mozzarella cheese",Vegetarian Pizza,Bellacinos Pizza Grinders,0,25,NC,62,62,62
3644,AVwdR7Qw_7pvs4fz4Ner,Pizza Place,Accommodation & Food Services,Cornelius,RU,"USD,RUB",,Pizza,Bellacinos Pizza Grinders,0,25,NC,62,62,62
3645,AVwdR7Qw_7pvs4fz4Ner,Pizza Place,Accommodation & Food Services,Cornelius,RU,"USD,RUB",,Pizza By the Slice,Bellacinos Pizza Grinders,0,25,NC,62,62,62
3646,AVwdR7Qw_7pvs4fz4Ner,Pizza Place,Accommodation & Food Services,Cornelius,RU,"USD,RUB","With one item, add 0.35 for each additional item",Pizza By The Slice,Bellacinos Pizza Grinders,0,25,NC,62,62,62
3647,AVwdUTUzIN2L1WUfuiPL,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Spruce Pine,RU,"USD,RUB",,Traditional Pizza,The Pizza Shop Dry County Brewing Company,0,25,NC,62,62,62
3648,AVwdUTUzIN2L1WUfuiPL,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Spruce Pine,RU,"USD,RUB",12 inch base made from our own recipe,Glutenfree Pizza,The Pizza Shop Dry County Brewing Company,0,25,NC,62,62,62
3649,AVwdUTUzIN2L1WUfuiPL,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Spruce Pine,RU,"USD,RUB",A seasoned tomato base topped with our specially blended cheeses,Traditional Pizza,The Pizza Shop Dry County Brewing Company,0,25,NC,62,62,62
3650,AVwdUTUzIN2L1WUfuiPL,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Spruce Pine,RU,"USD,RUB",A base of house made pesto topped with our specially blended cheeses,Pesto Pizza,The Pizza Shop Dry County Brewing Company,0,25,NC,62,62,62
3651,AVzdv3gq3D1zeR_xB_r7,"Bar,Pizza Place",Accommodation & Food Services,Boone,RU,"USD,RUB",,White Or Pesto Pizza,Capones Pizza and Bar,0,25,NC,62,62,62
3652,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",,Cheese Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3653,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Roma tomatoes fresh housemade mozzarella cheese and fresh basil,Margherita Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3654,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Prosciutto mozzarella cheese mushrooms artichoke hearts Kalamata olives and roasted garlic,Rustica Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3655,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Woodroasted chicken tossed in sweet chili sauce with goat and mozzarella cheeses roasted red peppers pistachios and drizzled with Thai satay dressing,Sweet Thai Chicken Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3656,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Roasted butternut squash with a sage pesto base goat cheese and mozzarella cheese drizzled with honey,Roasted Butternut Squash Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3657,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Sliced Asian pear mozzarella cheese Gorgonzola cheese and caramelized onions topped with toasted walnuts,Pear and Gorgonzola Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3658,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Spicy shrimp on a Sriracha base with sundried tomatoes roasted red peppers mozzarella and goat cheeses and garnished with fresh basil,Spicy Shrimp Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3659,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Roma tomatoes mozzarella cheese Kalamata olives red onions feta cheese and topped with fresh basil and balsamic glaze drizzle,Greek Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3660,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Spicy Italian sausage mozzarella cheese prosciutto Gorgonzola cheese tomato sauce and fresh oregano,Bronx Bomber Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
3661,AVzBFgxG-gnIPe8DSjb9,"Restaurant,Bar,Pizza Place",Accommodation & Food Services,Greensboro,RU,"USD,RUB",Woodroasted tomatoes house made mozzarella and goat cheeses with basil pesto,WoodRoasted Tomato Pizza,Brixx Wood Fired Pizza,0,25,NC,62,62,62
