,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
9918,AVwdSIyE_7pvs4fz4Pmr,"Bar,Pizza Place,Pub",Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,Pizza Kid's Meal,Yia Yias,25,40,NE,9,9,9
9919,AVweNlnWIN2L1WUf296j,Pizza Place,Accommodation & Food Services,Sidney,RU,"USD,RUB,BTC",,Slice of Pizza,Sam Louies New York Pizza,0,25,NE,9,9,9
9920,AVweNlnWIN2L1WUf296j,Pizza Place,Accommodation & Food Services,Sidney,RU,"USD,RUB,BTC",,Pizza Package,Sam Louies New York Pizza,0,25,NE,9,9,9
9921,AVweNlnWIN2L1WUf296j,Pizza Place,Accommodation & Food Services,Sidney,RU,"USD,RUB,BTC",,Pizza & Pasta Package,Sam Louies New York Pizza,0,25,NE,9,9,9
9922,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,White Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
9923,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,Classic Cheese Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
9924,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,Jethro Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
9925,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,Bronx Bomber Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
9926,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC",,Classic Cheese Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
9927,AVwc6HnwIN2L1WUfqNI7,Pizza Place,Accommodation & Food Services,Lincoln,RU,"USD,RUB,BTC","Chicken, bacon, mushrooms, smoked gouda on alfredo sauce",White Pizza,Blue Mountain Smokehouse Pizza,0,25,NE,9,9,9
