,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
7929,AVwdmw5ckufWRAb57ikr,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Santa Fe,RU,"USD,RUB",,Pizza Margherita,Il Vicino,0,25,NM,11,11,11
7930,AVwdmw5ckufWRAb57ikr,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Santa Fe,RU,"USD,RUB","Marinara sauce , mozzarella , fresh basil .",Pizza Margherita,Il Vicino,0,25,NM,11,11,11
7931,AVwc-vyskufWRAb51C5E,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",,Pizza Combo,Amore,25,40,NM,11,11,11
7932,AVwc-vyskufWRAb51C5E,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",,Fresca Pizza,Amore,25,40,NM,11,11,11
7933,AVwda5xuByjofQCxo7nG,Pizza Place,Accommodation & Food Services,Santa Fe,RU,"USD,RUB",,Cheese Pizza,Rooftop Pizza,0,25,NM,11,11,11
7934,AVzoOyREFcQ3k02bC6zM,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Carlsbad,RU,"USD,RUB",specialty pizzas include our oneofakind everything monsterampcomma veggie maxampcomma meaty maxampcomma bacon cheeseburgerampcomma taco pizzaampcomma spinach alfredo and chicken fajita,Specialty Pizza,Pizza Inn,0,25,NM,11,11,11
7935,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mushrooms olives mixed onions green peppers and Roma tomatoes on a gluten free crust,Medium Garden Veggie Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7936,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Creamy garlic sauce mozzarella chicken bacon Roma tomatoes and mixed onions topped with Roma tomatoes bacon and a blend of mozzarella and cheddar cheeses,Chicken Bacon Stuffed Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7937,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Make 39n bake pizza kit with an individual original crust red sauce and mozzarella,Mini Murph Cheese Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7938,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mushrooms olives mixed onions green peppers and Roma tomatoes,Garden Veggie Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7939,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Enjoy your own creation on a glutenfree crust topped with everyone39s favorite toppings With this custom madefromscratch pizza even the pickiest of eaters will be happy too,Create Your Own Medium Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7940,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Olive oil and garlic mozzarella chicken spinach sundried tomatoes feta and zesty herbs on a gluten free crust,Medium Herb Chicken Mediterranean Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7941,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Sweet chili sauce mozzarella chicken zucchini mixed onions and crushed red pepper Recommended on a thin crust,Thai Chicken Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7942,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Sweet chili sauce mozzarella chicken zucchini mixed onions and crushed red pepper on a gluten free crust,Medium Thai Chicken Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7943,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage mushrooms olives and herb and cheese blend Recommended on an original crust,Cowboy Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7944,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage ground beef mushrooms mixed onions green peppers and olives on a gluten free crust,Medium Papa39s Favorite Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7945,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella salami pepperoni Italian sausage mushrooms mixed onions and olives Recommended on an original crust,Murphy39s Combo Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7946,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Make 39n bake pizza kit Kit includes an individual original crust red sauce mozzarella and pepperoni,Mini Murph Pepperoni Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7947,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Choose one of our fresh dough options then top your pizza with everyone39s favorite toppings With this custom madefromscratch pizza even the pickiest of eaters will be happy too,Create Your Own Large Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7948,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella and pepperoni Recommended on an original crust,Pepperoni Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7949,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage mushrooms olives and herb and cheese blend on a gluten free crust,Medium Cowboy Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7950,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage ground beef mushrooms mixed onions green peppers and olives Recommended on an original crust,Papa39s Favorite Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7951,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Red sauce mozzarella Canadian bacon pepperoni Italian sausage and bacon topped with ground beef and a blend of mozzarella and cheddar cheeses,5Meat Stuffed Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7952,AVwecuNJ_7pvs4fzDFKa,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",Creamy garlic sauce mozzarella spinach zucchini mushrooms artichoke hearts Roma tomatoes mixed onions and herb and cheese blend on a gluten free crust,Medium Gourmet Vegetarian Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,NM,11,11,11
7953,AVwckMTI_7pvs4fzwg9T,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",,Blt Pizza,Scarpas Brick Oven Pizza,0,25,NM,11,11,11
7954,AVwckMTI_7pvs4fzwg9T,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",,Pizza Margherita,Scarpas Brick Oven Pizza,0,25,NM,11,11,11
7955,AVwckMTI_7pvs4fzwg9T,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",,Cheeseburger Pizza,Scarpas Brick Oven Pizza,0,25,NM,11,11,11
7956,AVwckMTI_7pvs4fzwg9T,"Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,RU,"USD,RUB",This olive oil based pizza is topped with mozzarellaampcomma asiago and feta cheeses with caramelized onions and roma tomatoes,Cheesy Bacon Pizza,Scarpas Brick Oven Pizza,0,25,NM,11,11,11
