,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
328,AVwdRGa9_7pvs4fz4E3K,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Cincinnati,RU,"USD,RUB",a saucelessampcomma double cheese pizza with a garlic accentampcomma served with tomatoes on a sesame seed crust,Pizza Blanca,Mios Pizzeria,0,25,OH,82,82,82
329,AVwczgYSkufWRAb5zNBx,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Johnstown,RU,"USD,RUB",,Pizza Sub,Pizzaburg,0,30,OH,82,82,82
330,AVwcvcBy_7pvs4fzyddm,Pizza Place,Accommodation & Food Services,Youngstown,RU,"USD,RUB",,Make Any Pizza a Supreme with 5 Toppings,Bruno Bros Pizza,0,25,OH,82,82,82
331,AVwcvcBy_7pvs4fzyddm,Pizza Place,Accommodation & Food Services,Youngstown,RU,"USD,RUB",,Make Any Pizza A Supreme With 5 Toppings,Bruno Bros Pizza,0,25,OH,82,82,82
332,AVzBB3_b3D1zeR_xBFDn,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Cleveland,RU,"USD,RUB",,Spinach Pizza,Vicinato Pizzeria,0,25,OH,82,82,82
333,AVwddyaekufWRAb56Lt6,"Restaurant,Pizza Place",Accommodation & Food Services,Lewis Center,RU,"USD,RUB",,Pizza Sub,Tarantos Pizzeria,0,25,OH,82,82,82
334,AVwcrayCkufWRAb5x2Be,"Bar,Pizza Place,Pub",Accommodation & Food Services,Columbus,RU,"USD,RUB",,Buffalo Chicken Pizza,The Pub in Gahanna,0,25,OH,82,82,82
335,AVzoI1XC-gnIPe8DT9XN,"Restaurant,Pizza Place",Accommodation & Food Services,Ravenna,RU,"USD,RUB",Includes broccoliampcomma cauliflowerampcomma onionsampcomma green peppers ampamp mushrooms White or red sauce,Veggie Pizza,Sicilianos,0,25,OH,82,82,82
336,AV0Y4BOZ3D1zeR_xD0Sa,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,West Chester,RU,"USD,RUB",,Pizza By the Slice,Fratellis Pizzeria,0,25,OH,82,82,82
337,AV0Y4BOZ3D1zeR_xD0Sa,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,West Chester,RU,"USD,RUB",,White Pizza,Fratellis Pizzeria,0,25,OH,82,82,82
