,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
3864,AVwdfIbIByjofQCxplnX,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,Pizza Fries,Mikes Pizza,0,25,PA,172,172,172
3865,AWESAELwa4HuVbedMwTP,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Washington Crossing,RU,"USD,RUB",,Nick's Specialty Pizza,Dominicks Pizzeria Italian Restaurant,0,25,PA,172,172,172
3866,AWESAELwa4HuVbedMwTP,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Washington Crossing,RU,"USD,RUB",,Buffalo Wing Pizza,Dominicks Pizzeria Italian Restaurant,0,25,PA,172,172,172
3867,AVzBAZ_fLD2H7whiWJVU,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,RU,"USD,RUB",,Gluten Free Tomato Pie Or Cheese Pizza,Tonys Place Bar and Grille,25,40,PA,172,172,172
3868,AVzBAZ_fLD2H7whiWJVU,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,RU,"USD,RUB",,Tony's Cheese Pizza,Tonys Place Bar and Grille,25,40,PA,172,172,172
3869,AVzBAZ_fLD2H7whiWJVU,"American Restaurant,Pizza Place",Accommodation & Food Services,Warminster,RU,"USD,RUB",,Kids Cheese Pizza,Tonys Place Bar and Grille,25,40,PA,172,172,172
3870,AVzX8tJF3D1zeR_xBpwF,Pizza Place,Accommodation & Food Services,Fort Washington,RU,"USD,RUB",,White Pizza,Lucianis Brick Oven Pizzeria,0,25,PA,172,172,172
3871,AVzX8tJF3D1zeR_xBpwF,Pizza Place,Accommodation & Food Services,Fort Washington,RU,"USD,RUB",,Pizza Fries,Lucianis Brick Oven Pizzeria,0,25,PA,172,172,172
3872,AVzX8tJF3D1zeR_xBpwF,Pizza Place,Accommodation & Food Services,Fort Washington,RU,"USD,RUB",,Pizza Capri,Lucianis Brick Oven Pizzeria,0,25,PA,172,172,172
3873,AVzX8tJF3D1zeR_xBpwF,Pizza Place,Accommodation & Food Services,Fort Washington,RU,"USD,RUB",,Pizza Burger,Lucianis Brick Oven Pizzeria,0,25,PA,172,172,172
3874,AVzBAu6P3D1zeR_xBELj,Pizza Place,Accommodation & Food Services,Lancaster,RU,"USD,RUB",,Pizza Burger Sub,Carusos,0,25,PA,172,172,172
3875,AVwc0N6eIN2L1WUfpNLq,"Pizza,Restaurant,Pizza Restaurants,American,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,Greek Pizza,Station Pizza,0,25,PA,172,172,172
3876,AVwc0N6eIN2L1WUfpNLq,"Pizza,Restaurant,Pizza Restaurants,American,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,Pizza Burger,Station Pizza,0,25,PA,172,172,172
3877,AVwdJIVqkufWRAb52udn,Pizza Place,Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,Plain Pizza,Key Pizza,0,25,PA,172,172,172
3878,AVwdEqgLIN2L1WUfr74E,Pizza Place,Accommodation & Food Services,Morrisville,RU,"USD,RUB",,Pizza Steak,Francos Tomato Pies,0,25,PA,172,172,172
3879,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,1 XLgampcomma Pizzaampcomma 1 Spaghetti With Meatballs Or Sausageampcomma Garden Salad ampamp 12 Liter Soda,Giovannis Pizza,0,25,PA,172,172,172
3880,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",steakampcomma onionsampcomma peppersampcomma mushrooms ampamp pepperoni,Giovannis Special Pizza,Giovannis Pizza,0,25,PA,172,172,172
3881,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",sauce ampamp cheese,Pizza Steak,Giovannis Pizza,0,25,PA,172,172,172
3882,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,2 14ampquot Pizzaampcomma 30 Buffalo Wingsampcomma 2 French Friesampcomma ampamp 12 Liter Soda,Giovannis Pizza,0,25,PA,172,172,172
3883,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,1 16ampquot Pizzaampcomma 20 Buffalo Wingsampcomma 1 French Fries ampamp 12 Liter Soda,Giovannis Pizza,0,25,PA,172,172,172
3884,AVwc1L40kufWRAb5zezY,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,RU,"USD,RUB",,Pizza Fries,Giovannis Pizza,0,25,PA,172,172,172
3885,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3886,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Pizza Fries,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3887,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,White Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3888,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Chicken Ranch Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3889,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Taco Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3890,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Hawaiian Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3891,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,White Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3892,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Barbeque Chicken Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3893,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,White Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3894,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,White Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3895,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Barbeque Chicken Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3896,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Buffalo Chicken Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3897,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Veggie Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3898,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Chicken Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3899,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Cheese Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3900,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Cheese Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3901,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Meat Lover's Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3902,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Ranch Romano Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3903,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Ranch Romano Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3904,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Chicken Ranch Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3905,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,New Taco Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3906,AVzA-pVeFcQ3k02bBalo,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,RU,"USD,RUB",,Buffalo Chicken Pizza,Rosarios Pronto Pizza Italian Restaurant,0,25,PA,172,172,172
3907,AVweeHeH_7pvs4fzDSWW,Pizza Place,Accommodation & Food Services,Avondale,RU,"USD,RUB",,Zeppoli (Pizza Fritta),Bravos Pizza of Avondale,0,25,PA,172,172,172
3908,AVweeHeH_7pvs4fzDSWW,Pizza Place,Accommodation & Food Services,Avondale,RU,"USD,RUB",,Pizza Steak,Bravos Pizza of Avondale,0,25,PA,172,172,172
3909,AVweeHeH_7pvs4fzDSWW,Pizza Place,Accommodation & Food Services,Avondale,RU,"USD,RUB",,White Pizza (3 Cheeses),Bravos Pizza of Avondale,0,25,PA,172,172,172
