,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
3123,AVwc2xOokufWRAb5zu4_,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,El Paso,RU,"USD,RUB",pepperoni or cheese original round no limit carry out plus tax,HotNReady Large Pizza,Little Caesars Pizza,0,25,TX,117,117,117
3124,AVwcoEiNIN2L1WUfnF36,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,RU,"USD,RUB",,Cheese Pizza,Italy Pizza Pasta Subs,25,40,TX,117,117,117
3125,AVwcoEiNIN2L1WUfnF36,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,RU,"USD,RUB",,Supreme Pizza,Italy Pizza Pasta Subs,25,40,TX,117,117,117
3126,AVwcoEiNIN2L1WUfnF36,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,RU,"USD,RUB",,Pizza Topping,Italy Pizza Pasta Subs,25,40,TX,117,117,117
3127,AVwclh80ByjofQCxf7tx,Pizza Place,Accommodation & Food Services,Houston,RU,"USD,RUB",,Kid's Pizza,Milanos Pizzeria Italian Grill,0,25,TX,117,117,117
3128,AVweZbc9ByjofQCxx1kF,"Pizza Place,Restaurants",Accommodation & Food Services,Abilene,RU,"USD,RUB",,Chocolate Chip Pizza,DoubleDaves PizzaWorks,0,25,TX,117,117,117
3129,AVwdLDWXIN2L1WUfs9bR,"Pizza,Restaurant,Italian Restaurant,Pizza Place",Accommodation & Food Services,Beaumont,RU,"USD,RUB",pepperoniampcomma green peppersampcomma onionsampcomma tomatoesampcomma fresh mushroomsampcomma black olives and four cheeses,Lucky 7 Pizza,Mazzios Pizza,0,25,TX,117,117,117
3130,AVzA86JZLD2H7whiWHCH,"Italian Restaurant,Pizza Place",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Pizza Al Formaggio,Luciano Express Rivercenter Mall,25,40,TX,117,117,117
3131,AVzA-H2w-gnIPe8DSfgv,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Austin,RU,"USD,RUB",,Kids Pizza,Mangieris Pizza Cafe,25,40,TX,117,117,117
3132,AVzA-H2w-gnIPe8DSfgv,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Austin,RU,"USD,RUB",,Paesano Pizza Deal,Mangieris Pizza Cafe,25,40,TX,117,117,117
3133,AVzA-H2w-gnIPe8DSfgv,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Austin,RU,"USD,RUB",,Pizza of the Week,Mangieris Pizza Cafe,25,40,TX,117,117,117
3134,AVwdmX5TIN2L1WUfxabz,"Pizza,Restaurant,Pizza Restaurants,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Dallas,RU,"USD,RUB",,"10"" 1 Topping Pizza and Side Salad",Tomato Pie,0,25,TX,117,117,117
3135,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",Alfredo sauce mozzarella cheese spinach mushrooms and grilled chicken,Chicken Alfredo Pizza,Alamo Pizza,0,25,TX,117,117,117
3136,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",6ampquot pizza with choice of 1 topping,Kids Pizza,Alamo Pizza,0,25,TX,117,117,117
3137,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Double Pepperoni Pizza,Alamo Pizza,0,25,TX,117,117,117
3138,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Cheese Pizza,Alamo Pizza,0,25,TX,117,117,117
3139,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",Pepperoni Italian sausage hamburger and Canadian bacon,Alamo Meat Pizza,Alamo Pizza,0,25,TX,117,117,117
3140,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",3 Toppings,Pizzadilla,Alamo Pizza,0,25,TX,117,117,117
3141,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Pizzadilla,Alamo Pizza,0,25,TX,117,117,117
3142,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,1Topping Cheese Pizza Slice,Alamo Pizza,0,25,TX,117,117,117
3143,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",Pepperoni Italian sausage black olives green peppers mushrooms and onions,Texas Best Pizza,Alamo Pizza,0,25,TX,117,117,117
3144,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",Enchilada sauce mozzarella cheese grilled chicken and pico de gallo,Chicken Enchilada Pizza,Alamo Pizza,0,25,TX,117,117,117
3145,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Pizza Rolls,Alamo Pizza,0,25,TX,117,117,117
3146,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Alamo Meat Pizza,Alamo Pizza,0,25,TX,117,117,117
3147,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Chicken Enchilada Pizza,Alamo Pizza,0,25,TX,117,117,117
3148,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,1Topping Pizza,Alamo Pizza,0,25,TX,117,117,117
3149,AVwd5i6yByjofQCxtena,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,RU,"USD,RUB",,Vegetable Pizza,Alamo Pizza,0,25,TX,117,117,117
3150,AVzA9qtOFcQ3k02bBZy8,Pizza Place,Accommodation & Food Services,Cedar Park,RU,"USD,RUB",,Feta Pizza (White),Yaghis Pizzeria,0,25,TX,117,117,117
3151,AVzA9qtOFcQ3k02bBZy8,Pizza Place,Accommodation & Food Services,Cedar Park,RU,"USD,RUB",,Philly Cheese Steak Pizza (White),Yaghis Pizzeria,0,25,TX,117,117,117
