,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
9734,AVzA0u-5LD2H7whiWEe1,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Midvale,RU,"USD,RUB",,"12"" Pepperoni Pizza",Big Daddys Pizza,0,25,UT,15,15,15
9735,AVwckJPfByjofQCxfrVP,"Pizza,Pasta,Pizza Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Syracuse,RU,"USD,RUB",,Pizza Bread,the pizza factory,0,25,UT,15,15,15
9736,AV0Jy77p3D1zeR_xDV8O,Pizza Place,Accommodation & Food Services,Tooele,RU,"USD,RUB",,Add to Large Pizzas,Papa Johns Pizza,0,25,UT,15,15,15
9737,AV0Jy77p3D1zeR_xDV8O,Pizza Place,Accommodation & Food Services,Tooele,RU,"USD,RUB",,Medium Pizza Offers,Papa Johns Pizza,0,25,UT,15,15,15
9738,AV0Jy77p3D1zeR_xDV8O,Pizza Place,Accommodation & Food Services,Tooele,RU,"USD,RUB",,Any Large Pizza,Papa Johns Pizza,0,25,UT,15,15,15
9739,AVzA06vH-gnIPe8DScDj,"Restaurant,Pizza Place",Accommodation & Food Services,Park City,RU,"USD,RUB",,Pizza By the Slice,Maxwells,25,40,UT,15,15,15
9740,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage ground beef mushrooms mixed onions green peppers and olives Recommended on an original crust,Papa39s Favorite Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9741,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Fresh dough chocolate chips mini marshmallows and crisp topping,S39mores Pizza,Papa Murphys,0,25,UT,15,15,15
9742,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Enjoy your own creation on a glutenfree crust topped with everyone39s favorite toppings With this custom madefromscratch pizza even the pickiest of eaters will be happy too,Create Your Own Medium Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9743,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Red sauce mozzarella and pepperoni Recommended on an original crust,Pepperoni Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9744,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Creamy garlic sauce mozzarella chicken Roma tomatoes green onions and herb and cheese blend on a gluten free crust,Medium Chicken Garlic Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9745,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Creamy garlic sauce mozzarella spicy fennel sausage sundried tomatoes mushrooms spinach and Parmesan Recommended on a thin crust,Spicy Fennel Sausage Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9746,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Creamy garlic sauce mozzarella spinach zucchini mushrooms artichoke hearts Roma tomatoes mixed onions and herb and cheese blend on a gluten free crust,Medium Gourmet Vegetarian Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9747,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Creamy garlic sauce mozzarella chicken bacon artichoke hearts spinach Parmesan and zesty herbs on a gluten free crust,Medium Chicken Bacon Artichoke Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9748,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Olive oil and garlic mozzarella chicken spinach sundried tomatoes feta and zesty herbs Recommended on a thin crust,Herb Chicken Mediterranean Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9749,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Red sauce mozzarella Canadian bacon and pineapple on a gluten free crust,Medium Hawaiian Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9750,AVwdr4p7kufWRAb58U-w,"Restaurant,Pizza Place",Accommodation & Food Services,West Jordan,RU,"USD,RUB",Red sauce mozzarella pepperoni Italian sausage mushrooms olives and herb and cheese blend on a gluten free crust,Medium Cowboy Gluten Free Crust Pizza Baking Required,Papa Murphys,0,25,UT,15,15,15
9751,AVyoCp1RYuCoGd6wM6dM,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Salt Lake City,RU,"USD,RUB",,Two Slices of Cheese Pizza,Big Apple Pizzeria,0,25,UT,15,15,15
9752,AVyoCp1RYuCoGd6wM6dM,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Salt Lake City,RU,"USD,RUB",,Two Slices of Cheese Pizza,Big Apple Pizzeria,0,25,UT,15,15,15
9753,AVwc9ih0ByjofQCxkEZM,"Pizza,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Salt Lake City,RU,"USD,RUB",,14 Inch Build Your Own Pizza,Este Pizzeria,25,40,UT,15,15,15
9754,AVwc9ih0ByjofQCxkEZM,"Pizza,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Salt Lake City,RU,"USD,RUB",,18 Inch Build Your Own Pizza,Este Pizzeria,25,40,UT,15,15,15
9755,AVwd1l1WByjofQCxs8kA,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Park City,RU,"USD,RUB",,Pink Pizza,Este Pizza Park City,0,25,UT,15,15,15
9756,AVwd1l1WByjofQCxs8kA,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Park City,RU,"USD,RUB",,Margherita Pizza,Este Pizza Park City,0,25,UT,15,15,15
9757,AVzA16CT-gnIPe8DSdEt,"Brick Pizza Oven,Pizza Place",Accommodation & Food Services,Riverton,RU,"USD,RUB",,Side Pizza Dressing,Rock Creek Pizza Co,0,25,UT,15,15,15
9758,AVzA16CT-gnIPe8DSdEt,"Brick Pizza Oven,Pizza Place",Accommodation & Food Services,Riverton,RU,"USD,RUB",,S'more Pizza,Rock Creek Pizza Co,0,25,UT,15,15,15
