,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
8115,AVwdOuumByjofQCxm4xE,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,RU,"USD,RUB",,Vegetarian Pizza,A New York Slice,0,25,VA,52,52,52
8116,AVwdOuumByjofQCxm4xE,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,RU,"USD,RUB",,Cheese Pizza,A New York Slice,0,25,VA,52,52,52
8117,AVwdOuumByjofQCxm4xE,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,RU,"USD,RUB",,Biancaneve (White Pizza),A New York Slice,0,25,VA,52,52,52
8118,AVwdOuumByjofQCxm4xE,"Pizza,Restaurant,Pizza Place Midlothian,Pizza Place,Restaurants,Italian Restaurants",Accommodation & Food Services,Midlothian,RU,"USD,RUB",,Sicilian Pizza (square),A New York Slice,0,25,VA,52,52,52
8119,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",,Bianca Gourmet Pizza,Sals Famous NY Pizza,25,40,VA,52,52,52
8120,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",Up to 5 toppings,Customize Your Pizza,Sals Famous NY Pizza,25,40,VA,52,52,52
8121,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",,Bbq Chicken Pizza,Sals Famous NY Pizza,25,40,VA,52,52,52
8122,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",,Hawaiian Pizza,Sals Famous NY Pizza,25,40,VA,52,52,52
8123,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",,Bianca Florentine Pizza,Sals Famous NY Pizza,25,40,VA,52,52,52
8124,AVwdvgQ2IN2L1WUfyyF2,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Portsmouth,RU,"USD,RUB",,Pizza Bread Sticks,Sals Famous NY Pizza,25,40,VA,52,52,52
