,id,categories,primaryCategories,city,country,menus.currency,menus.description,menus.name,name,priceRangeMin,priceRangeMax,province,quantity_x,quantity_y,quantity
8636,AWEKVFnqa4HuVbedMDZq,"Burger Joint,Pizza Place",Accommodation & Food Services,Kent,RU,"USD,RUB",,Pepperoni Pizza,The Rock Wood Fired Pizza,0,25,WA,49,49,49
8637,AWEHt_r9IxWefVJwwUiR,"Burger Joint,Pizza Place",Accommodation & Food Services,Bothell,RU,"USD,RUB",,Pb&J Pizza,The Rock Wood Fired Pizza,25,40,WA,49,49,49
8638,AWEHt_r9IxWefVJwwUiR,"Burger Joint,Pizza Place",Accommodation & Food Services,Bothell,RU,"USD,RUB",,Cheese Pizza,The Rock Wood Fired Pizza,25,40,WA,49,49,49
8639,AVzBBDb2-gnIPe8DShJI,Pizza Place,Accommodation & Food Services,Olympia,RU,"USD,RUB",,Gourmet Cheese Pizza,Infernos Brick Oven Pizza,25,40,WA,49,49,49
8640,AVz1WZF2LD2H7whiX_Ma,Pizza Place,Accommodation & Food Services,Spokane,RU,"USD,RUB",,Specialty Dessert Pizza,Savage Land,0,25,WA,49,49,49
8641,AWEKZmPk3-Khe5l_ekay,"Burger Joint,Pizza Place",Accommodation & Food Services,Kennewick,RU,"USD,RUB",,Cheese Pizza,The Rock Wood Fired Pizza,0,25,WA,49,49,49
8642,AWEKZmPk3-Khe5l_ekay,"Burger Joint,Pizza Place",Accommodation & Food Services,Kennewick,RU,"USD,RUB",,Cheese Pizza,The Rock Wood Fired Pizza,0,25,WA,49,49,49
8643,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",,Hawaiian Pizza,Tuscan Stone Pizza,0,25,WA,49,49,49
8644,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",,Pepperoni Pizza,Tuscan Stone Pizza,0,25,WA,49,49,49
8645,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",,Tuscan Veggie Pizza,Tuscan Stone Pizza,0,25,WA,49,49,49
8646,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",,Bbq Chicken Pizza,Tuscan Stone Pizza,0,25,WA,49,49,49
8647,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",Includes 3 toppings,Build Your Own Pizza,Tuscan Stone Pizza,0,25,WA,49,49,49
8648,AVwchM6I_7pvs4fzv9gP,"Restaurant,Pizza Place and Food Truck,Pizza Place,Food Truck",Accommodation & Food Services,Mercer Island,RU,"USD,RUB",Order any large pizza along with a salad or breadsticks for only,Pizza Special,Tuscan Stone Pizza,0,25,WA,49,49,49
8649,AVwc1AJdByjofQCxio6e,"Pizza Place Capitol Hill,Pizza Place",Accommodation & Food Services,Seattle,RU,"USD,RUB","Olive oil base, salmon, capers, caramelized onions and mozzarella cheese",Salmon Pizza,Amante Pizza,0,25,WA,49,49,49
8650,AVwdWTeeIN2L1WUfu4O-,"Restaurant,Pizza Place",Accommodation & Food Services,Spokane,RU,"USD,RUB",,Cheese Pizza,Pacific Ave Pizza,0,25,WA,49,49,49
8651,AVweDUcW_7pvs4fz_ncM,Pizza Place,Management of Companies & Enterprises,Seattle,RU,"USD,RUB",,Cheese Pizza (the Classic),Elliott Bay Pizza Company,0,25,WA,49,49,49
