Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
55585	Алтайский край, г. Барнаул, пр-т Строителей, 131	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55586	Алтайский край, г. Барнаул, ул. Солнечная поляна, 18 А	41.2	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55587	Алтайский край, г. Барнаул, ул. Малахова, 88	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55588	Алтайский край, г. Барнаул, ул. Титова, 4б	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55589	Алтайский край, г. Барнаул, пр-т Калинина, 19	41.2	0.0	43.3	0.0	48.0	0	0.0	0.0	45.55	0	0.0	0.0	Алтайский край
55590	"Алтайский край, Троицкий р-н, п. Троицкое, а/д М52 ""Чуйский тракт"", 296 км, справа к Бийску"	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55591	Алтайский край, г. Барнаул, ш. Ленточный бор, 25	41.2	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55327	Алтайский край, Суетский р-н, с. Верх-Суетка, ул. Украинская, 29, слева	41.4	0.0	43.25	0.0	0.0	0	0.0	0.0	45.65	0	0.0	0.0	Алтайский край
55325	Алтайский край, Родинский р-н, с. Родино, ул. Советская, 145	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55324	Алтайский край, Благовещенский р-н, р.п. Благовещенка, ул. Нефтебазы, 12, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55132	Алтайский край, Рубцовский р-н, г. Рубцовск, ул. Комсомольская, 325	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55133	Алтайский край, Первомайский р-н, г. Новоалтайск, ул. Октябрьская, 34	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55130	Алтайский край, г. Барнаул, ул. Советской Армии, 59А	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55129	Алтайский край, г. Барнаул, ул. Широкая просека, 2, справа	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55128	Алтайский край, г. Барнаул, ул. Эмилии Алексеевой, 75	41.2	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55127	Алтайский край, г. Барнаул, тракт Павловский, 190, справа из города	41.05	0.0	43.2	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55126	Алтайский край, г. Барнаул, ул. Власилихинская, 61	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.85	0	0.0	0.0	Алтайский край
55125	Алтайский край, г. Барнаул, ул. Северо-Западная, 18, справа	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55124	Алтайский край, г. Барнаул, ул. Гоголя, 90, справа	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55123	"Алтайский край, Тальменский р-н, р.п. Тальменка, а/д М52 ""Чуйский тракт"", 161 км, справа"	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55122	Алтайский край, г. Барнаул, пр-т Строителей, 56 В, справа	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55121	Алтайский край, г. Барнаул, ул. Аносова, 4, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Алтайский край
55120	Алтайский край, Первомайский р-н, с. Солнечное, ул. Первая, 2б	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.55	0	0.0	0.0	Алтайский край
55119	Алтайский край, г. Барнаул, пр-т Космонавтов, 6/1	41.2	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55117	Алтайский край, Калманский р-н, с. Калманка, а/д А349 (Барнаул - Рубцовск), слева	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55116	Алтайский край, Топчихинский р-н, с. Топчиха, ул. Правды, 1, слева	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55115	Алтайский край, Славгородский р-н, г. Яровое, ш. Яровское, 2 км, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55114	Алтайский край, Славгородский р-н, г. Славгород, ул. Горностаева, 1	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55113	Алтайский край, Хабарский р-н, с. Хабары, ул. Гагарина, 70, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55111	Алтайский край, Новоегорьевский р-н, с. Новоегорьевское, ул. Строительная, 2	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55110	Алтайский край, Угловский р-н, с. Угловское, ул. Молодежная, 24	41.4	0.0	43.25	0.0	0.0	0	0.0	0.0	45.65	0	0.0	0.0	Алтайский край
55109	Алтайский край, Рубцовский р-н, г. Рубцовск, ул. Арычная, 4	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55108	Алтайский край, Рубцовский р-н, г. Рубцовск, ул. Светлова, 3	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55107	Алтайский край, Змеиногорский р-н, г. Змеиногорск, тракт Третьяковский, 22, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55106	Алтайский край, Поспелихинский р-н, с. Поспелиха, а/д А349 (Барнаул-Рубцовск), 214 км, справа на Рубцовск	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55105	Алтайский край, Новичихинский р-н, с. Новичиха, ул. Народная, 57	41.4	0.0	0.0	0.0	0.0	0	0.0	0.0	45.65	0	0.0	0.0	Алтайский край
55104	Алтайский край, Краснощековский р-н, с. Краснощеково, ул. Степная, 1	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55103	Алтайский край, Курьинский р-н, с. Курья, ул. Центральная, 169	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55102	Алтайский край, Поспелихинский р-н, с. Поспелиха, ул. Коммунистическая, 105 А	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55101	Алтайский край, Тальменский р-н, р.п. Тальменка, ул. Мичурина, 20	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.85	0	0.0	0.0	Алтайский край
55100	Алтайский край, Тальменский р-н, р.п. Тальменка, ул. Заправочная, 2	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55099	"Алтайский край, Первомайский р-н, п. Боровиха, а/д М52 ""Чуйский тракт"", 195 км, справа"	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.85	0	0.0	0.0	Алтайский край
55098	Алтайский край, г. Барнаул, тракт Правобережный, 31, слева из города	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.55	0	0.0	0.0	Алтайский край
55097	Алтайский край, Михайловский р-н, р.п. Малиновое Озеро, ул. Малиновая, 1А	41.4	0.0	0.0	0.0	0.0	0	0.0	0.0	45.65	0	0.0	0.0	Алтайский край
55096	Алтайский край, Михайловский р-н, с. Михайловский, ул. Нефтебаза, 12а	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55095	Алтайский край, Волчихинский р-н, с. Волчиха, ул. Свердлова, 42А	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55094	Алтайский край, Кулундинский р-н, с. Кулунда, ул. Восточная, 22	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55093	Алтайский край, Кулундинский р-н, с. Златополь, а/д Кулунда - Благовещенка, 25 км, слева	41.4	0.0	43.25	0.0	0.0	0	0.0	0.0	45.65	0	0.0	0.0	Алтайский край
55092	Алтайский край, Табунский р-н, с. Табуны, ул. Молодежная, 2 А, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55091	Алтайский край, Панкрушихинский р-н, с. Панкрушиха, ул. Объездная, 22, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55090	Алтайский край, Крутихинский р-н, с. Крутиха, ул. Гагарина, 57	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55089	Алтайский край, Тюменцевский р-н, с. Тюменцево, ул. Каменская, 78, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55088	Алтайский край, Каменский р-н, г. Камень-на-Оби, ул. Каменская, 115, слева	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Алтайский край
55087	Алтайский край, Каменский р-н, г. Камень-на-Оби, ул. Барнаульская, 167	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55086	Алтайский край, Каменский р-н, г. Камень-на-Оби, ул. Гагарина, 102, центр города	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55085	Алтайский край, Тогульскй р-н, с. Тогул, ул. Братьев Шутановых, 75	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55083	Алтайский край, Кытмановский р-н, с. Кытманово, ул. Советская, 106	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55082	Алтайский край, Залесовский р-н, с. Залесово, ул. Комсомольская, 54	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55081	Алтайский край, Заринский р-н, г. Заринск, ул. 40 лет Победы, 3	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55080	Алтайский край, Заринский р-н, г. Заринск, ул. Заринская, 64	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55079	Алтайский край, Ребрихинский р-н, с. Ребриха, пр-т Победы, 1а	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55078	Алтайский край, Ребрихинский р-н, п. Станция Ребриха, ул. Нефтебазы, 13 А	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Алтайский край
55077	Алтайский край, Завьяловский р-н, с. Завьялово, ул. Мичурина, 35 В, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55076	Алтайский край, Романовский р-н, с. Романово, ул. Крупской, 104	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55075	Алтайский край, Мамонтовский р-н, с. Малые Бутырки, а/д Р371 (Курган-Звериноголовское), 172 км, слева	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55074	"Алтайский край, Косихинский р-н, с. Налобиха, а/д М52 ""Чуйский тракт"", 261 км, справа на Бийск"	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
55073	Алтайский край, г. Барнаул, тракт Правобережный, 30, справа из города	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.55	0	0.0	0.0	Алтайский край
55071	Алтайский край, Смоленский р-н, г. Белокуриха, ул. Советская, 84	41.4	0.0	43.5	0.0	48.0	0	0.0	0.0	45.8	0	0.0	0.0	Алтайский край
