Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56422	Архангельская обл., г. Новодвинск, ул. Ворошилова, 28	41.59	0.0	44.99	0.0	49.59	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
56421	Архангельская обл., г. Архангельск, ул. Адмирала Кузнецова, 2, стр.1	40.69	0.0	44.09	0.0	0.0	0	0.0	0.0	45.29	0	0.0	0.0	Архангельская обл.
56262	Архангельская обл., Соломбальский округ, г. Архангельск, ул. Советская, 30	41.59	0.0	44.99	0.0	49.59	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55061	Архангельская обл., Плесецкий р-н, п. Плесецк, а/д Р1 (Брин-Наволок - Каргополь - Прокшино), 176 км, справа	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	23.89	0.0	Архангельская обл.
55060	Архангельская обл., Плесецкий р-н, п. Североонежск, 2 мкр-он, 25	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55059	Архангельская обл., Плесецкий р-н, п. Савинский	41.59	0.0	0.0	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55058	Архангельская обл., Плесецкий р-н, п. Плесецк, ул. Юбилейная, 57	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	46.59	0	0.0	0.0	Архангельская обл.
55057	Архангельская обл., Няндомский р-н, г. Няндома, а/д Р2 (Долматово-Няндома-Пудож), 128 км, слева	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55056	Архангельская обл., Коношский р-н, п. Коноша, ул. Советская, 99	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55055	Архангельская обл., Каргопольский р-н, г. Каргополь, ул. Семенковская, 89	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	46.59	0	0.0	0.0	Архангельская обл.
55054	Архангельская обл., Няндомский р-н, г. Няндома, ул. Урицкого, 5, слева	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55053	Архангельская обл., Виногроадовский р-н, п. Двинской Березник, а/д М8 'Холмогоры' (Москва-Архангельск - Северодвинск), 961 км, справа	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55052	Архангельская обл., Виноградовский р-н, п. Новый, а/д М8 'Холмогоры' (Москва-Архангельск - Северодвинск), 973 км, слева	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	24.59	0.0	Архангельская обл.
55051	Архангельская обл., Вельский р-н, г. Вельск, ул. Дзержинского, 98а, справа	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55050	Архангельская обл., Вельский р-н, г. Вельск, ул. Климовского, 49, справа	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55049	Архангельская обл., Устьянский р-н, п. Октябрьский, ул. Заводская, 53а	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55048	Архангельская обл., Шенкурский р-н, д. Бобыкинская, ул. Черная Грязь, стр.3	42.09	0.0	45.49	0.0	0.0	0	0.0	0.0	46.29	0	0.0	0.0	Архангельская обл.
55047	Архангельская обл., Шенкурский р-н, с. Ровдино, а/д М8 'Холмогоры' (Москва-Архангельск - Северодвинск), 804 км, справа	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55046	Архангельская обл., Вельский, г. Вельск, ул. Попова, 19а	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55045	Архангельская обл., Верхне-Тоемский р-н, с. Вознесенское, а/д Усть-Вага - Ядриха, 90 км, слева	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	45.79	0	0.0	0.0	Архангельская обл.
55044	Архангельская обл., г. Котлас, пр-т Мира, 17а	41.59	0.0	44.99	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Архангельская обл.
