Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58647	Белгородская обл., Белгородский р-н, п. Дубовое, ул. Садовая, 4	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58676	Белгородская обл., Краснояружский р-н, п.г.т. Красная Яруга, ул. Пролетарская	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58380	Белгородская обл., г. Белгород, пр-т Богдана Хмельницкого, 135К	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58379	Белгородская обл., г. Белгород, ул. Студенческая, 1В	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58378	Белгородская обл., Грайвороновский р-н, п. Головчино, ул. Карла Маркса, 4А	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58377	Белгородская обл., г. Белгород, ул. Щорса, 45Г	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58374	Белгородская обл., Белгородский р-н, п. Новосадовый, а/д Р185 (Белгород - Короча), 11 км + 888м, справа	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58382	Белгородская обл., г. Белгород, ул. Магистральная, 167, слева	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58383	Белгородская обл., Корочанский р-н, г. Короча, ул. Дорошенко, 1А	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58384	Белгородская обл., г. Шебекино, ш. Ржевское, 7	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58385	Белгородская обл., Ракитянский р-н, п. Ракитное, ул. Коммунаров, 25	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58381	Белгородская обл., г. Белгород, ул. Мичурина, 91	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Белгородская обл.
58376	Белгородская обл., г. Белгород, ул. Губкина, 15к	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58375	Белгородская обл., г. Белгород, ул. Дзгоева, 2	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58372	Белгородская обл., Яковлевский р-н, г. Яковлево, а/д М2 'Крым' (ул. Шаладина), 636 км, слева	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
58373	Белгородская обл., Белгородский р-н, п. Северный, ул. Шоссейная, 3	42.09	42.59	0.0	45.3	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
56406	Белгородская обл., Старооскольский р-н, г. Старый Оскол, пр-т Алексея Угарова, 5А	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
56252	Белгородская обл., Шебекинский р-н, п. Вознесеновка, а/д Белгород - Шебекино - Волоконовка, 7 км от Шебекино, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
56251	Белгородская обл., Алексеевский р-н, с. Варваровка, а/д Р185 (Белгород - Короча - Алексеевка - Россошь), справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
56160	Белгородская обл., Ракитянский р-н, п. Ракитное, ш. Белгородское, 1, справа к п.Ракитное	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55802	Белгородская обл., г. Белгород, ул. Студенческая, 4 в	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55801	Белгородская обл., Ровеньский р-н, п. Ровеньки, ул. Привольная, 12, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55800	Белгородская обл., Новооскольский р-н, г. Новый Оскол, пос. ДРП, а/д Р185 (Белгород - Россошь), слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55799	Белгородская обл., Белгородский р-н, с. Стрелецкое, ул. Шоссейная, 2б, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55798	Белгородская обл., Старооскольский р-н, с. Федосеевка, пер. 4-ый Свободный, 3, слева к г.Старый Оскол	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55797	Белгородская обл., Валуйский р-н, г. Валуйки, пер. Энергетиков, 8/1	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55796	Белгородская обл., Яковлевский р-н, п. Томаровка, ул. Магистральная, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55795	Белгородская обл., Белгородский р-н, п. Октябрьский, а/д М2 'Крым', 691 км + 250м, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55794	Белгородская обл., Вейделеевский р-н, п. Вейделевка, ул. Центральная, 51, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55793	Белгородская обл., г. Белгород, ш. Михайловское, 3, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55792	Белгородская обл., Корочанский р-н, с. Подкопаевка, а/д Р189 (Короча - Горшечное), справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55791	Белгородская обл., Алексеевский р-н, г. Алексеевка, ул. Заводская, 14, слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55790	Белгородская обл., Губкинский р-н, г. Губкин, ул. Революционная, 2, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55789	Белгородская обл., Старооскольский р-н, г. Старый Оскол, а/д Южная объездная, 6, стр. 1, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55788	Белгородская обл., Старооскольский р-н, г. Старый Оскол, пр-т Губкина, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55787	Белгородская обл., Шебекинский р-н, с. Шебекино, ш. Ржевское, 27, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Белгородская обл.
55786	Белгородская обл., Новооскольский р-н, г. Новый Оскол, ул. Тургенева, 2, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55785	Белгородская обл., г. Белгород, ул. К. Заслонова, 54 а	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55784	Белгородская обл., г. Белгород, пр-т Богдана Хмельницкого, 199 В, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55783	Белгородская обл., г. Белгород, ул. Красноармейская, 6, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55782	Белгородская обл., г. Белгород, ул. Корочанская, 46	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55781	Белгородская обл., Белгородский р-н, с. Новая Деревня, а/д М2 'Крым', 682 км, слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55780	Белгородская обл., Шебекинский р-н, п.г.т. Маслова-Пристань, ул. Зеленая, 22, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55779	Белгородская обл., Старооскольский р-н, г. Старый Оскол, пр-т Алексея Угарова, 18, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55778	Белгородская обл., Ровеньский р-н, п. Ровеньки, ул. Горького, 145	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55777	Белгородская обл., Ивнянский р-н, п. Верхопенье, а/д М2 'Крым', 622 км, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55776	Белгородская обл., Валуйский р-н, г. Валуйки, ул. М.Горького, 107/1, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55775	Белгородская обл., Шебекинский р-н, с. Червона Дибровка, а/д Белгород - Волоконовка, слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55774	Белгородская обл., Волоконовский р-н, п. Волоконовка, ул. Курочкина, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55773	Белгородская обл., Новооскольский р-н, п. Покрово-Михайловка, а/д Р185 (Белгород - Короча - Алексеевка - Россошь), справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55772	Белгородская обл., Старооскольский р-н, г. Старый Оскол, а/д Южная объездная, стр.3, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55771	Белгородская обл., Белгородский р-н, п. Крестовое, а/д М2 'Крым', 700 км, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55770	Белгородская обл., г. Белгород, ул. Губкина, 5	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55769	Белгородская обл., г. Белгород, ул. Чичерина, 74	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55768	Белгородская обл., Чернянский р-н, п.г.т. Чернянка, ул. Ленина, 182, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55767	Белгородская обл., Губкинский р-н, г. Губкин, ул. Слободская, 177 в, слева	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55766	Белгородская обл., Алексеевский р-н, г. Алексеевка, пер. Острогожский, 2 б, слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55765	Белгородская обл., Красногвардейский р-н, п. Бирюч, ул. Красная, 23	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55764	Белгородская обл., Краснояружский р-н, п.г.т. Красная Яруга, ул. Центральная, 81, справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55763	Белгородская обл., Яковлевский р-н, г. Строитель, ул. Магистральная, 2а (646 км), справа	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55762	Белгородская обл., Прохоровский р-н, п. Прохоровка, ул. Восточная, 35	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55761	Белгородская обл., Борисовский р-н, п. Борисовка, ул. Гайворонская, 344, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55760	Белгородская обл., Ивнянский р-н, п.г.т. Ивня, ул. Шоссейная, 31, слева к г.Курск	42.09	0.0	45.3	0.0	50.7	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55759	Белгородская обл., Губкинский р-н, п. Скородное, а/д Короча - Губкин, справа	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
55758	Белгородская обл., Волоконовский р-н, п. Волоконовка, ул. Чехова, 24, слева	42.09	0.0	45.3	0.0	0.0	0	0.0	0.0	45.27	0	0.0	0.0	Белгородская обл.
