Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56414	Брянская обл., Севский  р-н, с. Троебортное, а/д М3, 516 км+100, справа	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
56413	Брянская обл., Климовский р-н, с. Старые Юрковичи, ул. Дружбы, 44, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
56295	Брянская обл., Погарский р-н, д. Вадьковка, а/д Погар - Почеп, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
56256	Брянская обл., Брянский р-н, п. Ивановка, ул. Ленина, 39, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
56043	"Брянская обл., Комарический р-н, п. Комаричи, а/д М3""Украина"" - Комаричи, 20 км, справа"	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55852	Брянская обл., Клинцовский р-н, г. Клинцы, ул. Ворошилова, 39	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55850	Брянская обл., Стародубский р-н, г. Стародуб, ул. Ленина, 197	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55848	Брянская обл., Дятьковский р-н, г. Фокино, ул. Фокина, 1а	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55847	Брянская обл., Клинцовский р-н, г. Клинцы, ул. Жукова, 71	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55851	Брянская обл., Жирятинский р-н, д. Комягино, ул. Брянская, 1а	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55849	Брянская обл., Брянский р-н, г. Сельцо, ул. Кирова, 50г	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55846	Брянская обл., Клинцовский р-н, п. Мартьяновка, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 158 км, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	23.3	0.0	Брянская обл.
55845	Брянская обл., Навлинский р-н, п. Навля, а/д М3 'Украина', 404 км, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	23.3	0.0	Брянская обл.
55844	Брянская обл., г. Брянск, ул. Литейная, 9А	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55841	Брянская обл., Стародубский р-н, г. Стародуб, ул. Краснооктябрьская, 94	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55842	Брянская обл., Клетнянский р-н, п. Клетня, ул. Кирова, 48	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55843	Брянская обл., Погарский р-н, п. Белевица, ул. Советская, 1	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55840	Брянская обл., Гордеевский р-н, п. Гордеевка, ул. Суражская, 2	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55839	Брянская обл., Красногорский р-н, п.г.т. Красная Гора, ул. Западная, 8	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55838	Брянская обл., Почепский р-н, г. Почеп, ул. Брянская, 90а	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55837	Брянская обл., г. Брянск, ш. Карачевское, 5а, слева	42.0	0.0	45.1	0.0	0.0	0	50.8	0.0	45.45	0	23.3	0.0	Брянская обл.
55836	Брянская обл., г. Брянск, ул. Объездная, 8	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55835	Брянская обл., Климовский р-н, с. Новые Юрковичи, а/д Климово - Сеньковка, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55834	Брянская обл., Севский р-н, г. Севск, а/д М3 'Украина', 483 км, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55833	Брянская обл., Брасовский р-н, п. Воронов Лог, а/д М3 'Украина', 438 км, справа	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55832	Брянская обл., Клинцовский р-н, д. Смотрова Буда, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 164 км, справа	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55831	Брянская обл., Брянский р-н, п. Супонево, а/д объездная Орел-Брянск-Смоленск, 21 км, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	23.3	0.0	Брянская обл.
55830	Брянская обл., Злынковский р-н, п. Красный Камень, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 219 км + 340м, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55829	Брянская обл., Севский р-н, п. Сопычь, а/д М3 'Украина', 518 км, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55828	Брянская обл., Унечский р-н, д. Новые Ивантейки, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 108 км, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55827	Брянская обл., Почепский р-н, д. Козорезовка, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 81 км, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55826	Брянская обл., Климовский р-н, п.г.т. Климово, ул. Октябрьская, 250	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55825	Брянская обл., Брянский р-н, с. Малое Полпино, а/д М3 'Украина', 355 км, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55824	Брянская обл., Дубровский р-н, с. Сеща, ул. Центральная, 3, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55823	Брянская обл., Новозыбковский р-н, п. Мамай, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 194 км, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55822	Брянская обл., Брянский р-н, п. Супонево, ул. Шоссейная, 10	42.0	0.0	45.1	0.0	0.0	0	50.8	0.0	45.45	0	23.3	0.0	Брянская обл.
55821	Брянская обл., Выгоничский р-н, п. Выгоничи, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 27 км, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55820	Брянская обл., г. Брянск, ул. Литейная, 80А	42.0	42.5	45.1	0.0	0.0	0	50.8	0.0	45.45	0	23.3	0.0	Брянская обл.
55819	Брянская обл., Карачевский р-н, д. Масловка, ул. Первомайская, 107а, слева	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55818	Брянская обл., Злынковский р-н, п. Красный Камень, а/д М13 (Брянск - Новозыбков - граница с Белоруссией), 220 км, слева	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55817	Брянская обл., Выгоничский р-н, п. Новониколаевский, ул. Дорожная, 57, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55816	Брянская обл., Мглинский р-н, г. Мглин, ул. Октябрьская, 162	42.0	41.4	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55815	Брянская обл., Суземский р-н, п. Суземка, ул. Брянская, 17	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55814	Брянская обл., Жуковский р-н, г. Жуковка, ул. Некрасова, 57	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55813	Брянская обл., Клинцовский р-н, г. Клинцы, ул. 706 продотряда, 1Б	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55812	Брянская обл., г. Брянск, ул. Бурова, 2В	42.0	42.5	45.1	0.0	0.0	0	37.3	0.0	45.45	0	0.0	0.0	Брянская обл.
55811	Брянская обл., Суражский р-н, г. Сураж, ул. Октябрьская, 152а	42.0	0.0	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55810	Брянская обл., Трубчевский р-н, г. Трубчевск, ул. Комсомольская, 64	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55809	Брянская обл., Дубровский р-н, д. Побойная, а/д Р120(Брянск-Смоленск) - Рогнедино, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55808	Брянская обл., Дятьковский р-н, г. Дятьково, ул. Фокина, 71	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55807	Брянская обл., Брянский р-н, п. Глинищево, ул. П.М.Яшенина, 63, слева	42.0	42.5	45.1	0.0	0.0	0	50.8	0.0	45.45	0	0.0	0.0	Брянская обл.
55806	Брянская обл., Унечский р-н, г. Унеча, ул. Заречная, 10	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55805	Брянская обл., Новозыбковский р-н, г. Новозыбков, ул. Первомайская, 130а	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55804	Брянская обл., Фокинский р-н, п. Белые Берега, а/д М3 'Украина', 365 км, справа	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
55803	Брянская обл., Жуковский р-н, д. Летошники, ул. Шоссейная, 24А	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Брянская обл.
