Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56469	Волгоградская обл., г. Волгоград, ул. Историческая, 187Г	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55978	Волгоградская обл., г. Волгоград, ул. Лазоревая пересечение с Зеленоградской ул., справа	42.75	0.0	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55977	Волгоградская обл., г. Волгоград, ул. Кооперативная, 27	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55976	Волгоградская обл., г. Волгоград, ул. Лазоревая, 291	42.75	0.0	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55975	Волгоградская обл., г. Волгоград, ул. Фадеева, 9 А	42.75	0.0	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55974	Волгоградская обл., г. Волгоград, пр-т им.Ленина, 173 А, справа	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55973	Волгоградская обл., г. Волгоград, ул. Латошинская, 44, справа	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55972	Волгоградская обл., г. Волгоград, пр-т Маршала Жукова, 24, справа	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55971	Волгоградская обл., х. Конный, а/д М-6 'Каспий' (Москва-Волгоград), 947 км + 013м, справа	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
55970	Волгоградская обл., г. Волгоград, ул. Рокоссовского, 175, справа	42.75	42.95	46.31	0.0	0.0	0	0.0	0.0	44.95	0	0.0	0.0	Волгоградская обл.
