Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
55757	Воронежская обл., Семилукский р-н, г. Семилуки, ул. Транспортная, 18а	43.1	0.0	46.3	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55756	Воронежская обл., Нововоронежский р-н, г. Нововоронеж, ш. Воронежское, 4	42.6	43.1	45.3	0.0	50.5	0	0.0	0.0	44.25	0	0.0	0.0	Воронежская обл.
55755	Воронежская обл., Семилукский р-н, п. Латное, а/д Курск - Воронеж - Борисоглебск - Саратов, 198 км + 714м, слева	43.3	43.8	46.4	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55754	Воронежская обл., г. Воронеж, ул. Антонова-Овсиенко, 35 а, справа	43.0	43.5	46.2	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55753	Воронежская обл., Острогожский р-н, с. Солдатское, а/д Гремячье - Острогожск - Кантемировка - Украина, 86 км + 400м, справа	43.3	0.0	45.8	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Воронежская обл.
55752	Воронежская обл., Богучарский р-н, с. Дьяченково, ул. Советская, 52	43.1	0.0	46.3	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55751	Воронежская обл., Каменский, п.г.т. Каменка, ул. Мичурина, 56	43.1	0.0	46.3	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55750	Воронежская обл., В.Мамонский р-н, с. В.Мамон, а/д М4 'Дон', 711 км, слева	43.3	43.8	46.4	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Воронежская обл.
55749	Воронежская обл., Н.Девицкий р-н, с. Нижне-Девицк, ул. Почтовая, 1а	42.3	0.0	0.0	0.0	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Воронежская обл.
55748	Воронежская обл., Панинский р-н, р.п. Панино, ул. Юбилейная, 55 а, слева	43.1	0.0	46.3	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55747	Воронежская обл., г. Воронеж, пр-т Патриотов, 1 а, слева	43.0	43.5	46.2	0.0	50.5	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
55746	Воронежская обл., Репьевский р-н, с. Репьевка, ул. Воронежская, 70, справа	42.3	42.8	45.8	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Воронежская обл.
55745	Воронежская обл., Острогожский р-н, г. Острогожск, ул. Карла Маркса, 66, справа	43.3	43.8	45.8	0.0	0.0	0	0.0	0.0	44.25	0	23.0	0.0	Воронежская обл.
55744	Воронежская обл., г. Воронеж, пр-т Московский, 4а, справа	43.0	43.5	0.0	46.7	50.5	0	0.0	0.0	45.45	0	0.0	0.0	Воронежская обл.
