Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56291	Иркутская обл., Боханский р-н, п. Бохан, ул. Гагарина, 53	41.58	42.1	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
56259	Иркутская обл., Жигаловский р-н, п. Жигалово, ул. Еловая, 2	42.2	0.0	44.5	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Иркутская обл.
56260	Иркутская обл., Иркутский р-н, п. Никола	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
56258	Иркутская обл., Казачинско-Ленский р-н, п. Магистральный, ул. Российская, 16	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55536	Иркутская обл., Усть-Илимский р-н, г. Усть-Илимск, ул. Энгельса, 14	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Иркутская обл.
55535	Иркутская обл., г. Братск, а/д Р419 'Вилюй' (Тулун - Братск - Усть-Кут), слева	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55534	Иркутская обл., г. Братск (п. Гидростроитель), а/д Р419 'Вилюй' (Братск - Усть-Кут), слева	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55533	Иркутская обл., г. Братск, ул. Коммунальная, 11Б, справа	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55532	Иркутская обл., г. Братск, пер. Индустриальный, 15	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55531	Иркутская обл., г. Братск, п.Энергетик, ул. Мечталей, 1, стр.2	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55530	Иркутская обл., г. Братск, ул. Спортивная, 12б	42.5	0.0	0.0	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55529	Иркутская обл., Усть-Илимский р-н, г. Усть-Илимск, ул. Партизанская, 3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Иркутская обл.
55528	Иркутская обл., г. Братск, жил.р-н Центральный	42.5	0.0	0.0	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55527	Иркутская обл., г. Братск, Падун, п., а/д Братск-Падун-Энергетик (кольцо), справа	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55526	Иркутская обл., г. Братск, Кузнецовка, ул. Трактовая, 16	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55525	Иркутская обл., г. Братск, ул. Курчатова, 1, слева	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55524	Иркутская обл., Братский р-н, с. Покосное, ул. Олега Кошевого, 38	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55523	Иркутская обл., г. Братск, ул. Коммунальная, справа	42.5	0.0	0.0	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55522	Иркутская обл., Братский р-н, г. Вихоревка, а/д Вихоревка-Братск-Чуна (развилка), справа	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55520	Иркутская обл., Слюдянский р-н, п. Култук, а/д М55 'Байкал' (Иркутск -Улан-Удэ - Чита), 101 км, справа	41.58	0.0	43.5	0.0	46.7	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55519	Иркутская обл., Слюдянский р-н, г. Слюдянка, ул. Перевальская, 5Б	41.58	0.0	43.5	0.0	46.7	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55518	Иркутская обл., Слюдянский р-н, г. Байкальск, а/д М55 'Байкал' (Иркутск - Чита), 146 км от Иркутска, справа	41.58	0.0	43.5	0.0	46.7	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55516	Иркутская обл., Усть-Кутский р-н, п. Карпово, ул. Береговая, 35	42.5	0.0	0.0	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55515	Иркутская обл., Усть-Кутский р-н, г. Усть-Кут, ул. Пушкина, 78, справа	42.5	0.0	44.4	0.0	47.5	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55514	Иркутская обл., Усть-Кутский р-н, г. Усть-Кут, ул. Шевченко, 35	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55513	Иркутская обл., Усть-Кутский р-н, г. Усть-Кут, ул. Зверева, 199	42.5	0.0	44.4	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Иркутская обл.
55512	Иркутская обл., Тайшетский р-н, г. Тайшет, ул. Партизанская, 1Н, слева	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Иркутская обл.
55511	Иркутская обл., Тайшетский р-н, г. Тайшет, ул. Кирова, 153	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Иркутская обл.
55510	Иркутская обл., Нижнеудинский р-н, г. Нижнеудинск, ул. Кашика, 245а	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55509	Иркутская обл., Нижнеудинский р-н, г. Алзамай, пер. Сосновый, 10	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55508	Иркутская обл., Нижнеудинский р-н, г. Нижнеудинск, пер. Парковый, 5а	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55507	Иркутская обл., Тулунский р-н, с. Гуран, а/д Р419 (Тулун - Братск-Усть-кут - Якутск), 25 км, слева	42.2	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55506	Иркутская обл., Тулунский р-н, г. Тулун, ул. Гидролизная, 95	42.2	0.0	44.1	0.0	46.7	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55505	Иркутская обл., Тулунский р-н, г. Тулун, ул. Володарского, 116 б	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55504	Иркутская обл., Куйтунский р-н, п. Листвянка, а/д М53 'Байкал' (Новосибирск - Иркутск), 1579 км + 300, справа	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55503	Иркутская обл., Куйтунский р-н, п. Куйтун, а/д М53 'Байкал' (Новосибирск - Иркутск), 1559 км + 300м, слева	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55502	Иркутская обл., Зиминский р-н, г. Зима, ул. 5-й Армии, 69В	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55501	Иркутская обл., Зиминский р-н, г. Саянск, ул. Западная, стр.1, слева	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55500	Иркутская обл., Зиминский р-н, г. Саянск, Промкомзона №34	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55499	Иркутская обл., Зиминский р-н, г. Зима, а/д М53 'Байкал' (Новосибирск - Иркутск), 1623 км, слева	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55498	Иркутская обл., Заларинский р-н, п. Залари, а/д М53 (Красноярск - Иркутск), 1677 км, справа	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55497	Иркутская обл., Заларинский р-н, п. Залари, ул. Ленина, 119	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55496	Иркутская обл., Нукутский р-н, п. Новонукутский, ул. Трактовая, 14	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55495	Иркутская обл., Черемховский р-н, г. Черемхово, ул. Ленина, 105	41.58	0.0	0.0	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55494	Иркутская обл., Аларский р-н, р.п. Кутулик, а/д М53 'Байкал' (Новосибирск-Красноярск-Иркутск), 1713 км, справа	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
55493	Иркутская обл., Черемховский р-н, г. Черемхово, пер. Недогарова, 49	41.58	0.0	43.5	0.0	0.0	0	0.0	0.0	47.28	0	0.0	0.0	Иркутская обл.
