Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
54975	Кабардино-Балкарская Респ., Зольский р-н, с. Псынадаха, а/д Р217 (бывш. М29), 396 км, слева	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54974	Кабардино-Балкарская Респ., Зольский р-н, п. Залукокоаже, а/д М29 'Кавказ' (Ростов-Баку), 390 км, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54973	Кабардино-Балкарская Респ., Прохладненский р-н, г. Прохладный, ул. Промышленная, 41	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54972	Кабардино-Балкарская Респ., Терский р-н, г. Терек, ул. Лермонтова	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54971	Кабардино-Балкарская Респ., Эльбрусский р-н, п. Эльбрус	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54970	Кабардино-Балкарская Респ., Эльбрусский р-н, г. Тырныауз, ул. Гаражная, 2, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54968	Кабардино-Балкарская Респ., Майский р-н, г. Майский, ул. Трудовая	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54962	Кабардино-Балкарская Респ., Урванский р-н, с. Старый Урух, а/д М29 'Кавказ' (Ростов-Баку), 496 км	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54964	Кабардино-Балкарская Респ., Урванский р-н, г. Нарткала, ул. Юбилейная	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54965	Кабардино-Балкарская Респ., Урванский р-н, с. Старый Черек, а/д М-29 'Кавказ' (Ростов-Баку), 466 км, слева	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54961	Кабардино-Балкарская Респ., Черекский р-н, п. Кашхатау	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54960	Кабардино-Балкарская Респ., Чегемский р-н, с. Шалушка, а/д М29 'Кавказ' (Ростов-Баку), 577 км, слева	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54958	Кабардино-Балкарская Респ., Чегемский р-н, с. Шалушка, а/д М29 'Кавказ' (Ростов-Баку) (Баксанское ш.), 577 км, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54957	Кабардино-Балкарская Респ., г. Нальчик, ул. Байсултанова	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54956	Кабардино-Балкарская Респ., г. Нальчик, а/д М29 'Кавказ' (Ростов-Баку), 383 км, слева	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54955	Кабардино-Балкарская Респ., г. Нальчик, ул. Кабардинская	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54954	Кабардино-Балкарская Респ., г. Нальчик, ул. Головко	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54953	Кабардино-Балкарская Респ., Баксанский р-н, с. Куба-Таба, а/д М29 'Кавказ' (Ростов-Баку), 413 км, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54952	Кабардино-Балкарская Респ., Баксанский р-н, с. Заюково	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54949	Кабардино-Балкарская Респ., Баксанский р-н, с. Кызбурун-3, а/д М29 'Кавказ' (Ростов-Баку), 431 км, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	45.87	0	0.0	0.0	Кабардино-Балкарская Респ.
54948	Кабардино-Балкарская Респ., Чегемский р-н, п. Чегем-2, а/д М29 'Кавказ' (Ростов-Баку), 439 км, справа	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54947	Кабардино-Балкарская Респ., Баксанский р-н, г. Баксан, ул. Катханова	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54946	Кабардино-Балкарская Респ., г. Нальчик, ул. Гагарина, 163	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
54945	Кабардино-Балкарская Респ., г. Нальчик, ул. Чернышевского	42.85	0.0	46.39	0.0	51.66	0	0.0	0.0	44.27	0	0.0	0.0	Кабардино-Балкарская Респ.
