Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58509	Калужская обл., г. Калуга, ул. Зерновая, 34	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58511	Калужская обл., Боровский р-н, г. Балабаново, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 96 км, слева	40.15	0.0	43.35	44.15	0.0	0	0.0	0.0	43.3	0	0.0	0.0	Калужская обл.
58496	Калужская обл., Дзержинский р-н, п. Полотняный Завод, а/д Р93 (Калуга - Медынь), 35 км, слева	39.85	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58510	Калужская обл., Боровский р-н, г. Балабаново, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 96 км, справа	40.15	0.0	43.35	44.15	0.0	0	0.0	0.0	43.3	0	0.0	0.0	Калужская обл.
58502	Калужская обл., Жиздринский р-н, п. Зикеево, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 301 км, слева	40.15	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58497	Калужская обл., г. Калуга, ул. Киевка, 2А	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58503	Калужская обл., Кировский р-н, г. Киров, ул. Калинина, 2	40.15	0.0	43.25	44.05	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58504	Калужская обл., Медынский р-н, г. Медынь, а/д А101 (Калужское ш.), 158 км, справа	40.15	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58505	Калужская обл., г. Калуга, ш. Грабцевское, 27	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58506	Калужская обл., г. Калуга, д Анненки, ул. Анненки, 49	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58507	Калужская обл., Думиничский р-н, с. Плоцкое, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 274 км, слева	40.15	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58508	Калужская обл., г. Калуга, ул. Салтыкова-Щедрина, 76, к.2	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Калужская обл.
58517	Калужская обл., г. Калуга, ул. Железняки, 31	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58512	Калужская обл., г. Калуга, ул. Московская, 344	40.15	0.0	43.2	44.0	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58513	Калужская обл., Куйбышевский р-н, д. Кузьминичи, а/д А101 (Калужское ш.), 322 км, слева	39.85	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58514	Калужская обл., п. Сосновый Бор, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 176 км (д.11), слева	40.05	0.0	43.15	0.0	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58515	Калужская обл., Думиничский р-н, д. Высокое, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 281 км, справа	40.15	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58516	Калужская обл., г. Калуга, ш. Грабцевское, нефтебаза, 178Б	40.15	0.0	42.95	43.75	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58493	Калужская обл., Боровский р-н, г. Боровск, ул. Коммунистическая, 1	40.15	0.0	43.35	44.15	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58494	Калужская обл., г. Обнинск, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 104 км, справа	40.15	0.0	43.35	44.15	0.0	0	0.0	0.0	43.3	0	0.0	0.0	Калужская обл.
58495	Калужская обл., г. Обнинск, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 104 км, слева	40.15	0.0	43.35	44.15	0.0	0	0.0	0.0	43.3	0	0.0	0.0	Калужская обл.
58649	Калужская обл., г. Калуга, пр-д Правобережный, 15	39.85	0.0	42.45	43.3	0.0	0	0.0	0.0	42.85	0	0.0	0.0	Калужская обл.
58655	Калужская обл., Бабынинский р-н, п. Бабынино, а/д МЗ 'Украина' (Москва - Калуга - Брянск - граница с Украиной), 204 км, слева	40.15	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58499	Калужская обл., Людиновский р-н, г. Людиново, ул. Плеханова, 2А	40.15	0.0	43.25	44.05	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58498	Калужская обл., Тарусский р-н, г. Тарусса, ш. Серпуховское, 71	40.15	0.0	43.25	44.05	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58501	Калужская обл., Юхновский р-н, г. Юхнов, ул. Транзитная, 14	39.85	0.0	43.15	43.95	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
58500	Калужская обл., Козельский р-н, г. Козельск, ул. Чкалова, 104	40.15	0.0	43.25	44.05	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Калужская обл.
