Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56296	Карачаево-Черкесская Респ., Карачаевский р-н, с. Учкулан	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Карачаево-Черкесская Респ.
55018	Карачаево-Черкесская Респ., Урупский р-н, п. Курджиново, ул. Серегина, 56 а	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55017	Карачаево-Черкесская Респ., Урупский р-н, станица Преградная, ул. Красная, 297	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55016	Карачаево-Черкесская Респ., Малокарачаевский р-н, с. Учкекен, ул. Ленина, 1, слева	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	18.8	0.0	Карачаево-Черкесская Респ.
55015	Карачаево-Черкесская Респ., Зеленчукский р-н, станица Зеленчукская, ул. Гагарина, 172а	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55014	Карачаево-Черкесская Респ., Зеленчукский р-н, станица Зеленчукская, ул. Родниковская, 59в, справа	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55013	Карачаево-Черкесская Респ., Хабезский р-н, с. Хабез, ул. Хабекова, 11, справа	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55012	Карачаево-Черкесская Респ., Карачаевский р-н, г. Карачаевск, ул. Крымшамхалова, 21	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55010	Карачаево-Черкесская Респ., Усть-Джегутинский р-н, г. Усть-Джегута, ул. Курортная, 1 6	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	18.8	0.0	Карачаево-Черкесская Респ.
55011	Карачаево-Черкесская Респ., Карачаевский р-н, г. Теберда, ул. Карачаевская, справа	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55008	Карачаево-Черкесская Респ., г. Черкесск, ш. Пятигорское	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55009	Карачаево-Черкесская Респ., Усть-Джегутинский р-н, г. Усть-Джегута, ул. Курортная, 369 а	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	18.8	0.0	Карачаево-Черкесская Респ.
55007	Карачаево-Черкесская Респ., г. Черкесск, ул. Ленина, 336 б	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
55006	Карачаево-Черкесская Респ., Прикубанский р-н, с. Псыж, ул. Шоссейная, 2, справа	43.7	0.0	46.65	0.0	0.0	0	0.0	0.0	44.6	0	19.3	0.0	Карачаево-Черкесская Респ.
