Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58492	Костромская обл., Чухломский р-н, с. Судай	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Костромская обл.
58648	Костромская обл., Антроповский р-н, п. Антропово, ул. Белоусова, 66	42.19	0.0	0.0	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58670	Костромская обл., Красносельский р-н, п. Красное-на-Волге, ул. Советская, 75	42.19	0.0	44.41	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58677	Костромская обл., Пыщугский р-н, а/д Р157 (Урень-Шарья-Никольск-Котлас), 180 км, слева	42.19	0.0	44.61	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58469	Костромская обл., Галичский р-н, г. Галич, ш. Костромское	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58470	Костромская обл., Чухломский р-н, г. Чухлома, ул. Свободы, 81	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58471	Костромская обл., Солигаличский р-н, г. Солигалич, ул. Первомайская	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58472	Костромская обл., Судиславский р-н, п. Западный, ул. Костромская (Р98), 1А	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58473	Костромская обл., Островский р-н, п. Островское	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58474	Костромская обл., Кадыйский р-н, п. Кадый, ул. Макарьевская (Р98), (145 км)	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58475	Костромская обл., Кадыйский р-н, д. Меленки	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Костромская обл.
58476	Костромская обл., Макарьевский р-н, г. Макарьев, ул. Дорожная, 30, слева	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58477	Костромская обл., Парфеньевский р-н, п. Парфеньево, ул. Песочная, 37	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58478	Костромская обл., Нейский р-н, г. Нея, ул. Ленина, 138	42.19	0.0	44.51	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58479	Костромская обл., Мантуровский р-н, г. Мантурово, ул. Костромская	42.19	0.0	44.61	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58480	Костромская обл., Мантуровский р-н, Знаменский с/п, д. Папулиха	42.19	0.0	0.0	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Костромская обл.
58467	Костромская обл., Буйский р-н, г. Буй, ул. Коммунистов, 26	41.84	0.0	43.88	0.0	0.0	0	0.0	0.0	44.6	0	0.0	0.0	Костромская обл.
58468	Костромская обл., Буйский р-н, п. Чистые Боры	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Костромская обл.
