Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58595	Краснодарский край, Каневский р-н, ст-ца Каневская, а/д Краснодар-Ейск, 121км+500м, слева	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58596	Краснодарский край, Брюховецкий р-н, ст-ца Брюховецкая, а/д Р268 Краснодар-Ейск, 93км+700м, справа	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58597	Краснодарский край, Каневский р-н, г. Стародеревянковская, ул. Ленинградская, 1	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58598	Краснодарский край, Павловский р-н, ст-ца Павловская, а/д М4 'Дон', 1196км, справа	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58599	Краснодарский край, г. Краснодар, ул. Дзержинского, 237	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58600	Краснодарский край, г. Краснодар, ул. Дзержинского, 108	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58601	Краснодарский край, Тимашевский р-н, г. Тимашевск, ул. Профильная, 10, справа	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58603	Краснодарский край, Красноармейский р-н, ст-ца Полтавская, ул. Народная, 22	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58604	Краснодарский край, Северский р-н, ст-ца Северская, а/д А146 (Краснодар - Новороссийск), 179км, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Краснодарский край
58605	Краснодарский край, Северский р-н, ст-ца Северская, а/д А146 (Краснодар-Новороссийск), 48км+250м, слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58606	Краснодарский край, Динской р-н, ст-ца Новотитаровская, ш. Ейское, 1, справа	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58607	Краснодарский край, Динской р-н, ст-ца Новотитаровская, а/д Калининская-Новотитаровская, 41км+900м	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58609	Краснодарский край, г. Армавир, ул. Воровского, 63	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58610	Краснодарский край, п. Верхнебаканский, а/д А146 Краснодар-Новороссийск, 135км, справа	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58611	Краснодарский край, Абинский р-н, г. Абинск, ул. Советов/Темрюкская	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Краснодарский край
58612	Краснодарский край, Абинский р-н, г. Абинск, а/д А146 (Краснодар - Новороссийск), 92км (пересечение с ул.Ленинградской)	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58613	Краснодарский край, Абинский р-н, г. Абинск, а/д А146 (Краснодар - Новороссийск), 95км (Южная окраина Абинска)	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Краснодарский край
58614	Краснодарский край, г. Краснодар, а/д Р251 (почтовое отделение Краснодара №27), 197км	43.5	44.0	47.35	0.0	52.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58615	Краснодарский край, Славянский р-н, п. Анастасиевская, ул. Красная, 1Г	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58616	Краснодарский край, Анапский р-н, п. Виноградный, ул. Таманская, 86, слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58617	Краснодарский край, Красноармейский р-н, ст-ца Марьянская, а/д Р251 (Темрюк-Краснодар-Кропоткин), 600м на север от станицы, справа	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58402	Краснодарский край, г. Краснодар, ул. Академика Лукьяненко, 6	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58401	Краснодарский край, Темрюкский р-н, г. Темрюк, а/д Южный обход г.Темрюка (Темрюк-Анапа), 0км+300м, слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58400	Краснодарский край, Славянский р-н, п. Коржевский, а/д Р251 (ул. Краснодарская), 31км (48/1), слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58399	Краснодарский край, Павловский р-н, ст-ца Старолеушковская, а/д М4 'Дон', 1215км+100м, слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58398	Краснодарский край, Кореновский р-н, ст-ца Журавская, а/д М4 'Дон', 1264км+900м, слева	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
58397	Краснодарский край, Анапский р-н, х. Рассвет, ул. Солнечная ул., 59/1, слева	43.5	44.0	0.0	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56474	Краснодарский край, Лазаревский, г. Сочи, 81км+450км, справа	43.5	44.0	0.0	47.85	52.0	0	47.85	0.0	44.55	0	0.0	0.0	Краснодарский край
56467	Краснодарский край, Адлерский внутригородской район, г. Сочи, ул. Мира	43.5	44.0	47.35	47.85	0.0	0	52.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56466	Краснодарский край, Адлерский р-н, г. Сочи, с. Веселое, ул. Таврическая	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56462	Краснодарский край, Центральный р-н, г. Сочи, ул. Пластунская	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56461	Краснодарский край, Адлерский р-н, г. Сочи, ул. Энергетиков, на въезде в Олимпийскую деревню	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56460	Краснодарский край, г. Геленджик, а/д М4 'Дон', 1513 км + 850м, справа	43.5	44.0	47.35	0.0	52.0	0	47.85	0.0	44.55	0	0.0	0.0	Краснодарский край
56459	Краснодарский край, Кореновский р-н, станица Журавская, а/д М4 'Дон', 1264 км+700 м, справа	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56465	Краснодарский край, Адлерский р-н, г. Сочи, а/д А149 (Адлер - Красная Поляна), справа	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	24.1	0.0	Краснодарский край
56464	Краснодарский край, Хостинский р-н, г. Сочи, ул. Транспортная	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56463	Краснодарский край, Адлерский р-н, г. Сочи, ул. Таврическая	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56458	Краснодарский край, г. Краснодар, ул. Уральская, 214/2	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	0.0	0.0	Краснодарский край
56424	Краснодарский край, Кущевский р-н, х. Цукерова Балка, а/д М4 'Дон', 1119 км+800 м, слева	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
56412	Краснодарский край, г. Армавир, а/д Р217 'Кавказ' (бывш. М29), 171 км + 900м, слева	43.5	44.0	47.35	0.0	0.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
56405	Краснодарский край, п. Афипский, а/д А146 (Краснодар - Новоросийск), 29 км, справа	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
56397	Краснодарский край, г. Кореновск, а/д М4 'Дон', 1276 км+350м, слева	43.5	44.0	47.35	47.85	52.0	0	47.85	0.0	44.55	0	21.4	0.0	Краснодарский край
56379	Краснодарский край, Туапсинский р-н, Джубга, п., а/д М-27, 3 км + 660 м, Cлева	43.5	44.0	47.35	47.85	52.0	0	0.0	0.0	44.55	0	22.65	0.0	Краснодарский край
56377	Краснодарский край, Кущевский р-н,а/д М-4 'Дон', 1119км+700м, справа	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
56376	Краснодарский край, Крыловской р-н, станица Октябрьская, а/д М4 'Дон', 1178 км + 800, справа	43.5	44.0	47.35	47.85	52.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
56374	"Краснодарский край, Армавир, т.п.г., Армавир, г., ФАД ""Кавказ"", км 171 + 500 м (справа)"	43.5	44.0	47.35	47.85	0.0	0	0.0	0.0	44.55	0	21.4	0.0	Краснодарский край
