Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56468	Красноярский край, Березовский р-н, а/д М53 'Байкал' (Новосибирск - Кемерово - Красноярск - Иркутск), 849 км + 500 м, слева	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56386	Красноярский край, г. Красноярск, ул. Пограничников, справа	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56385	"Красноярский край, Емельяновский р-н, а/д К-01 ""Красноярск-Енисейск"", 18 км + 400 м, (слева)"	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56384	"Красноярский край, Емельяновский р-н, а/д К-01 ""Красноярск-Енисейск"", 17 км + 800 м, (справа)"	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56383	Красноярский край, Березовский р-н, р.п. Березовка, ул. Трактовая, 128А	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56382	Красноярский край, г. Ачинск, ш. Восточное, 9	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56373	Красноярский край, Ачинский р-н, г. Ачинск, ш. Красноярское, 5	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56367	Красноярский край, Козульский р-н, а/д М-53, 722 км + 950 м,, справа	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56327	Красноярский край, Березовский р-н, г. Дивногорск, пр-д Верхний, 31/4	40.9	0.0	43.25	0.0	0.0	0	0.0	0.0	46.2	0	0.0	0.0	Красноярский край
56326	Красноярский край, г. Ачинск, ул. Южная Промзона, квартал 3, соор.7	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56314	Красноярский край, Березовский р-н, г. Дивногорск, а/д М54 (Красноярск-Абакан), 36 км, 1, слева	40.9	0.0	43.25	0.0	48.2	0	0.0	0.0	0.0	0	0.0	0.0	Красноярский край
56312	Красноярский край, Емельяновский р-н, п. Солонцы, пр-т Котельникова, сооруж.17	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
56313	Красноярский край, Емельяновский р-н, с. Дрокино, Московская, 93А	41.1	0.0	43.45	0.0	48.2	0	0.0	0.0	47.35	0	0.0	0.0	Красноярский край
64020	"Красноярский край, Канск, кл. Красной Армии, 3 ""Д"""	41.1	0.0	43.45	0.0	0.0	0	0.0	0.0	46.8	0	0.0	0.0	Красноярский край
