Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56417	Курганская обл., Лебяжьевский р-н, а/д М51 (Челябинск - Курган - Омск - Новосибирск), 350 км, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
56415	Курганская обл., г. Курган, ул. Омская, 175б	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
56395	Курганская обл., г. Курган, ул. Дзержинского, 41К	40.9	0.0	44.05	0.0	48.3	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
56396	Курганская обл., г. Курган, ул. Мостостроителей, 20	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
56320	Курганская обл., Макушинский р-н, г. Макушино, ул. Гоголя, 22	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
56315	Курганская обл., г. Курган, а/д М51 (Челябинск - Курган - Петропавловск - Омск - Новосибирск), 277 км, справа	40.9	0.0	44.05	0.0	48.3	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
56287	Курганская обл., г. Курган, ул. Бурова-Петрова, 130	40.9	0.0	44.05	0.0	48.3	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
56261	Курганская обл., г. Курган, а/д М51 (Челябинск - Курган - Петропавловск - Омск - Новосибирск), 254 км, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	21.0	0.0	Курганская обл.
56158	Курганская обл., г. Куртамыш, пр-т Ленина, 123	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
56157	Курганская обл., Звериноголовский р-н, с. Звериноголовское, а/д Р327 (Курган-Звериноголовское), 120 км, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54891	Курганская обл., Петуховский р-н, г. Петухово, ул. Сибирская, 1	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54890	Курганская обл., Частоозерский р-н, г. Частоозерье, а/д Макушино-Частоозерье-Бердюжье, 453 км, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54889	Курганская обл., Петуховский р-н, а/д М51 (Челябинск - Омск - Новосибирск), 463 км, слева	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Курганская обл.
54888	Курганская обл., Лебяжьевский р-н, р.п. Лебяжье, ул. Советская, 1	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54887	Курганская обл., Макушинский р-н, г. Макушино, а/д Макушино - Частоозерье - Бердюжье, 200 м, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54886	Курганская обл., Сафакулевский р-н, с. Сафакулево, ул. Созыкина, 18	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54885	Курганская обл., Шумихинский р-н, г. Шумиха, а/д М51 'Байкал' (Челябинск - Омск - Новосибирск), 126 км, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54884	Курганская обл., Целинный р-н, с. Целинное	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54883	Курганская обл., Альменевский р-н, с. Альменево, ул. Комсомола, 1а	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54882	Курганская обл., Шумихинский р-н, г. Шумиха, ул. Гоголя, 164	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54881	"Курганская обл., Мишкинский р-н, п. Мишкино, а/д М51 ""Байкал"" (Челябинск - Омск - Новосибирск), 171 км, справа"	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54880	Курганская обл., Щучанский р-н, г. Щучье, а/д М51 'Байкал' (Челябинск - Омск - Новосибирск), 93 км, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54879	Курганская обл., Далматовский р-н, г. Далматово, а/д Р354 (Курган-Екатеринбург), 150 км от Кургана	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54878	Курганская обл., Шатровский р-н, с. Камышевка, а/д Р329 (Шадринск-Ялуторск), слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54877	Курганская обл., Катайский р-н, г. Катайск, ул. Шумилова, 51	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54876	Курганская обл., Каргапольский р-н, р.п. Каргаполье, ул. Грейдерная, 27	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54874	Курганская обл., Далматовский р-н, с. Уксянское, а/д Миасское - Шадринск, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54875	Курганская обл., Далматовский р-н, г. Далматово, ул. Пушкина, 43б	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54873	Курганская обл., Шадринский р-н, г. Шадринск, тракт Курганский, 14а	40.9	0.0	44.05	0.0	48.3	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
54870	Курганская обл., Юргамышский р-н, р.п. Юргамыш, ул. Мира, 82	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54872	Курганская обл., Шадринский р-н, г. Шадринск, ул. Автомобилистов, 32	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
54871	Курганская обл., Шадринский р-н, г. Шадринск, ул. Челябинская, 27А	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
54869	Курганская обл., Притобольный р-н, с. Арсеновка, а/д Р327 (Курган-Звериноголовское), 65 км, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54868	Курганская обл., Половинский р-н, с. Половинное, а/д Курган-Половинное (на Казахстан), 80 км, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54867	Курганская обл., Варгашинский р-н, п. Варгаши, а/д М51, 301 км, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54866	Курганская обл., г. Куртамыш, пр-т Конституции, 42А	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54864	Курганская обл., Кетовский р-н, п. Большое Чаусово, а/д М51 (Тюменский тракт), 1 км от Кургана, слева	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54865	Курганская обл., Каргапольский р-н, с. Чаши, а/д Р354 (Курган-Екатеринбург), 50 км, справа	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Курганская обл.
54861	Курганская обл., г. Курган, пр-т Машиностроителей, 40б	40.9	0.0	44.05	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Курганская обл.
