Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58646	Курская обл., Обоянский р-н, г. Обоянь, ул. Курская, 101	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58674	Курская обл., Курчатовский р-н, г. Курчатов, п. Иванино, а/д Р199 (Курск - Льгов - Рыльск - граница с Украиной (на Глухов)), справа	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.37	0	0.0	0.0	Курская обл.
58675	Курская обл., Курский р-н, д. Татаренкова, а/д М2 'Крым', 514 км + 700м, справа	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58351	Курская обл., г. Льгов, а/д Р199 (Курск - Рыльск), 80 км, слева	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58361	Курская обл., г. Курск, ул. Дубровинского, 131 А	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.37	0	0.0	0.0	Курская обл.
58359	Курская обл., Медвенский р-н, п. Медвенка, а/д М2 'Крым', 562 км, справа	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58360	Курская обл., Суджанский р-н, г. Суджа, ул. Строительная	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58364	Курская обл., Золотухинский р-н, п. Свобода, ул. Подазовская, 1б	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.37	0	0.0	0.0	Курская обл.
58365	Курская обл., Горшеченский р-н, п. Горшечное, а/д Р189 (Короча - Губкин - Старый Оскол - Горшечное), 161 км, справа	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
58366	Курская обл., Курчатовский р-н, с. Дичня, а/д Р199 (Курск - Льгов - Рыльск - граница с Украиной), 35 км, справа	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.37	0	0.0	0.0	Курская обл.
58367	Курская обл., Горшеченский р-н, п. Горшечное, а/д А144 (Курск - Воронеж), 138 км, слева	42.29	42.79	0.0	45.65	0.0	0	0.0	0.0	45.17	0	0.0	0.0	Курская обл.
