Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56369	Липецкая обл., Краснинский р-н, с. Красное, а/д Становое - Лебедянь, 36 км, справа	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56093	Липецкая обл., Хлевенский р-н, п. Стародубовский, а/д М4 'Дон', 443 км + 100м, справа	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56094	Липецкая обл., Хлевенский р-н, п. Стародубовский, а/д М4 'Дон', 443 км + 100м, слева	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56092	Липецкая обл., Грязинский р-н, г. Грязи, ул. Советская, 143, слева	42.2	42.7	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56091	Липецкая обл., Данковский р-н, г. Данков, ул. Мира, 77 к.3	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56090	Липецкая обл., Задонский р-н, д. Большое Панарино, а/д М4 'Дон', 424 км, слева	42.2	42.7	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56089	Липецкая обл., Задонский р-н, д. Большое Панарино, а/д М4 'Дон', 424 км, справа	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56088	Липецкая обл., Становлянский р-н, с. Тростное, а/д М4 'Дон', 369 км, справа	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	22.0	0.0	Липецкая обл.
56087	Липецкая обл., Краснинский р-н, с. Красное, ул. Пивзаводская	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56086	Липецкая обл., Елецкий р-н, г. Елец, ул. Промышленная, справа	42.2	42.7	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56085	Липецкая обл., Тербунский р-н, с. Тербуны, ул. Октябрьская, слева	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56084	Липецкая обл., Лев Толстовский р-н, п.г.т. Лев Толстой, ул. Льва Толстого, 132	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56083	Липецкая обл., Липецкий р-н, с. Боринское, а/д А133 (М4 - Липецк), 36 км + 300м, слева	42.2	42.7	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56082	Липецкая обл., Хлевенский р-н, с. Конь-Колодезь, а/д М4 'Дон', 463 км, слева	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	22.0	0.0	Липецкая обл.
56081	Липецкая обл., Хлевенский р-н, с. Конь-Колодезь, а/д М4 'Дон', 463 км, справа	42.2	0.0	45.86	0.0	0.0	0	0.0	0.0	45.28	0	22.0	0.0	Липецкая обл.
56080	Липецкая обл., Липецкий р-н, п. Матырский, ул. Саратовская, вл.1	42.2	42.7	45.86	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
56079	Липецкая обл., Липецкий р-н, с. Косыревка, ул. Новая, 1	42.0	42.5	45.5	0.0	0.0	0	0.0	0.0	45.28	0	0.0	0.0	Липецкая обл.
