Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58254	Московская обл., Люберецкий р-н, г. Люберцы, ул. Инициативная, 3А	41.6	0.0	45.8	46.8	0.0	0	0.0	52.4	45.5	0	0.0	0.0	Московская обл.
58663	Московская обл., Мытищинский р-н, д. Красная Горка, ш. Рогачевское, 2А, слева	41.5	0.0	46.2	47.2	0.0	0	0.0	0.0	45.5	0	21.7	0.0	Московская обл.
58664	Московская обл., Сергиево-Посадский р-н, д. Лешково, ш. Ярославское, вл. 61, справа	41.8	0.0	45.8	46.8	0.0	0	0.0	52.2	45.4	0	0.0	0.0	Московская обл.
58665	Московская обл., Мытищинский р-н, п. Челобитьево, ул. Шоссейная, вл.144	42.2	0.0	46.1	47.1	0.0	0	0.0	52.2	45.7	0	0.0	0.0	Московская обл.
58666	Московская обл., Наро-Фоминский р-н, г. Наро-Фоминск, ш. Киевское, 74 км, справа	41.5	0.0	45.2	46.2	0.0	0	0.0	0.0	45.0	0	0.0	0.0	Московская обл.
58688	Московская обл., Мытищинский р-н, г. Мытищи, ул. Трудовая, 31	42.3	0.0	46.4	47.4	0.0	0	0.0	52.5	45.8	0	0.0	0.0	Московская обл.
58691	Московская обл., Ступинский р-н, а/д М'Дон' (Каширское ш.), 100 км, справа	41.6	0.0	45.7	46.7	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Московская обл.
58692	Московская обл., Можайский р-н, д. Хващевка, ш. Минское, 141 км, справа	41.5	0.0	45.4	46.4	0.0	0	0.0	52.2	44.1	0	0.0	0.0	Московская обл.
58120	Московская обл., Балашихинский р-н, г. Реутов, а/д М7 (Энтузиастов ш.), 17, справа	41.6	0.0	45.9	46.9	0.0	0	0.0	52.7	45.5	0	0.0	0.0	Московская обл.
58122	Московская обл., Раменский р-н, г. Жуковский, ул. Туполева, 30 стр.1	41.5	0.0	45.4	46.4	0.0	0	0.0	0.0	45.6	0	0.0	0.0	Московская обл.
58129	Московская обл., Мытищинский р-н, д. Шолохово, а/д А10(Дмитровское ш.), 35 км. (д.2), справа	41.1	0.0	46.1	47.1	0.0	0	0.0	52.6	45.5	0	0.0	0.0	Московская обл.
58130	Московская обл., Наро-Фоминский р-н, г. Наро-Фоминск, ш. Киевское, 71 км, слева	41.5	0.0	45.2	46.2	0.0	0	0.0	52.2	45.0	0	0.0	0.0	Московская обл.
58134	Московская обл., Одинцовский р-н, д. Вырубово, ш. Минское, 23 км (стр.1), слева	41.5	0.0	45.4	46.4	0.0	0	0.0	52.5	44.6	0	0.0	0.0	Московская обл.
58135	Московская обл., Одинцовский р-н, д. Вырубово, ш. Минское, 23 км (стр.2), справа	41.5	0.0	45.4	46.4	0.0	0	0.0	52.5	44.6	0	0.0	0.0	Московская обл.
58140	Московская обл., Пушкинский р-н, г. Ивантеевка, ул. Толмачева, 27А	41.0	0.0	45.4	46.4	0.0	0	0.0	52.3	44.3	0	0.0	0.0	Московская обл.
58141	Московская обл., Мытищинский р-н, д. Сухарево, а/д А10(Дмитровское ш.), 37 км (д.186), справа	41.1	0.0	0.0	46.6	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Московская обл.
58142	Московская обл., Орехово-Зуевский р-н, д. Щербинино, стр.16	40.6	0.0	45.1	46.1	0.0	0	0.0	0.0	43.8	0	0.0	0.0	Московская обл.
58143	Московская обл., Орехово-Зуевский р-н, г. Орехово-Зуево, ул. Северная, 59А	40.6	0.0	45.1	46.1	0.0	0	0.0	51.7	43.8	0	0.0	0.0	Московская обл.
58144	Московская обл., Орехово-Зуевский р-н, г. Орехово-Зуево, ул. Егорьевская, 1	40.6	0.0	45.1	46.1	0.0	0	0.0	0.0	43.8	0	0.0	0.0	Московская обл.
58145	Московская обл., Сергиево-Посадский р-н, д. Голыгино, ш. Ярославское, 57 км (вл.56), слева	41.8	0.0	45.8	46.8	0.0	0	0.0	52.2	45.4	0	0.0	0.0	Московская обл.
58310	Московская обл., Луховицкий р-н, д. Врачево, ш. Новорязанское, 143 км, слева	41.1	0.0	45.5	0.0	0.0	0	0.0	0.0	44.2	0	0.0	0.0	Московская обл.
58309	Московская обл., Луховицкий р-н, д. Врачево, ш. Новорязанское, 142 км, справа	41.1	0.0	45.5	46.5	0.0	0	0.0	0.0	44.2	0	0.0	0.0	Московская обл.
58308	Московская обл., Коломенский р-н, г. Коломна, ул. Астахова, 4	41.7	0.0	45.8	0.0	0.0	0	0.0	0.0	44.0	0	0.0	0.0	Московская обл.
58283	Московская обл., Домодедовский р-н, д. Образцово, а/д А107 (Московское Малое Кольцо), стр.1В, справа	41.5	0.0	45.5	46.5	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Московская обл.
58282	Московская обл., Одинцовский р-н, с. Каринское, ш. Минское, 114	41.6	0.0	45.9	46.9	0.0	0	0.0	0.0	45.0	0	0.0	0.0	Московская обл.
58281	Московская обл., Одинцовский р-н, п. НИИ Радио, ш. Петровское, км, справа	41.6	0.0	45.9	46.9	0.0	0	0.0	0.0	45.0	0	0.0	0.0	Московская обл.
58280	Московская обл., Домодедовский р-н, д. Вахромеево, а/д А107 (Московское Малое Кольцо), 2 км, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Московская обл.
58279	Московская обл., Домодедовский р-н, с. Вельяминово, ш. Каширское, 69 км (стр.20а), слева	41.6	0.0	45.5	0.0	0.0	0	0.0	0.0	44.7	0	0.0	0.0	Московская обл.
58278	Московская обл., Ступинский р-н, п. Михнево, а/д М'Дон' (Каширское ш.) пересеч. с а/д А108, 85 км, справа	41.6	0.0	45.5	46.5	0.0	0	0.0	0.0	44.3	0	0.0	0.0	Московская обл.
58277	Московская обл., Наро-Фоминский р-н, д. Назарьево, а/д А108 (Московское Большое Кольцо), слева	41.5	0.0	45.2	46.2	0.0	0	0.0	0.0	45.0	0	0.0	0.0	Московская обл.
58276	Московская обл., Наро-Фоминский р-н, г. Верея, ул. 1-я Советская, 75	41.5	0.0	45.2	46.2	0.0	0	0.0	0.0	45.0	0	0.0	0.0	Московская обл.
58275	Московская обл., Ленинский р-н, г. Видное, пр-т Ленинского Комсомола, 32/56	41.2	0.0	45.4	46.4	0.0	0	0.0	52.4	44.0	0	0.0	0.0	Московская обл.
58060	Московская обл., Коломенский р-н, г. Коломна, ул. Щуровская, 2	41.3	0.0	45.6	46.6	0.0	0	0.0	52.3	44.0	0	0.0	0.0	Московская обл.
58061	Московская обл., Ступинский р-н, д. Аксиньино, а/д А108 (Московское Большое Кольцо), 20 км, слева	41.6	0.0	45.7	46.7	0.0	0	0.0	52.5	45.3	0	0.0	0.0	Московская обл.
58062	Московская обл., Серебряно-Прудский р-н, д. Куребино, а/д М6 'Каспий', 172 км, справа	41.6	0.0	45.7	46.7	0.0	0	0.0	0.0	45.5	0	20.9	0.0	Московская обл.
58065	Московская обл., Раменский р-н, д. Донино, ш. Егорьевское, 23 км, слева	41.9	0.0	46.1	47.1	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Московская обл.
