Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56350	"Мурманская обл., Печенгский, п. Никель в районе гаражей АТЦ ОАО ""КГМК"", перекресток дороги Никель-Сальмиярви с технической дорогой"	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
55335	Мурманская обл., г. Мурманск, пр. Героев Североморцев, 103	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
55336	Мурманская обл., г. Мурманск, ул. Коминтерна, 1	43.4	0.0	46.15	0.0	0.0	0	49.7	0.0	48.5	0	0.0	0.0	Мурманская обл.
55334	Мурманская обл., г. Мурманск, пр. Кольский, 132	43.4	0.0	46.15	0.0	0.0	0	49.7	0.0	48.5	0	0.0	0.0	Мурманская обл.
55333	Мурманская обл., г. Мурманск, ул. Прибрежная, 1	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
55332	Мурманская обл., г. Мурманск, ш. Верхне-Ростинское, 50	43.4	0.0	46.15	0.0	0.0	0	49.7	0.0	48.5	0	0.0	0.0	Мурманская обл.
54993	Мурманская обл., г. Ковдор, ул. Кошина	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54992	Мурманская обл., Кировский р-н, г. Кировск, а/д Апатиты-Кировск, 16 км, справа	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54991	Мурманская обл., г. Апатиты, ул. Промышленная, 2	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54989	Мурманская обл., Печенгский р-н, г. Заполярный, а/т Р-10, 43 км, слева	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54990	Мурманская обл., Кировский р-н, г. Кировск, а/д Апатиты-Кировск, 23 км	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54987	Мурманская обл., Кандалакшский р-н, п. Зеленоборский, а/д М18 'Кола', 1108 км	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54988	Мурманская обл., Кандалакшкий р-н, п. Алакуртти	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54986	Мурманская обл., г. Полярные Зори, ул. Энергетиков, 26	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54985	Мурманская обл., Кандалакшкий р-н, г. Кандалакша, ул. Дорожников, 3	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54984	Мурманская обл., Терский р-н, п. Умба, ул. Северная, 38	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54982	Мурманская обл., Оленегоский р-н, г. Оленегорск, Мончегорское ш., 20, слева	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54983	Мурманская обл., Кандалакшкий р-н, г. Кандалакша, ул. Спекова, 60	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54981	Мурманская обл., Мончегорский р-н, г. Мончегорск, а/д М-18 'Кола', 1260 км, слева	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54980	Мурманская обл., Мончегорский р-н, г. Мончегорск, Привокзальное ш., 5А, справа	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54979	Мурманская обл., Ловозерский р-н, п. Ревда, ул. Северный Тракт	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54978	Мурманская обл., Кольский р-н, г. Кола, а/д М18 (Санкт-Петербург - Мурманск), 1382 км, справа	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54977	Мурманская обл., г. Мурманск, пр-т Героев Североморцев, 85	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
54976	Мурманская обл., г. Мурманск, пр. Кольский, 181А	43.4	0.0	46.15	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Мурманская обл.
80471	Мурманская обл., Кольский район, п.г.т. Мурмаши, ул. Московская, д. 15	42.9	0.0	45.65	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Мурманская обл.
