Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58387	Орловская обл., г. Орел, ул. Авиационная, 1д	41.8	42.55	0.0	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
58386	Орловская обл., Орловский р-н, п. Добрый, ул. Центральная, 1, лит.А, слева	41.8	0.0	44.9	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
58389	Орловская обл., г. Орел, ул. Лескова, 17 Б	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
58388	Орловская обл., г. Орел, ул. Ливенская, 7б	41.8	42.55	0.0	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56042	Орловская обл., Ливенский р-н, г. Ливны, ул. Елецкая, справа	41.8	42.55	0.0	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56041	Орловская обл., Ливенский р-н, г. Ливны, а/д Р119 (Орел - Ливны - Елец - Липецк - Тамбов), 130 км, справа	41.8	0.0	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56040	Орловская обл., г. Орел, ул. Михалицына, 74, справа	41.8	0.0	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56039	Орловская обл., Мценский р-н, д. Подберезово, а/д М-2 'Крым', 315 км + 630 м, слева	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56036	Орловская обл., Хотынецкий р-н, с. Богородицкое, а/д А141 (Орел-Брянск-Смоленск), 54 км + 500м, слева	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56035	Орловская обл., Мценский р-н, г. Мценск, ул. Кузьмина	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56037	Орловская обл., г. Орел, ул. Городская, 84б	41.8	0.0	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56034	Орловская обл., г. Орел, ш. Московское, 124, справа	41.8	42.55	44.9	0.0	0.0	0	51.5	0.0	45.25	0	0.0	0.0	Орловская обл.
56033	Орловская обл., Дмитровский р-н, г. Дмитровск, ул. Советская	41.8	0.0	0.0	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56032	Орловская обл., Новодеревеньковский р-н, п. Хомутово, ул. Кооперативная, 36	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56031	Орловская обл., Троснянский р-н, п. Нижнее Муханово, а/д М2 'Крым' (Москва-Орел-Харьков), 433 км + 600м, справа	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56030	Орловская обл., Глазуновский р-н, п. Глазуновка, ул. Полевая, 54	41.8	0.0	0.0	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56029	Орловская обл., г. Орел, ул. Полесская, 36, правая	41.8	42.55	44.9	0.0	0.0	0	51.5	0.0	45.25	0	0.0	0.0	Орловская обл.
56026	Орловская обл., Свердловский р-н, д. Котовка, а/д Змиевка - Глазуновка, слева	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56028	Орловская обл., Ливенский р-н, п. Дубки, ул. Фрунзе, 194а	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56025	Орловская обл., Орловский р-н, п. Знаменка, а/д М2 'Крым' (Москва-Орел-Харьков), 380 км, справа	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56024	Орловская обл., Должанский р-н, п. Долгое, ул. Привокзальная, 14а	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56023	Орловская обл., Верховский р-н, п. Верховье, ул. Ленина, 131	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56021	Орловская обл., Малоархангельский р-н, г. Малоархангельск, ул. Калинина, 15г	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56020	Орловская обл., Мценский р-н, д. Головлево, а/д М2 'Крым' (Москва-Орел-Харьков), 329 км + 300м, слева	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56019	Орловская обл., Покровский р-н, п. Покровское, ул. Ленина	41.8	0.0	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56018	Орловская обл., Хотынецкий р-н, п. Хотынец, ул. Батова	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56017	Орловская обл., Мценский р-н, д. Головлево, а/д М2 'Крым' (Москва-Орел-Харьков), 330 rv, справа	41.8	0.0	0.0	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56016	Орловская обл., Урицкий р-н, п. Нарышкино, ул. Ленина, 5	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56015	Орловская обл., Колпнянский р-н, п. Колпны, ул. 13 Армии, 19	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56014	Орловская обл., Залегощенский р-н, п. Залегощь, ул. Привокзальная	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56013	Орловская обл., Новосильский р-н, г. Новосиль, ул. Коммунаров, 47	41.8	0.0	0.0	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56012	Орловская обл., Ливенский р-н, г. Ливны, ул. Орловская, справа	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	23.4	0.0	Орловская обл.
56011	Орловская обл., Мценский р-н, г. Мценск, ул. Автомагистраль	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56010	Орловская обл., Болховский р-н, г. Болхов, ул. Маяковского, 150	41.8	42.55	44.9	0.0	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
56009	Орловская обл., г. Орел, ш. Карачевское, справа	41.8	42.55	0.0	45.5	0.0	0	0.0	0.0	45.25	0	0.0	0.0	Орловская обл.
