Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56403	Пензенская обл., Пензенский  р-н, с. Богословка, а/д Нижний Новгород - Саратов, 411 км+400 м, слева	42.2	42.7	45.2	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
56402	"Пензенская обл., Кузнецкий р-н, г. Кузнецк, а/д М5 ""Урал"", 753 км, справа"	42.0	0.0	45.2	0.0	0.0	0	0.0	0.0	44.5	0	0.0	0.0	Пензенская обл.
56329	Пензенская обл., Городищенский р-н, г. Городище (трасса), а/д М5 'Урал', 678 км (3300 м на запад от ориентира г.Городище), слева	42.2	0.0	45.2	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
56330	Пензенская обл., Спасский р-н, а/д М5 'Урал', 500км+370м на юго-восток, слева	42.2	42.7	45.2	0.0	48.35	0	0.0	0.0	44.5	0	0.0	0.0	Пензенская обл.
56331	Пензенская обл., Нижнеломовский р-н, г. Нижний Ломов, а/д М5 'Урал', 525км+500м, справа	42.2	42.7	45.2	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
56263	Пензенская обл., Бессоновский р-н, п. Монтажный (трасса), а/д М5 'Урал', 644 км+ 065 м, справа	42.0	0.0	45.1	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55646	Пензенская обл., Каменский р-н, г. Каменка, ул. Гражданская, 60	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55645	Пензенская обл., Неверкинский р-н, р.п. Неверкино, ул. Кирова, 92	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55644	Пензенская обл., Лунинский р-н, р.п. Лунино, ул. Шоссейная, 40	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55643	Пензенская обл., г. Пенза, ул. Нейтральная, 104	42.0	42.5	45.1	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55642	Пензенская обл., Кузнецкий р-н, г. Кузнецк, ул. Правды, 186	42.1	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55641	Пензенская обл., Бессоновский р-н, с. Трофимовка, а/д М5 'Урал', 647 км, слева	42.2	0.0	45.2	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55640	Пензенская обл., г. Заречный, пр-т Мира, 77	41.8	0.0	45.1	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55639	"Пензенская обл., Земетчинский р-н, р.п. Земетчино, ул. Ленина, а/д ""Кувак Никольское-Земетчино"" 72 км, слева"	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55638	Пензенская обл., Иссинский р-н, р.п. Исса, ул. Огарева, 72	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55637	Пензенская обл., Спасский р-н, с. Дубровки, а/д М5 'Урал', 483 км + 600, справа	42.0	0.0	45.2	0.0	48.35	0	0.0	0.0	44.5	0	0.0	0.0	Пензенская обл.
55636	Пензенская обл., Сосновоборский р-н, с. Стар.Кряжим, а/д М5 'Урал', 724 км, справа	42.0	0.0	45.2	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
55635	Пензенская обл., Наровчатский р-н, р.п. Наровчат, а/д Наровчат-Нижний Ломов, 2 км от р.п.Наровчат, справа	42.2	0.0	45.2	0.0	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Пензенская обл.
55634	Пензенская обл., Кузнецкий р-н, г. Кузнецк, ш. Алексеевское, 1 Б	42.0	0.0	45.2	0.0	48.35	0	0.0	0.0	44.8	0	0.0	0.0	Пензенская обл.
