Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56475	Приморский край, Чугуевский район, с. Новомихайловка, ул. Утесная, 25	43.45	0.0	44.5	0.0	46.65	0	0.0	0.0	47.95	0	0.0	0.0	Приморский край
56399	"Приморский край, г. Владивосток, Русский Остров, п. Поспелово, 810 метров по направлению на Юг от ориентира - ""нежилое здание"""	43.6	0.0	44.5	45.0	47.25	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
56398	Приморский край, г. Владивосток, ул. Коммунаров, 23, левая	43.6	0.0	44.5	0.0	47.25	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
56378	Приморский край, г. Владивосток, ул. 2-я Поселковая, 9, слева	43.6	0.0	44.5	0.0	47.25	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
56368	Приморский край, г. Владивосток, ул. Днепровская, 100, слева	43.6	0.0	44.5	0.0	47.25	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
56360	Приморский край, г. Владивосток, ул. Днепровская, 100, справа	43.6	0.0	44.5	0.0	47.25	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
56300	Приморский край, Уссурийский р-н, с. Новоникольск, ул. Пионерская, 97, справа	43.15	0.0	44.1	44.6	46.75	0	0.0	0.0	47.2	0	0.0	0.0	Приморский край
56298	Приморский край, Яковлевский р-н, станица Варфоломеевка, ул. Почтовая, 17а, справа	43.3	0.0	43.9	0.0	46.65	0	0.0	0.0	47.7	0	0.0	0.0	Приморский край
56290	Приморский край, Михайловский р-н, с. Михайловка, ул. Строительная, 12	43.15	0.0	44.0	44.5	46.75	0	0.0	0.0	47.2	0	0.0	0.0	Приморский край
56245	Приморский край, Надежденский р-н, с. Раздольное, а/д М60 'Уссури' (Хабаровск - Владивосток), 689 км, справа	43.1	0.0	44.0	0.0	46.65	0	0.0	0.0	46.9	0	0.0	0.0	Приморский край
56117	Приморский край, г. Уссурийск, ул. Московская (Владивостокское шоссе, р-н поста ДПС)	43.15	0.0	44.1	44.6	46.75	0	0.0	0.0	47.2	0	0.0	0.0	Приморский край
56111	Приморский край, г. Владивосток, ул. Верхнепортовая, 45а, правая	43.6	0.0	44.5	0.0	0.0	0	0.0	0.0	47.6	0	0.0	0.0	Приморский край
54922	Приморский край, Кировский р-н, п. Горные Ключи, а/д М60 'Уссури' (Хабаровск - Владивосток), 435 км, справа	42.9	0.0	43.4	0.0	45.8	0	0.0	0.0	47.3	0	0.0	0.0	Приморский край
54921	Приморский край, Лесозаводский р-н, г. Лесозаводск, ул. Автозаправочная, 2, справа	42.9	0.0	43.4	0.0	0.0	0	0.0	0.0	47.3	0	0.0	0.0	Приморский край
54920	Приморский край, Дальнереченский р-н, г. Дальнереченск, ул. Олега Кошевого, 50, левая	42.9	0.0	43.4	0.0	45.8	0	0.0	0.0	47.3	0	0.0	0.0	Приморский край
54919	Приморский край, г. Находка, ул. Перевальная, 106 б, левая	43.3	0.0	44.2	0.0	46.95	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54918	Приморский край, Шкотовский р-н, п. Романовка, а/д А188 (Угловое-Находка), 50 км, справа	43.15	0.0	44.05	0.0	0.0	0	0.0	0.0	47.55	0	0.0	0.0	Приморский край
54917	Приморский край, г. Находка, ул. Пограничная, 167, справа	43.3	0.0	44.2	44.7	46.95	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54916	Приморский край, п. Врангель, ул. Внутрипортовая, 26, справа	43.3	0.0	44.2	0.0	0.0	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54915	Приморский край, г. Находка, ул. Шоссейная, 98 а	43.3	0.0	44.2	44.7	46.95	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54914	Приморский край, п. Владимиро-Александровское, ул. Ключевая, 1а, правая	43.3	0.0	44.2	44.7	0.0	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54913	Приморский край, г. Находка, ул. Партизанская, 110, слева	43.3	0.0	44.2	44.7	46.95	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54912	Приморский край, Шкотовский р-н, г. Большой Камень, ул. Ворошилова, 1а, слева	43.15	0.0	44.05	44.55	46.75	0	0.0	0.0	47.55	0	0.0	0.0	Приморский край
54911	Приморский край, Партизанский р-н, г. Партизанск, ул. Партизанская, 88а, слева	43.3	0.0	44.2	0.0	46.95	0	0.0	0.0	47.85	0	0.0	0.0	Приморский край
54910	Приморский край, Надежденский р-н, с. Кипарисово, а/д М60 'Уссури' (ул. Новая), 711 км, справа	43.1	0.0	44.0	44.5	46.65	0	0.0	0.0	46.9	0	0.0	0.0	Приморский край
54909	Приморский край, с. Вольно-Надеждинское, Трасса Хабаровск-Владивосток, 721км (ул. Трактовая)	43.1	0.0	44.0	44.5	46.65	0	0.0	0.0	46.9	0	0.0	0.0	Приморский край
54908	Приморский край, п. Трудовое, 2я шоссейная, 1	43.1	0.0	44.0	44.5	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Приморский край
54907	Приморский край, Шкотовский район, пгт. Штыково, ул. Шоссейная, 31 км трассы Угловое-Находка	43.15	0.0	44.05	44.55	0.0	0	0.0	0.0	47.55	0	0.0	0.0	Приморский край
