Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56285	Респ. Бурятия, Кабанский р-н, п. Тресково, ул. Горбова, 149а	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55583	Респ. Бурятия, Бичурский р-н, п. Бичура, а/д Р441 (Бичура - Улан-Удэ), 5 км, слева	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Респ. Бурятия
55584	Респ. Бурятия, Кабанский р-н, п. Байкало-Кудара, ул. Ленина, 2а	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55582	Респ. Бурятия, Кяхтинский р-н, с. Баян-Булаг, а/д Р441 (Кяхта-Алта), 104 км, слева	42.05	0.0	0.0	0.0	0.0	0	0.0	0.0	47.7	0	0.0	0.0	Респ. Бурятия
55581	Респ. Бурятия, Заиграевский р-н, п. Онохой, ул. Трактовая, 45	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55580	Респ. Бурятия, Северобайкальский р-н, п. Новый Уоян, ул. Железнодорожная, 4	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55579	Респ. Бурятия, Иволгинский р-н, г. Улан-Удэ, ул. Мелиораторов, 27	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55578	Респ. Бурятия, Муйский р-н, п. Таксимо, ул. Притрассовая, 3	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55577	Респ. Бурятия, Хоринский р-н, с. Хоринск, ул. Трактовая, 8	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55576	Респ. Бурятия, Северобайкальский р-н, п. Нижнеангарск, ул. Зеленая, 14	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55575	Респ. Бурятия, Кяхтинский р-н, г. Кяхта, а/д Р441 (Кяхта-Мухоршибирь), 1 км, справа	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55574	Респ. Бурятия, Мухоршибирский р-н, п. Никольск, а/д М55 'Байкал' (Иркутск - Чита), 604 км, справа	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55573	Респ. Бурятия, Кабанский р-н, с. Кабанск, ул. Ленина, 96	41.55	0.0	43.9	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55572	Респ. Бурятия, Заиграевский р-н, п. Курба, а/д Р436 (Улан-Удэ-Романовка-Чита), 73 км, слева	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55571	Респ. Бурятия, Иволгинский р-н, п. Иволгинск, ул. Ленина, 73	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55570	Респ. Бурятия, Кабанский р-н, п. Селенгинск, ул. Комсомольская, 59а	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55569	Респ. Бурятия, Прибайкальский р-н, п. Ильинка, ул. Октябрьская, 200	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55568	Респ. Бурятия, Северобайкальский р-н, г. Северобайкальск, ул. Объездная, 7	43.15	0.0	45.4	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55567	Респ. Бурятия, Кабанский р-н, станица Танхой, ул. Центральная, 97, слева	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55566	Респ. Бурятия, Баргузинский р-н, г. Усть-Баргузин, ул. Рабочая, 10	43.15	0.0	45.4	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55565	Респ. Бурятия, Кабанский р-н, г. Бабушкин, а/д М55 'Байкал' (Иркутск - Чита), 277 км, слева	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55564	Респ. Бурятия, Баунтовский р-н, г. Багдарин, ул. Ленина, 143	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55563	Респ. Бурятия, Баунтовский р-н, п. Романовка, ул. Истоминых, 15	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55562	Респ. Бурятия, Октябрьский р-н, г. Улан-Удэ, ул. Залесная, 1а, правая	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55561	Респ. Бурятия, Кабанский р-н, ст. Тимлюй, а/д М55 (Иркутск - Чита), 345 км, справа	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55560	Респ. Бурятия, Кяхтинский р-н, г. Кяхта, а/д А165 (Улан-Удэ - Кяхта), 212 км, слева	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55559	Респ. Бурятия, Курумканский р-н, с. Курумкан, ул. Балдакова, 81-1	43.15	0.0	45.4	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55556	Респ. Бурятия, Закаменский р-н, г. Закаменск, ул. Горная, 1а	42.05	0.0	44.4	0.0	0.0	0	0.0	0.0	47.7	0	0.0	0.0	Респ. Бурятия
55557	Респ. Бурятия, Бичурский р-н, п. Бичура, ул. Советская, 71	42.05	0.0	44.4	0.0	0.0	0	0.0	0.0	47.7	0	0.0	0.0	Респ. Бурятия
55558	Респ. Бурятия, Баргузинский р-н, п. Баргузин, ул. Кабашова, 31	43.15	0.0	45.4	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55555	Респ. Бурятия, Закаменский р-н, с. Усть Бургалтай, ул. Молодежная, 1	41.65	0.0	0.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55554	Респ. Бурятия, Джидинский р-н, п. Петропавловка, ул. Ленина, 197	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55553	Респ. Бурятия, Селенгинский р-н, г. Гусиноозерск, ул. Шоссейная, 1а	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55552	Респ. Бурятия, Еравнинский р-н, п. Сосново-Озерское, ул. Первомайская	43.15	0.0	0.0	0.0	0.0	0	0.0	0.0	49.0	0	0.0	0.0	Респ. Бурятия
55551	Респ. Бурятия, Кижингинский р-н, п. Эрдэмэг, а/д Кижинга-Новокижингинск, 14 км, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Респ. Бурятия
55550	Респ. Бурятия, Кижингинский р-н, п. Кижинга, ул. Трактовая, 11	42.05	0.0	44.4	0.0	0.0	0	0.0	0.0	47.7	0	0.0	0.0	Респ. Бурятия
55549	Респ. Бурятия, Заиграевский р-н, с. Заиграево, ул. Новожелезнодорожная, 20	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55548	Респ. Бурятия, Железнодорожный, г. Улан-Удэ, пр-т Автомобилистов, 21а	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55547	Респ. Бурятия, Тарбагатайский р-н, п. Тарбагатай, ул. Молодежная, 8	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55546	Респ. Бурятия, Октябрьский р-н, г. Улан-Удэ, ул. Кольцова, 1а	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55545	Респ. Бурятия, Прибайкальский р-н, с. Турунтаево, ул. Трактовая, 8а	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55544	Респ. Бурятия, Прибайкальский р-н, п. Турка, ул. Октябрьская, 112	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.2	0	0.0	0.0	Респ. Бурятия
55543	Респ. Бурятия, Советский, г. Улан-Удэ, ул. Дорожная, 42б, справа	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55542	Респ. Бурятия, Железнодорожный, г. Улан-Удэ, ул. Магистральная, 11	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55541	Респ. Бурятия, Мухоршибирский р-н, а/д М55 'Байкал' (Иркутск - Чита), 556 км, слева	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Респ. Бурятия
55540	Респ. Бурятия, Октябрьский, г. Улан-Удэ, ул. Бабушкина, 156, справа	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55539	Респ. Бурятия, Железнодорожный, г. Улан-Удэ, ул. Заовражная, 1	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55538	Респ. Бурятия, Советский, г. Улан-Удэ, ул. Гоголя, 108, справа	41.65	0.0	44.0	0.0	0.0	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55537	Респ. Бурятия, Железнодорожный, г. Улан-Удэ, пр-т Автомобилистов, 14	41.65	0.0	44.0	0.0	47.4	0	0.0	0.0	47.1	0	0.0	0.0	Респ. Бурятия
55521	Респ. Бурятия, Тункинский р-н, с. Никольск, ул. Трактовая, 36	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Респ. Бурятия
55517	Респ. Бурятия, Тункинский р-н, с. Кырен, ул. Ленина, 1, слева	42.2	0.0	44.1	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Респ. Бурятия
