Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56455	Респ. Ингушетия, Назрановский, г. Назрань, ул. Осканова, пересечение с улицей Ахриева	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56454	Респ. Ингушетия, Сунженский р-н, станица Нестеровская, а/д Орджоникидзевская-Алхасты	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Респ. Ингушетия
56451	Респ. Ингушетия, Малгобекский р-н, развилка трассы г.Малгобек-с.Сагопши	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56452	Респ. Ингушетия, Назрановский р-н, г. Назрань, ул. Картоева, перекресток с Коммунальной ул.	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56453	Респ. Ингушетия, Малгобекский р-н, г. Малгобек, развилка дорог Пседах-Малгобек-Сагопши	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56450	"Респ. Ингушетия, Назрановский р-н, г. Назрань, а/д ""Кавказ"", 569 км, слева"	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56449	Респ. Ингушетия, Малгобекский р-н, п. Средние Ачалуки, а/д Карабулак-Гайрбек-Юрт, перекресток с а/д Назрань-Малгобек	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56448	Респ. Ингушетия, Сунженский р-н, г. Карабулак, а/д Карабулак-Средние Ачалуки, 240 м от переезда через СКЖД	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Респ. Ингушетия
56447	Респ. Ингушетия, Малгобекский р-н, с. Зязиков-Юрт, развилка дорог Назрань-Вознесенская и Маглобек-Грозный	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56446	Респ. Ингушетия, Малгобекский р-н, г. Малгобек, ул. Осканова, перекресток с улицей Оздоева	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56445	"Респ. Ингушетия, Сунженский р-н, с. Галашки, 1200м от овцеводческой фермы АОЗТ ""Галашки"""	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56444	Респ. Ингушетия, Сунженский р-н, станица Нестеровская, пер. Молодежный	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	21.5	0.0	Респ. Ингушетия
56443	Респ. Ингушетия, Сунженский р-н, а/д М29 'Кавказ' и а/д на ст.Нестеровская, 584 км, слева	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56437	Респ. Ингушетия, Назрановский р-н, г. Назрань, ул. Муталиева	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56438	Респ. Ингушетия, Сунженский р-н, п. Карабулак, ул. Осканова, напротив ТД Южный	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56439	"Респ. Ингушетия, Сунженский р-н, г. Карабулак, выезд на а/д ""Кавказ"", 1080м от перекр а/д ""на г.Карабулак"" и а/д ""М29"""	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56440	Респ. Ингушетия, Сунженский р-н, станица Троицкая, ул. Шоссейная, пересечение с пер. Мирный	41.2	0.0	43.2	0.0	0.0	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56441	Респ. Ингушетия, Сунженский р-н, станица Орджоникидзевская, 180м от перекрестка ул. Бояджиева с ул. Калинина	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	21.5	0.0	Респ. Ингушетия
56442	"Респ. Ингушетия, Сунженский р-н, станица Орджоникидзевская, выезд на а/д ""Кавказ"", 1,5 км от а/д ""Кавказ"""	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56393	Респ. Ингушетия, Назрановский р-н, с. Экажево, а/д Магас - Назрань, в 20 м от трассы	41.2	0.0	43.2	0.0	48.2	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56392	Респ. Ингушетия, Назрановский р-н, с. Экажево, а/д Магас - Назрань Х М-29, 335 м на ЮВ	41.2	0.0	43.2	0.0	48.2	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56391	Респ. Ингушетия, Сунженский р-н, с. Нестеревское, а/д М29 'Кавказ'	41.2	0.0	43.2	0.0	48.2	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56390	Респ. Ингушетия, Сунженский р-н, с. Орджоникидзевское	41.2	0.0	43.2	0.0	48.2	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
56389	Респ. Ингушетия, Сунженский р-н, с. Троицкое	41.2	0.0	43.2	0.0	48.5	0	0.0	0.0	44.75	0	0.0	0.0	Респ. Ингушетия
