Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58051	Респ. Карелия, Кондопожский р-н, г. Кондопога, а/д Р-21 (Санкт-Петербург-Мурманск), 471км, слева	41.2	0.0	44.7	0.0	0.0	0	0.0	0.0	47.4	0	0.0	0.0	Респ. Карелия
58050	Респ. Карелия, г. Петрозаводск, ш. Лососинское	40.9	0.0	44.4	0.0	51.2	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58662	Респ. Карелия, Медвежьегорский р-н, г. Медвежьегорск, ул. Повенецкая, 1	42.1	0.0	45.4	0.0	0.0	0	0.0	0.0	48.2	0	0.0	0.0	Респ. Карелия
58684	Респ. Карелия, г. Петрозаводск, пр-т Лесной пересеч. с ул. Суоярвское ш., 57	40.9	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58687	Респ. Карелия, р-н таможенного поста Люття	42.9	0.0	46.0	0.0	51.8	0	0.0	0.0	48.5	0	0.0	0.0	Респ. Карелия
58097	Респ. Карелия, г. Петрозаводск, пр-т Лесной, 38/1	40.9	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58098	Респ. Карелия, Олонецкий р-н, д. Верховье, а/д М18 'Кола' (Санкт-Петербург-Мурманск), 284 км, слева	41.8	0.0	45.1	0.0	0.0	0	0.0	0.0	47.8	0	0.0	0.0	Респ. Карелия
58099	Респ. Карелия, г. Сортавала, ш. Выборгское, 91	41.0	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58100	Респ. Карелия, Лахденпохский р-н, г. Лахденпохья, ул. Советская, 36	41.0	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58101	Респ. Карелия, Сортавальский р-н, п. Маткаселькя, а/д А130 (Сортавала - Вяртсиля), 12 км, слева	41.0	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58103	Респ. Карелия, Сегежский р-н, п. Сегежа, ш. Надвоицкое, 1 км, справа	40.9	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58104	Респ. Карелия, г. Костомукша, а/д Костомукша - ГОК, слева	42.9	0.0	46.0	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Респ. Карелия
58105	Респ. Карелия, Муезерский р-н, п. Муезерский, а/д Муезерский-Реболы, 1 км	42.8	0.0	0.0	0.0	0.0	0	0.0	0.0	48.3	0	0.0	0.0	Респ. Карелия
58106	Респ. Карелия, Муезерский р-н, д. Ледмозеро, а/д Ледмозеро-Костомукша, 1 км	42.8	0.0	46.1	0.0	0.0	0	0.0	0.0	48.3	0	0.0	0.0	Респ. Карелия
58107	Респ. Карелия, г. Кемь, ш. 1-го Мая	42.6	0.0	45.9	0.0	0.0	0	0.0	0.0	48.3	0	0.0	0.0	Респ. Карелия
58108	Респ. Карелия, Беломорский р-н, г. Беломорск, ул. Октябрьская	42.6	0.0	45.9	0.0	0.0	0	0.0	0.0	48.1	0	0.0	0.0	Респ. Карелия
58109	Респ. Карелия, г. Пудож, ул. Комсомольская, 80	42.8	0.0	46.0	0.0	0.0	0	0.0	0.0	48.6	0	0.0	0.0	Респ. Карелия
58110	Респ. Карелия, г. Петрозаводск, ул. Ломоносова пересеч. с ул. Лыжная	40.9	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
58111	Респ. Карелия, Сегежский р-н, п. Кочкома, а/д М18 'Кола', 755 км, справа	42.4	0.0	45.8	0.0	0.0	0	0.0	0.0	48.0	0	0.0	0.0	Респ. Карелия
58112	Респ. Карелия, Беломорский р-н, п. Пушной, а/д М18 'Кола', 796 км, слева	42.4	0.0	45.8	0.0	0.0	0	0.0	0.0	48.1	0	0.0	0.0	Респ. Карелия
58113	Респ. Карелия, Питкярантский р-н, д. Койриноя, а/д А130 развилка  с Р21 (Питкяранта-Сортавала-Петрозаводск)	41.0	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
78037	Респ. Карелия, Питкяранский р-н, 141 а/д Пряжа – Леметти	41.0	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
80545	Респ. Карелия, г. Петрозаводск, пр-т Комсомольский, 22	40.9	0.0	44.4	0.0	0.0	0	0.0	0.0	46.9	0	0.0	0.0	Респ. Карелия
80547	Респ. Карелия, г. Сортавала, ул. Промышленная, 44	40.7	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Респ. Карелия
