Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
55391	"Респ. Хакасия, Боградский р-н, п. Первомайское, а/д М54 ""Енисей"", 299 км, справа"	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55392	Респ. Хакасия, Усть-Абаканский р-н, г. Абакан, ул. Аскизская, 150А, справа	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55390	Респ. Хакасия, Ширинский р-н, п. Шира, ул. Курортная, 52, слева	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55389	"Респ. Хакасия, Усть-Абаканский р-н, с. Калинино, а/д М54 ""Енисей"", 404 км, слева"	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55387	"Респ. Хакасия, Усть-Абаканский р-н, г. Усть-Абакан, а/д М54 ""Енисей"",  Усть-Абакан-Черногорск, участок №1, 396 км, слева"	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55388	Респ. Хакасия, Аскизский р-н, с. Аскиз, а/д А161 (Абакан - Абаза - Ак-Довурак), 96 км, слева	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55385	Респ. Хакасия, Алтайский р-н, с. Белый Яр, ул. Ленина, 244, Справа	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55386	Респ. Хакасия, г. Абакан, ул. Молодежная, 24, справа	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55380	Респ. Хакасия, Усть-Абаканский р-н, г. Абакан, ул. Тельмана, 92а, справа	41.4	0.0	43.5	0.0	0.0	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55381	Респ. Хакасия, г. Абакан, пр-д Железнодорожный, 18а, справа	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55382	Респ. Хакасия, Таштыпский р-н, с. Таштып, а/д А161 (Абакан -Абаза -  Ак-Довурак), 162 км, справа	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55383	Респ. Хакасия, Таштыпский р-н, г. Абаза, а/д А161 (Абакан - Абаза - Ак-Довурак), справа	41.4	0.0	0.0	0.0	0.0	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
55384	Респ. Хакасия, Бейский р-н, с. Бея, ул. Гагарина, 7, слева	41.4	0.0	43.5	0.0	46.45	0	0.0	0.0	47.3	0	0.0	0.0	Респ. Хакасия
