Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58520	Ростовская обл., Мясниковский р-н, п. Чалтырь, а/д М23, 9 км, слева	43.39	43.89	0.0	47.72	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58519	Ростовская обл., г. Ростов-на-Дону, ул. 40 Лет Победы, 2Г/51	43.39	0.0	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58526	Ростовская обл., г. Ростов-на-Дону, ул. Нансена, 81А	43.39	0.0	47.22	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58527	Ростовская обл., г. Батайск, ш. Самарское, 19, слева	43.39	43.89	0.0	47.72	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58528	Ростовская обл., г. Ростов-на-Дону, ул. Стадионная, 1А/4А	43.39	0.0	0.0	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58529	Ростовская обл., г. Волгодонск, ул. Прибрежная, 25	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58530	Ростовская обл., г. Ростов-на-Дону, пр-т Королева, 30Б	43.39	0.0	0.0	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58531	Ростовская обл., г. Ростов-на-Дону, ул. Вавилова, 67Б	43.39	0.0	47.22	0.0	0.0	0	52.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58532	Ростовская обл., г. Ростов-на-Дону, ул. Вавилова, 70Б	43.39	0.0	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58533	Ростовская обл., г. Ростов-на-Дону, ул. Петрожицкого, 2А	43.39	43.89	0.0	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58534	Ростовская обл., Неклиновский р-н, с.п. Лакедемоновка, а/д М23 (Ростов-на-Дону - Таганрог - гр. с Украиной), 88 км, слева	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58535	Ростовская обл., г. Ростов-на-Дону, ул. Черевичкина, 102	43.39	43.89	47.22	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ростовская обл.
58536	Ростовская обл., г. Ростов-на-Дону, ул. Бодрая, 92	43.39	0.0	47.22	47.92	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ростовская обл.
58537	Ростовская обл., г. Азов, ш. Кагальницкое, 16А, справа	43.39	0.0	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58538	Ростовская обл., г. Азов, ул. Московская, 302	43.39	0.0	47.02	47.72	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58539	Ростовская обл., г. Ростов-на-Дону, а/д Южный подъезд к Ростову (Ростов-на-Дону-Батайск - М4), 4 км + 680 м, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ростовская обл.
58540	Ростовская обл., г. Ростов-на-Дону, ул. Волкова, 24	43.39	43.89	47.22	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ростовская обл.
58541	Ростовская обл., г. Ростов-на-Дону, ул. Вятская, 116	43.39	43.89	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58542	Ростовская обл., г. Ростов-на-Дону, ул. Пойменная, 1Б	43.39	0.0	47.22	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58543	Ростовская обл., Октябрьский р-н, г. Шахты, ул. Победы Революции, 226	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58544	Ростовская обл., г. Ростов-на-Дону, ул. Малиновского, 7б	43.39	0.0	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58545	Ростовская обл., г. Ростов-на-Дону, пр-т Театральный, 62	43.39	43.89	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58546	Ростовская обл., г. Ростов-на-Дону, пр-т Королева, 5А	43.39	43.89	47.22	47.92	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58547	Ростовская обл., Мясниковский р-н, п. Чалтырь, ул. Ростовская, 47	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58548	Ростовская обл., Азовский р-н, п. Овощной, ул. М. Горького, 8	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58549	Ростовская обл., Азовский р-н, с. Самарское, ул. Карла Маркса, 144, справа	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58550	Ростовская обл., г. Батайск, ул. Коммунистическая, 184	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58551	Ростовская обл., Неклиновский р-н, г. Таганрог, ул. Дзержинского, 154/2	43.39	43.89	0.0	47.72	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58552	Ростовская обл., Неклиновский р-н, г. Таганрог, Марцевский треугольник, 5	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58553	Ростовская обл., г. Новочеркасск, ш. Ростовское, справа	43.39	0.0	47.02	47.72	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58554	Ростовская обл., г. Новочеркасск, ш. Харьковское, 23	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
58555	Ростовская обл., г. Шахты, а/д М19 (Киев - Харьков - Новошахтинск - М4 (Шахты)), 906 км+876м, слева	43.39	43.89	47.02	0.0	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Ростовская обл.
