Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58645	Рязанская обл., Сасовский р-н, д. Шафторка, а/д М5 'Урал', 392 км, слева	41.3	0.0	44.1	44.6	0.0	0	0.0	0.0	42.4	0	0.0	0.0	Рязанская обл.
58671	Рязанская обл., г. Рязань, ш. Московское, 38, слева	41.0	0.0	43.9	44.4	0.0	0	0.0	0.0	43.0	0	0.0	0.0	Рязанская обл.
58672	Рязанская обл., Михайловский р-н, г. Михайлов, а/д М6 'Каспий', 206 км, справа	41.9	0.0	44.5	45.0	0.0	0	0.0	0.0	43.7	0	0.0	0.0	Рязанская обл.
58673	Рязанская обл., Клепиковский р-н, д. Шабаево, а/д Р105  (Егорьевское ш.), 160 км, справа	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58318	Рязанская обл., Кораблинский р-н, г. Кораблино, Южная промзона, 7	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58319	Рязанская обл., Шацкий р-н, с. Казачья Слобода, а/д М5 'Урал', 347 км, слева	41.3	0.0	44.1	44.6	0.0	0	0.0	0.0	42.4	0	0.0	0.0	Рязанская обл.
58320	Рязанская обл., Шацкий р-н, с. Казачья Слобода, а/д М5 'Урал', 349 км, справа	41.3	0.0	44.1	44.6	0.0	0	0.0	0.0	42.4	0	0.0	0.0	Рязанская обл.
58321	Рязанская обл., Шацкий р-н, п. Чечеры, а/д А143 (Тамбов - Шацк), 150 км, слева	41.3	0.0	44.1	44.6	0.0	0	0.0	0.0	42.4	0	0.0	0.0	Рязанская обл.
58322	Рязанская обл., Михайловский р-н, г. Михайлов, а/д Р132 (Рязань - Тула), 71 км, справа	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58323	Рязанская обл., Ряжский р-н, г. Ряжск, ул. Энгельса, 121	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58324	Рязанская обл., Ряжский р-н, п. Журавинка, а/д М6 'Каспий', 302 км, слева	41.9	0.0	44.5	45.0	0.0	0	0.0	0.0	43.7	0	0.0	0.0	Рязанская обл.
58325	Рязанская обл., Сасовский р-н, с. Лукьяново, а/д Р124 (Шацк - Касимов), 36 км, слева	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58327	Рязанская обл., Скопинский р-н, г. Скопин, ул. Пушкина, 88	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
58314	Рязанская обл., Касимовский р-н, п. Приокский, а/д Р124 (Касимов - Шацк), справа	42.0	0.0	44.9	45.4	0.0	0	0.0	0.0	45.1	0	0.0	0.0	Рязанская обл.
