Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58630	Самарская обл., г. Самара, ул. Демократическая, 54	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
58631	Самарская обл., г. Самара, ул. Демократическая, 69	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
58632	Самарская обл., Красноярский р-н, с. Белозерки, а/д М5 'Урал', 1031 км, слева	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
56317	Самарская обл., Волжский р-н, г. Чапаевск, а/д Р226 (Саратов - Самара), 370 км, справа	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
56318	Самарская обл., п. Алексеевка, а/д Самара - Бугуруслан, 27 км, справа	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
56316	Самарская обл., Ставропольский р-н, г. Тольятти, ш. Обводное, 19, справа	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55465	Самарская обл., Красноярский р-н, с. Белозерки, а/д М5 'Урал', 1038 км + 800м, слева	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55464	Самарская обл., Сергиевский р-н, п. Суходол, а/д М5 'Урал', 1114 км + 600 м, слева	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55463	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Железнодорожная, 44	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55462	Самарская обл., Октябрьский р-н, г. Самара, ш. Московское, 24а	41.35	0.0	44.35	0.0	0.0	0	48.45	0.0	44.05	0	0.0	0.0	Самарская обл.
55461	Самарская обл., Красноглинский р-н, г. Самара (Мехзавод, п.), ш. Московское, 28	41.35	41.85	44.35	0.0	0.0	0	48.45	0.0	44.05	0	0.0	0.0	Самарская обл.
55460	Самарская обл., Ставропольский р-н, г. Жигулевск, а/д М5 'Урал' (Москва - Челябинск), 961 км, справа	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55459	Самарская обл., Нефтегорский р-н, г. Нефтегорск, ул. Промышленности, 18	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55458	Самарская обл., Сызранский р-н, г. Сызрань, ул. Шоссейная, 1	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55457	Самарская обл., Безенчукский р-н, п. Безенчук, ул. Полевая, 21	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55456	Самарская обл., Волжский р-н, г. Самара (Красная Глинка, п.), ул. Жигули, 62	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55455	Самарская обл., Волжский р-н, г. Самара, ш. Московское, 232	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55454	Самарская обл., Сызранский р-н, г. Сызрань, ул. Дизельная, 13	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	18.5	0.0	Самарская обл.
55453	Самарская обл., Волжский р-н, г. Самара, а/д М32 (Самара - граница с Казахстаном), слева	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55452	Самарская обл., Красноглинский р-н, г. Самара, Управленческий, п., ш. Красноглинское, 5а	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55451	Самарская обл., Волжский р-н, г. Самара, ул. Антонова-Овсеенко, 52	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Самарская обл.
55450	Самарская обл., Волжский р-н, с. Воскресенка, ул. Самарская, 1д	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55449	Самарская обл., Волжский р-н, г. Самара, а/д М32 (Самара - граница с Казахстаном), справа	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55448	Самарская обл., Больше-Черниговский р-н, с. Большая Черниговка, ул. Дорожная, 8	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55447	Самарская обл., Волжский р-н, г. Новокуйбышевск, ул. Осипенко	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55446	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Новозаводская, 1	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	18.5	0.0	Самарская обл.
55445	Самарская обл., Сергиевский р-н, с. Сергиевск, ул. Ленина, 95а	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Самарская обл.
55444	Самарская обл., Сызранский р-н, г. Сызрань, пр-т Московский, 9	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55443	Самарская обл., Похвистневский р-н, г. Похвистнево, ул. Бережкова, 54	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55442	Самарская обл., Ставропольский р-н, с. Валы, а/д М5 'Урал', 951 км, справа	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55441	Самарская обл., Больше-Глушицкий р-н, с. Большая Глушица, ул. Дачная, 94	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55440	Самарская обл., Волжский р-н, г. Чапаевск, ул. Ленина, 61	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55439	Самарская обл., Кинель-Черкасский р-н, г. Отрадный, ул. Железнодорожная, 20	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55438	Самарская обл., Волжский р-н, г. Самара, ул. Буянова, 14б	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Самарская обл.
55437	Самарская обл., Волжский р-н, г. Самара, ул. Кутякова, 20	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55435	Самарская обл., Волжский р-н, г. Самара, ш. Кряжское, 10	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55436	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Борковская, 37	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55434	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Матросова, 57	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55433	Самарская обл., Волжский р-н, г. Самара, ул. Фрунзе, 1а	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Самарская обл.
55432	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Транспортная, 20в	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55430	Самарская обл., Волжский р-н, г. Самара, ш. Зубчаниновское, 149	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	18.5	0.0	Самарская обл.
55431	Самарская обл., Кинельский р-н, г. Кинель, а/д Р225 (Самара - Бугуруслан), 40 км + 350м, справа	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55429	Самарская обл., Ставропольский р-н, г. Тольятти, ш. Автозаводское, 14	41.35	41.85	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55428	Самарская обл., Ставропольский р-н, г. Тольятти, ул. Новозаводская, 41б	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55427	Самарская обл., Ставропольский р-н, с. Зеленовка, а/д М5 'Урал', 979 км, слева	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
55426	Самарская обл., Сызранский р-н, г. Сызрань, а/д М5 'Урал' (Москва - Челябинск), 878 км + 500м, слева	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	18.5	0.0	Самарская обл.
55423	Самарская обл., Ставропольский р-н, с. Зеленовка, а/д М5 'Урал', 981 км, справа	41.35	0.0	44.35	0.0	0.0	0	0.0	0.0	44.05	0	0.0	0.0	Самарская обл.
