Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58416	Саратовская обл., Самойловский р-н, р.п. Самойловка, ул. Новая, 35	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58618	Саратовская обл., г. Саратов, ул. Чернышевского, 50	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58619	Саратовская обл., г. Саратов, ш. Новоастраханское, 90а, справа	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58620	Саратовская обл., Татищевский р-н, р.п. Татищево, ул. Чапаева, 28	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58621	Саратовская обл., Татищевский р-н, р.п. Татищево, а/д Р208 (Тамбов - Кирсанов - Саратов), западнее завода ЖБК, слева	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58622	Саратовская обл., Саратовский р-н, а/д Р228 (Сызрань-Саратов-Волгоград), 322 км, справа	42.05	42.55	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58623	Саратовская обл., Красноармейский р-н, г. Красноармейск, ул. 1 Мая, 16а	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58624	Саратовская обл., Красноармейский р-н, г. Красноармейск, а/д Р228 (Сызрань-Саратов-Волгоград), 377 км, слева	42.05	42.55	0.0	45.8	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58625	Саратовская обл., Петровский р-н, г. Петровск, ул. Куйбышева, 62б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58626	Саратовская обл., Петровский р-н, г. Петровск, а/д Р158 (Нижний Новгород - Саратов), 515 км, справа	42.05	42.55	0.0	45.8	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58627	Саратовская обл., Новобурасский р-н, п. Новые Бурасы, ул. Баумана, 1 б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58628	Саратовская обл., Базарно-Карабулакский р-н, р.п. Базарный Карабулак, ул. Коммунистическая, 39	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58629	Саратовская обл., г. Саратов, ш. Новоастраханское, 52г	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58652	Саратовская обл., Озинский р-н, п. Озинки, ул. Кирова, 1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58653	Саратовская обл., г. Саратов, ш. Московское, 10 б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58654	Саратовская обл., Саратовский р-н, п. Дубки, а/д Р228 (СКАД, обход г. Саратова), 2а	42.05	42.55	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58678	Саратовская обл., Балашовский р-н, г. Балашов, ш. Саратовское, 8	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58679	Саратовская обл., г. Саратов, ш. Новоастраханское, 73г	42.05	42.55	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58683	Саратовская обл., г. Саратов, пр-т Энтузиастов, 88а	42.05	42.55	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58415	Саратовская обл., Балашовский р-н, с. Барки, а/д М6 'Каспий' (Москва - Тамбов - Волгоград - Астрахань), 563 км, справа	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58413	Саратовская обл., Балашовский р-н, г. Балашов, ул. 1-я Заводская, 1а	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58414	Саратовская обл., Балашовский р-н, г. Балашов, ул. Шоссейная, 1 б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58411	Саратовская обл., Аркадакский р-н, г. Аркадак, Территория нефтесклада, 8	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58412	Саратовская обл., Балашовский р-н, г. Балашов, пр-д Пионерский, 4а	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58417	Саратовская обл., Калининский р-н, г. Калининск, а/д М6 'Каспий' (Москва-Волгоград), 634 км, слева	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58403	Саратовская обл., Балаковский р-н, г. Балаково, ул. 60 лет СССР, 45/3	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58420	Саратовская обл., Ершовский р-н, г. Ершов, пр-д Северный, 12	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58421	Саратовская обл., Ершовский р-н, п. Учебный, ул. Придорожная, 4а	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58422	Саратовская обл., Федоровский р-н, р.п. Мокроус, а/д Р236 (Саратов - Энгельс - Ершов - граница с Казахстаном), 103 км, справа	42.05	0.0	0.0	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58423	Саратовская обл., Дергачевский р-н, р.п. Дергачи, ул. Вокзальная, 1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58424	Саратовская обл., Новоузенский р-н, г. Новоузенск, ул. Зеленый клин, 1 б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58425	Саратовская обл., Краснокутский р-н, г. Красный Кут, ул. Придорожная, 5	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58426	Саратовская обл., Пугачёвский р-н, г. Пугачёв, ул. Ермощенко, 181а	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58427	Саратовская обл., Пугачёвский р-н, г. Пугачёв, ул. Комарова, 31	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58428	Саратовская обл., Пугачёвский р-н, г. Пугачёв, р-н ИТК-4	42.05	0.0	0.0	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58429	Саратовская обл., Ивантеевский р-н, с. Ивантеевка, ул. Советская, 42Б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58430	Саратовская обл., Краснопартизанский р-н, р.п. Горный, ул. Степная, 35	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58431	Саратовская обл., Ртищевский р-н, г. Ртищево, ул. Автодорожная, 1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58432	Саратовская обл., Турковский р-н, р.п. Турки, ул. Железнодорожная, 1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58433	Саратовская обл., Аткарский р-н, г. Аткарск, ул. Гоголя, 24в	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58404	Саратовская обл., Балаковский р-н, г. Балаково, ш. Саратовское, 32	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58405	Саратовская обл., Балаковский р-н, г. Балаково, ул. Солнечная, 23/1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58406	Саратовская обл., Балаковский р-н, г. Балаково, ш. Саратовское, 63/1	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58407	Саратовская обл., Балаковский р-н, с. Маянга, а/д Р226 (Волгоград - Саратов - Самара), 514 км + 50 м, справа	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58408	Саратовская обл., Вольский р-н, г. Вольск, ул. Фирстова, 19 б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58448	Саратовская обл., Энгельсский р-н, г. Энгельс, ул. Полиграфическая, 1б	42.05	0.0	45.2	0.0	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
58445	Саратовская обл., Советский р-н, р.п. Степное, а/д Степное - Саратов, 2 км, слева	42.05	0.0	45.2	45.8	0.0	0	0.0	0.0	44.35	0	0.0	0.0	Саратовская обл.
