Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56301	Сахалинская обл., Смирныховский р-н, Смирных, Северная ул	44.85	0.0	46.9	0.0	0.0	0	0.0	0.0	51.75	0	0.0	0.0	Сахалинская обл.
56116	Сахалинская обл., Корсаковский р-н, с. Охотское, ул. Лесная, 11	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
56115	Сахалинская обл., г. Южно-Сахалинск, ул. Железнодорожная  пересеч. с ул .Пуркаева	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
56112	Сахалинская обл., Невельский р-н, г. Невельск, ул. Колхозная, 7	44.85	0.0	46.9	0.0	0.0	0	0.0	0.0	51.75	0	0.0	0.0	Сахалинская обл.
55980	Сахалинская обл., Охинский р-н, г. Оха, ул. Ленина, 56	49.35	0.0	0.0	0.0	0.0	0	0.0	0.0	55.7	0	0.0	0.0	Сахалинская обл.
55979	Сахалинская обл., Охинский р-н, г. Оха, ул. Промысловая, 1а	49.35	0.0	51.6	0.0	0.0	0	0.0	0.0	55.7	0	0.0	0.0	Сахалинская обл.
55337	Сахалинская обл., Ноглинский р-н, п.г.т. Ноглики, ул. Мостовая, 29	46.0	0.0	48.0	0.0	0.0	0	0.0	0.0	53.15	0	0.0	0.0	Сахалинская обл.
55318	Сахалинская обл., г. Южно-Сахалинск, ул. Ленина, 58 Б	43.95	0.0	45.45	0.0	0.0	0	0.0	0.0	50.0	0	0.0	0.0	Сахалинская обл.
55319	Сахалинская обл., г. Южно-Сахалинск, ул. Дружбы, 121	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
55207	Сахалинская обл., Макаровский р-н, г. Макаров, ул. Набережная, 78	44.85	0.0	46.9	0.0	0.0	0	0.0	0.0	51.75	0	0.0	0.0	Сахалинская обл.
54934	Сахалинская обл., Тымовский р-н, п.г.т. Тымовское, ул. Кирова	46.0	0.0	48.0	0.0	0.0	0	0.0	0.0	53.15	0	0.0	0.0	Сахалинская обл.
54933	Сахалинская обл., г. Южно-Сахалинск, ул. Украинская, 94а	44.55	0.0	46.1	0.0	0.0	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54932	Сахалинская обл., Александровский р-н, г. Александровск-Сахалинский, ул. Матросова, 12	46.0	0.0	48.0	0.0	0.0	0	0.0	0.0	53.15	0	0.0	0.0	Сахалинская обл.
54931	Сахалинская обл., г. Южно-Сахалинск, Объездная дорога пересеч. с ул. на п. Ново-Троицкое	44.55	0.0	46.1	0.0	0.0	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54930	Сахалинская обл., г. Южно-Сахалинск, пр-т Мира пересеч. с ул. Ленина	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54929	Сахалинская обл., г. Южно-Сахалинск, ул. Сахалинская, 138	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54928	Сахалинская обл., г. Южно-Сахалинск, пр-т Мира, 7Б	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54927	Сахалинская обл., г. Южно-Сахалинск, ул. Пуркаева, 67	44.55	0.0	46.1	0.0	0.0	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54926	Сахалинская обл., г. Южно-Сахалинск, ул. Крюкова, 19	44.55	0.0	46.1	0.0	0.0	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54925	Сахалинская обл., Корсаковский р-н, г. Корсаков, ул. Южно-Сахалинская, 47, справа	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54924	Сахалинская обл., Корсаковский р-н, г. Корсаков, ул. Вокзальная, 90	44.55	0.0	46.1	0.0	0.0	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
54923	Сахалинская обл., г. Южно-Сахалинск, ул. Ленина, 397а	44.55	0.0	46.1	0.0	50.15	0	0.0	0.0	50.7	0	0.0	0.0	Сахалинская обл.
