Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56407	Смоленская обл., Сафоновский, г. Сафоново, ул. Кутузова, 45	42.3	0.0	45.55	46.2	0.0	0	49.7	0.0	45.05	0	0.0	0.0	Смоленская обл.
56351	Смоленская обл., Демидовский р-н, г. Демидов, ул. Руднянская, 184	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
56114	Смоленская обл., Смоленский р-н, г. Смоленск, ш. Московское, 3	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
56113	Смоленская обл., Смоленский р-н, д. Светицы, а/д М1 'Беларусь' (Москва-Беларусь), 421 км, справа	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55206	Смоленская обл., Кардымовский р-н, д. Каменка, а/д М1 'Беларусь' (Москва-Беларусь), 359 км, слева	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55205	Смоленская обл., Сафоновский р-н, п. Верхнеднепровский, а/д Дорогобуж - Верхнеднепровский, слева	42.3	0.0	45.55	46.19	0.0	0	49.68	0.0	45.05	0	0.0	0.0	Смоленская обл.
55204	Смоленская обл., Дорогобужский р-н, г. Дорогобуж, ул. Лермонтова	42.3	0.0	45.55	0.0	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55203	Смоленская обл., Сафоновский р-н, п. Истомино, а/д М1 'Беларусь' (Москва-Беларусь), 273 км, слева	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55202	Смоленская обл., Сафоновский р-н, п. Истомино, а/д М1 'Беларусь' (Москва-Беларусь), 273 км, справа	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55201	Смоленская обл., Сафоновский р-н, г. Сафоново, а/д М1 'Беларусь' (Москва-Беларусь), 297 км, слева	42.3	0.0	45.55	46.19	0.0	0	49.7	0.0	45.05	0	0.0	0.0	Смоленская обл.
55200	Смоленская обл., Сафоновский р-н, г. Сафоново, ул. Советская	42.3	0.0	45.55	46.2	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
55199	Смоленская обл., Кардымовский р-н, п. Кардымово, а/д Объездная	42.3	0.0	45.55	0.0	0.0	0	0.0	0.0	45.05	0	0.0	0.0	Смоленская обл.
