Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56430	Ставропольский край, Будённовский р-н, г. Будённовск, ул. Розы Люксембург, 40	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56426	Ставропольский край, Туркменский р-н, аул Чур, пересечение а/д Светлоград-Летняя Ставка-Арзгир и подъезда к аулу Чур	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56427	Ставропольский край, Степновский р-н, с. Степное	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56428	Ставропольский край, Арзгирский р-н, с. Каменная Балка, а/д Благодарный - Арзгир	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56429	Ставропольский край, Георгиевский р-н, г. Георгиевск, а/д Георгиевск-Пятигорск, Западный обход, 3 км+400 м, слева	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56425	Ставропольский край, Кочубеевский р-н, 359 км+600 м, слева	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56254	Ставропольский край, г. Кисловодск, ул. Промышленная, 1Б	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56246	Ставропольский край, г. Ставрополь, ул. Доваторцев, 30а	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56244	Ставропольский край, Нефтекумский р-н, г. Нефтекумск, ул. Рабочая, 9, Левая	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56219	Ставропольский край, Предгорный р-н, станица Ессентукская, ул. Этокская, б/н	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56220	Ставропольский край, г. Ессентуки, ст.Золотушка, б\н	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56221	Ставропольский край, Предгорный р-н, станица Суворовская, ш. Черкесское	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56222	Ставропольский край, г. Кисловодск, пр-т Победы, 8-б	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56223	Ставропольский край, г. Кисловодск, пр-т Победы, 151-А	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56224	Ставропольский край, Предгорный р-н, п. Белореченский, ул. Кисловодская, 6А	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56218	Ставропольский край, Предгорный р-н, г. Железноводск, ул. Ленина, 191 'А'	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56217	Ставропольский край, Предгорный р-н, г. Ессентуки, а/д А157 (Минводы-Кисловодск), 32-й км от г.Мин-Воды, справа	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56214	Ставропольский край, Минераловодский р-н, п. Змейка, а/д М29 'Кавказ' (Ростов-Баку), 360 км км, справа	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56215	Ставропольский край, Минераловодский р-н, г. Минеральные Воды, ул. Московская, 27	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56216	Ставропольский край, Минераловодский р-н, г. Минеральные Воды, ул. Советская, 57	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	12.5	Ставропольский край
56213	Ставропольский край, Минераловодский р-н, г. Минеральные Воды, а/д Р285 (Минеральные Воды-Кочубей), 1,5 км от г.Мин-Воды (136 км), справа	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56210	Ставропольский край, г. Лермонтов, ш. Черкесское, 3	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56211	Ставропольский край, г. Пятигорск, ул. Бунимовича, 15	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56212	Ставропольский край, Минераловодский р-н, г. Минеральные Воды, ул. Советская, 26	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56209	Ставропольский край, г. Пятигорск, ул. Нежнова, 36	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56208	Ставропольский край, г. Пятигорск, Лермонтовский разъезд (а/д А157 Пятигорск-Карачаевск), (2 км)	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56207	Ставропольский край, Курской р-н, станица Курская, ул. Калинина, 1	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56206	Ставропольский край, Нефтекумский р-н, с. Ачикулак, Нефтегородок	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56205	Ставропольский край, Кировский р-н, г. Новопавловск, Промзона (а/д Р262), 194 км	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56204	Ставропольский край, Кировский р-н, п. Комсомолец, а/д Р262 (Георгиевск-Прохладный), 186 км, справа	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56202	Ставропольский край, Советский р-н, г. Зеленокумск, а/д Р263 (Георгиевск-Буденновск-Каспийский), 48 км, слева	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56203	Ставропольский край, Нефтекумский р-н, г. Нефтекумск, ул. Шоссейная, 25	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56197	Ставропольский край, Нефтекумский р-н, г. Нефтекумск, ул. Шоссейная, 182 км а/д Р-285 (М-Воды-Кочубей) выезд на Затеречный	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56198	Ставропольский край, Будённовский р-н, с. Стародубское, ул. Анджиевского (а/д Р285 (Буденновск-Минеральные Воды)), (70 км), слева	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56199	Ставропольский край, Георгиевский р-н, г. Георгиевск, ул. Гагарина, 62/4	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56200	Ставропольский край, Георгиевский р-н, г. Георгиевск, ул. Октябрьская, 124	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	46.15	0	19.4	0.0	Ставропольский край
56201	Ставропольский край, Советский р-н, г. Зеленокумск, ул. 50 лет Октября, 57	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56193	Ставропольский край, Арзгирский р-н, с. Арзгир, ул. Шоссейная, 24	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56194	Ставропольский край, Будённовский р-н, г. Буденновск, ул. Кумская (а/д Р285 ), (130 км)	43.5	44.1	46.75	0.0	52.2	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56195	Ставропольский край, Будённовский р-н, с. Прасковея, а/д Р285 (Минеральные Воды-Кочубей), 1 км от г.Будённовск (126 км), слева	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	19.4	0.0	Ставропольский край
56196	Ставропольский край, Левокумский р-н, с. Левокумское, ул. Шоссейная (а/д Р285 Мин-Воды-Кочубей), 62 (158 км)	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56192	Ставропольский край, Новоселицкий р-н, с. Новоселицкое, ул. Шоссейная (а/д Р262), 20 (110 км)	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56191	Ставропольский край, Благодарненский р-н, г. Благодарный, ул. Вокзальная, 8	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56189	Ставропольский край, Александровский р-н, с. Александровское, ул. Элеваторная, 12	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56190	Ставропольский край, Благодарненский р-н, г. Благодарный, Южный обход, 1км от г.Благодарный, справа	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56188	Ставропольский край, Александровский р-н, с. Северное, а/д Р262 (Георгиевск-Прохладный), 51 км (20 км от с.Александровское), слева	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56187	Ставропольский край, Апанасенковский р-н, с. Дивное, ул. Шоссейная, 6	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56186	Ставропольский край, Ипатовский р-н, г. Ипатово, ул. Северная, 36 'Б'	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	0.0	0.0	Ставропольский край
56185	Ставропольский край, Ипатовский р-н, г. Ипатово, ул. Гагарина, 2	43.5	0.0	46.75	0.0	52.2	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56184	Ставропольский край, Петровский р-н, а/д А154 (Астрахань - Элиста - Ставрополь), 482 км, слева	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56180	Ставропольский край, Новоалександровский р-н, г. Новоалександровск, ул. Ленина, 1	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56181	Ставропольский край, Красногвардейский р-н, с. Красногвардейское, а/д Р269 (Ставрополь-Батайск), 1 км от с.Красногвардейское, справа	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56182	Ставропольский край, Грачевский р-н, с. Грачевка, ул. Ставропольская, 70	43.5	44.1	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
56183	Ставропольский край, Петровский р-н, г. Светлоград, пр-д Фабричный (Р266), 1 км	43.5	0.0	46.75	0.0	0.0	0	0.0	0.0	44.8	0	20.4	0.0	Ставропольский край
