Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58336	Тамбовская обл., Первомайский р-н, п. Степанищево, а/д М6 'Каспий', 372 км, справа	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
58338	Тамбовская обл., Тамбовский р-н, с. Стрельцы, а/д М6 'Каспий'(М4 «Дон» -Тамбов - Волгоград - Астрахань), 447 км + 800 м, справа	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
58339	Тамбовская обл., Тамбовский р-н, д. Фёдоровка, а/д М6 'Каспий', 465 км, слева	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
58340	Тамбовская обл., Моршанский р-н, п. Пригородный, а/д А143 (Тамбов - Шацк), 83 км + 700м, слева	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Тамбовская обл.
58341	Тамбовская обл., Моршанский р-н, г. Моршанск, ул. Гражданская, 111А	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
58342	Тамбовская обл., г. Тамбов, наб. Студенецкая, 28	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
58343	Тамбовская обл., г. Тамбов, бул. Энтузиастов, 2Е	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Тамбовская обл.
58344	Тамбовская обл., г. Тамбов, ул. Астраханская, 39В	42.45	0.0	45.25	45.75	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55969	Тамбовская обл., Мордовский р-н, а/д Р193 (Воронеж - Тамбов), 138 км, слева	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55968	Тамбовская обл., г. Тамбов, ул. Никифоровская, 1	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55967	Тамбовская обл., Первомайский р-н, а/д М6 'Каспий' (Москва - Астрахань), 343 км, справа	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55966	Тамбовская обл., Первомайский р-н, п.г.т. Первомайский, ш. Волгоградское	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55965	Тамбовская обл., Сосновский р-н, р.п. Сосновка, ул. Колхозная, 16	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55964	Тамбовская обл., Токаревский р-н, п.г.т. Токаревка, ул. Советская, 83	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55962	Тамбовская обл., г. Тамбов, в р-не пересечения улиц Мичуринской и Никифоровской	42.45	42.95	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55963	Тамбовская обл., Рассказовский р-н, г. Рассказово, ул. Советская, 110	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55961	Тамбовская обл., г. Тамбов, ул. Рылеева, 61	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55960	Тамбовская обл., г. Тамбов, ул. Базарная, д. 163	42.45	42.95	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55958	Тамбовская обл., Гавриловский р-н, с. Пересыпкино, а/д Р208 (Тамбов - Пенза), 119 км, справа	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55959	Тамбовская обл., Рассказовский р-н, а/д Р208 (Тамбов-Пенза), 26 км, справа	42.45	42.95	45.25	0.0	0.0	0	0.0	0.0	44.25	0	0.0	0.0	Тамбовская обл.
55957	Тамбовская обл., Никифоровский р-н, а/д М6 'Каспий' (Москва-Волгоград), 425 км, слева	42.45	0.0	45.25	0.0	0.0	0	0.0	0.0	44.25	0	22.5	0.0	Тамбовская обл.
