Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58293	Тверская обл., г. Тверь, пр-т Октябрьский	42.2	0.0	45.0	45.4	0.0	0	0.0	50.3	45.5	0	0.0	0.0	Тверская обл.
58292	Тверская обл., г. Тверь, ш. Петербургское	42.2	0.0	45.0	45.4	0.0	0	0.0	50.3	45.5	0	0.0	0.0	Тверская обл.
58291	Тверская обл., Зубцовский р-н, д. Ширкино, а/д М9 Ново-Рижское ш., 203 км, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
58290	Тверская обл., Зубцовский р-н, д. Ширкино, а/д М9 Ново-Рижское ш., 203 км, слева	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
58289	Тверская обл., Калининский р-н, д. Кривцово, ш. Волоколамское	42.2	0.0	45.0	45.4	0.0	0	0.0	50.3	45.5	0	0.0	0.0	Тверская обл.
58288	Тверская обл., Конаковский р-н, д. Мокшино, ул. Ленинградская, 13	42.2	0.0	45.0	45.4	0.0	0	0.0	50.3	45.5	0	0.0	0.0	Тверская обл.
58287	Тверская обл., г. Торжок, ул. Кожевников, 26б, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
58285	Тверская обл., Калининский р-н, г. Тверь, а/д М10 'Россия' (Москва-Санкт-Петербург), 157 км, слева	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
58286	Тверская обл., Конаковский р-н, г. Конаково, ул. Свободы, 189	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
58284	Тверская обл., Калининский р-н, г. Тверь, а/д М10 'Россия' (Москва-Санкт-Петербург), 157 км, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
56404	Тверская обл., г. Бологое, ул. Мира, 199	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
56380	Тверская обл., Торжокский р-н, с.п. Будовское, п.Зизино, а/д М10 'Россия', 247 км, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	24.3	0.0	Тверская обл.
56365	Тверская обл., г. Нелидово, а/д М9 'Балтия' (Новорижское ш.), 318 км, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	24.3	0.0	Тверская обл.
56308	Тверская обл., г. Тверь, наб. Лазури, 17	41.7	0.0	44.5	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Тверская обл.
55606	Тверская обл., Калининский р-н, г. Тверь, а/д М10 'Россия' (Москва-Санкт-Петербург), 155 км + 250, слева	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55605	Тверская обл., Калининский р-н, п. Медное, а/д М10 'Россия' (Москва-Санкт-Петербург), 189 км, слева	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55604	Тверская обл., Калининский р-н, д. Ямок, а/д М10 'Россия' (Москва-Санкт-Петербург), 202 км, справа	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55603	Тверская обл., Калининский р-н, д. Андрейково, а/д М10 'Россия' (Москва-Санкт-Петербург), 165 км + 850, справа	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55602	Тверская обл., г. Тверь, ул. Коминтерна, 50, -	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55601	Тверская обл., г. Тверь, ш. Старицкое, 31	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Тверская обл.
55600	Тверская обл., Старицкий р-н, д. Ново-Ямская, а/д А112 (Старицкое ш.), 71 км, слева	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55599	Тверская обл., г. Тверь, ул. Луначарского, 15, -	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55592	Тверская обл., г. Тверь, ул. Ерофеева, 2, -	41.7	0.0	44.5	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Тверская обл.
55593	Тверская обл., г. Тверь, Московское, 155, справа	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55594	Тверская обл., Калининский р-н, д. Андрейково, а/д М10 'Россия' (Москва-Санкт-Петербург), 165 км + 600, слева	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55595	Тверская обл., г. Тверь, наб. Лазури, 13а, справа (из центра)	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55596	Тверская обл., Конаковский р-н, д. Демидово, а/д М10 'Россия' (Москва-Санкт-Петербург), 116 км+35, слева	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55597	Тверская обл., г. Тверь, ул. Королева, 1а, -	42.2	0.0	45.0	45.4	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
55598	Тверская обл., Конаковский р-н, д. Кошелево, а/д М10 'Россия' (Москва-Санкт-Петербург), 141 км, справа	42.2	0.0	45.0	0.0	0.0	0	0.0	0.0	45.5	0	0.0	0.0	Тверская обл.
80551	Тверская обл., Торжокский мун.р-н, с.п. Будово-2, уч. 1574, 258 км, слева	43.1	0.0	46.0	47.2	0.0	0	0.0	0.0	46.2	0	0.0	0.0	Тверская обл.
