Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56354	Томская обл., Кривошеинский р-н, с. Кривошеино, ул. Заводская, 8а	41.45	0.0	43.95	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55379	Томская обл., Шегарский р-н, с. Нащеково, а/д Р398 (Томск-Кожевниково)	40.75	0.0	43.65	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55375	Томская обл., Кожевниковский р-н, с. Кожевниково, ул. Ленина, 56 Б	40.75	0.0	43.45	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55378	Томская обл., Бакчарский р-н, с. Бакчар, ул. Нефтебаза, 3	41.45	0.0	43.65	0.0	0.0	0	0.0	0.0	47.75	0	0.0	0.0	Томская обл.
55377	Томская обл., Бакчарский р-н, с. Парбиг, ул. Новосибирская, 26	42.0	0.0	0.0	0.0	0.0	0	0.0	0.0	48.05	0	0.0	0.0	Томская обл.
55376	Томская обл., Шегарский р-н, с. Мельниково, ул. Коммунистическая, 105	40.75	0.0	43.65	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55374	Томская обл., Томский р-н, г. Северск, ул. Сосновая, 3	40.55	0.0	0.0	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55373	Томская обл., Томский р-н, г. Томск, ул. Мичурина, 98/2	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55372	Томская обл., Томский р-н, г. Томск, (с.Кафтанчиково), а/д томск-Югра, 14 км от Томска, справа	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55371	Томская обл., Томский р-н, г. Томск, Богашевский тракт, 41	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55370	Томская обл., Томский р-н, г. Томск, Иркутский тракт, 213	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55369	Томская обл., Томский р-н, с. Малиновка	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55368	Томская обл., Томский р-н, г. Томск, ул. Осенняя, 1	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55366	Томская обл., Каргасокский р-н, Крапивинское месторождение	41.15	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55365	Томская обл., Каргасокский р-н, в.п. Пионерный	41.15	0.0	42.2	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55364	Томская обл., Каргасокский р-н, Игольско-Таловое месторождение	41.15	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55362	Томская обл., Александровский р-н, Советское месторождение, 27 км	37.15	0.0	0.0	0.0	0.0	0	0.0	0.0	47.45	0	0.0	0.0	Томская обл.
55360	Томская обл., Молчановский р-н, с. Тунгусово, ул. Кнакиса, 47	41.45	0.0	43.95	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55361	Томская обл., Александровский р-н, г. Стрежевой, ул. Транспортная, 40	37.15	0.0	39.7	0.0	0.0	0	0.0	0.0	47.45	0	0.0	0.0	Томская обл.
55359	Томская обл., Колпашевский р-н, с. Чажемто, ул. Полевая, 1	41.45	0.0	0.0	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55355	Томская обл., Верхнекетский р-н, п. Белый Яр, пер. Фонтанный, 9	41.45	0.0	44.0	0.0	0.0	0	0.0	0.0	47.75	0	0.0	0.0	Томская обл.
55356	Томская обл., Кривошеинский р-н, с. Володино, ул. Заречная, 2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55357	Томская обл., Чаинский р-н, с. Подгорное	41.45	0.0	43.95	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55354	Томская обл., Верхнекетский р-н, п. Белый Яр, ул. Вокзальная, 101	41.45	0.0	44.0	0.0	0.0	0	0.0	0.0	47.75	0	0.0	0.0	Томская обл.
55353	Томская обл., Колпашевский р-н, г. Колпашево, ул. Гоголя, 162	41.45	0.0	44.0	0.0	0.0	0	0.0	0.0	47.75	0	0.0	0.0	Томская обл.
55352	Томская обл., Колпашевский р-н, с. Тогур, ул. Сибирская, 130, слева	41.45	0.0	44.0	0.0	0.0	0	0.0	0.0	47.75	0	0.0	0.0	Томская обл.
55351	Томская обл., Зырянский р-н, с. Зырянское, ул. Калинина, 88	40.95	0.0	43.45	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55347	Томская обл., Томский р-н, г. Северск, пр-т Коммунистический, 167	40.55	0.0	42.9	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55348	Томская обл., Томский р-н, г. Томск, пр-т Фрунзе, 115/б	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55349	Томская обл., Томский р-н, г. Томск, пр-т Ленина, 262/а	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55350	Томская обл., Асиновский р-н, г. Асино, ул. Ленина, 160	40.95	0.0	43.45	0.0	0.0	0	0.0	0.0	47.25	0	0.0	0.0	Томская обл.
55346	Томская обл., Томский р-н, г. Томск, ул. Елизаровых, 58	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55344	Томская обл., Томский р-н, г. Томск, Иркутский тракт, 75	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55345	Томская обл., Томский р-н, г. Томск, пр-т Комсомольский, 11	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55342	Томская обл., Томский р-н, г. Томск, ул. Смирнова, 45, справа	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55343	Томская обл., Томский р-н, г. Томск, ул. Парковая, 32, слева	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55341	Томская обл., Томский р-н, г. Томск, ул. Герцена, 74а, слева	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Томская обл.
55340	Томская обл., Александровский р-н, г. Стрежевой, ул. Коммунальная, 12	37.15	0.0	39.7	0.0	0.0	0	0.0	0.0	47.45	0	0.0	0.0	Томская обл.
55339	Томская обл., Томский р-н, г. Томск, Московский тракт, 123, справа	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
55338	Томская обл., Томский р-н, г. Томск, ул. Сенная Курья, 5	40.55	0.0	43.05	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Томская обл.
