Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58667	Тульская обл., Воловский р-н, д. Красавка, а/д М4 'Дон', 289 км + 600 м, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58668	Тульская обл., Белёвский р-н, г. Белёв, ул. Карла Маркса, 206	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58693	Тульская обл., г. Тула, ш. Калужское, 2а	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58150	Тульская обл., Тепло-Огаревский р-н, п. Теплое, ул. Фролова, 158	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58151	Тульская обл., Новомосковский р-н, г. Новомосковск, ул. Космонавтов, 37б	42.19	42.7	45.2	0.0	0.0	0	0.0	0.0	45.45	0	0.0	0.0	Тульская обл.
58152	Тульская обл., Ленинский р-н, с. Иншинский, а/д М2 'Крым', 191 км, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58153	Тульская обл., Чернский р-н, д. Медвежка, а/д М2 'Крым', 293 км, справа	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	44.5	0	0.0	0.0	Тульская обл.
58154	Тульская обл., г. Тула, ш. Веневское, 24	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58155	Тульская обл., Веневский р-н, д. Пригори, а/д М4 'Дон', 173 км, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58156	Тульская обл., г. Богородицк, а/д М4 'Дон', 239 км, слева	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58157	Тульская обл., Воловский р-н, д. Красный Холм, а/д М4 'Дон', 261 км, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58158	Тульская обл., Чернский р-н, д. Долматово, а/д М2 'Крым', 297 км + 400 м, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.5	0	0.0	0.0	Тульская обл.
58396	Тульская обл., Плавский р-н, г. Плавск, ул. Коммунаров, 80	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58167	Тульская обл., г. Тула, пр-т Ленина, 130А	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58159	Тульская обл., п. Горелки, ул. Большая, 1	42.19	42.7	45.3	0.0	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58160	Тульская обл., Щекинский р-н, г. Щекино, а/д М2 'Крым', 210 км + 320 м, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58161	Тульская обл., г. Донской, пр-д Железнодорожный, 17	42.39	42.9	45.2	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58162	Тульская обл., Узловский р-н, г. Узловая, а/д Р140 (Тула - Узловая - Новомосковск), 46 км, справа	42.39	42.9	0.0	45.75	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58163	Тульская обл., г. Тула, ул. Рязанская, 5А	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58164	Тульская обл., Заокский р-н, п. Турино, а/д М2 'Крым', 136 км, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Тульская обл.
58165	Тульская обл., Заокский р-н, п. Турино, а/д М2 'Крым', 136 км, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.85	0	0.0	0.0	Тульская обл.
58166	Тульская обл., г. Тула, ул. Ложевая, 149	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58168	Тульская обл., г. Тула, ш. Новомосковское, 64	42.39	42.9	0.0	46.05	0.0	0	50.8	0.0	45.55	0	0.0	0.0	Тульская обл.
58169	Тульская обл., г. Тула, ул. Октябрьская, 301	42.39	42.9	0.0	46.05	0.0	0	50.8	0.0	45.55	0	0.0	0.0	Тульская обл.
58170	Тульская обл., г. Тула, ул. Нижняя Упская, 15	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58171	Тульская обл., Ефремовский р-н, а/д М4 'Дон', 319 км, слева	42.39	0.0	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58172	Тульская обл., Ефремовский р-н, а/д М4 'Дон', 319 км, справа	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58173	Тульская обл., Новомосковский р-н, г. Новомосковск, ш. Рязанское, 4	42.39	42.9	0.0	45.75	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58174	Тульская обл., Плавский р-н, п. Агролес, а/д М2 'Крым', 241 км + 600м, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58175	Тульская обл., Ленинский р-н, п. Барсуки, а/д М2 'Крым', 178 км, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.35	0	0.0	0.0	Тульская обл.
58176	Тульская обл., д. Малевка, ш. Новомосковское, 7 км, слева	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58177	Тульская обл., г. Тула, ш. Одоевское, 96А	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58178	Тульская обл., г. Тула, ул. Староникитская, 110	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58179	Тульская обл., г. Богородицк, ул. Волынкина, 19	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58180	Тульская обл., Арсеньевский р-н, п. Арсеньево, а/д Р148 Щекино - Одоев - Арсеньево, справа	42.39	0.0	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58391	Тульская обл., Кимовский р-н, г. Кимовск, ул. Коммунистическая, 21	42.39	42.9	45.2	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58392	Тульская обл., г. Богородицк, а/д старая М4 'Дон', 238 км, справа	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	44.1	0	0.0	0.0	Тульская обл.
58393	Тульская обл., Щекинский р-н, г. Щекино, ул. Советская, 2а	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58394	Тульская обл., г. Тула, ул. Рязанская, 38А	42.39	42.9	45.5	0.0	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
58395	Тульская обл., г. Ефремов, ш. Тульское, 28	42.39	42.9	0.0	46.05	0.0	0	0.0	0.0	45.55	0	0.0	0.0	Тульская обл.
