Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56431	Ульяновская обл., Николаевский р-н, п. Вязовой, а/д М-5 'Урал', 806 км, справа	41.3	41.8	44.14	0.0	0.0	0	0.0	0.0	44.13	0	0.0	0.0	Ульяновская обл.
56423	Ульяновская обл., Новоспасский р-н, п. Новоспасское, а/д М-5 'Урал', 840 км + 900 м, справа	41.3	41.8	44.14	0.0	0.0	0	0.0	0.0	44.13	0	0.0	0.0	Ульяновская обл.
56349	Ульяновская обл., Новомалыклинский р-н, с. Высокий Колок, а/д Р178 (Ульяновск - Самара), 127 км, справа	41.3	41.8	44.14	0.0	0.0	0	0.0	0.0	44.13	0	20.19	0.0	Ульяновская обл.
56348	Ульяновская обл., Майнский р-н, а/д Р178 (Саранск - Сурское - Ульяновск), 195 км, слева	41.45	41.95	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
56283	Ульяновская обл., Мелекесский р-н, а/д Р178 (Ульяновск - Димитровград - Самара), 67 км, справа	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	20.19	0.0	Ульяновская обл.
56282	Ульяновская обл., Мелекесский р-н, г. Димитровград, ул. Куйбышева, 229	41.45	0.0	44.39	0.0	0.0	0	47.7	0.0	44.74	0	20.19	0.0	Ульяновская обл.
56248	Ульяновская обл., г. Ульяновск, пр-д 9-й Инженерный, 25	41.25	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	20.19	0.0	Ульяновская обл.
56250	Ульяновская обл., Новоспасский р-н, р.п. Новоспасское, ул. Заводская, 2	41.3	41.8	44.14	0.0	48.0	0	0.0	0.0	44.13	0	0.0	0.0	Ульяновская обл.
56249	Ульяновская обл., Мелекесский р-н, г. Димитровград, ул. Льва Толстого, 95	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	20.19	0.0	Ульяновская обл.
55681	Ульяновская обл., г. Ульяновск, ул. Автомобилистов, 1	41.25	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55682	Ульяновская обл., г. Ульяновск, ул. Оренбургская, 50	41.25	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55680	Ульяновская обл., г. Ульяновск, ул. Юности, 26	41.25	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55679	Ульяновская обл., г. Ульяновск, ул. Локомотивная, 19	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55678	Ульяновская обл., г. Ульяновск, ул. Октябрьская, 26а	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ульяновская обл.
55677	Ульяновская обл., Барышский р-н, с. Большая Силаевка, а/д Барыш - Ульяновск, слева	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55676	Ульяновская обл., Мелекесский р-н, п. Новоселки, ш. Тольяттинское, 1	41.3	0.0	44.14	0.0	0.0	0	0.0	0.0	44.13	0	0.0	0.0	Ульяновская обл.
55675	Ульяновская обл., Майнский р-н, р.п. Майна, ул. Красноармейская, 2б	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55674	Ульяновская обл., Николаевский р-н, р.п. Николаевка, а/д М5 'Урал', 796 км, слева	41.3	0.0	44.14	0.0	0.0	0	0.0	0.0	44.13	0	19.59	0.0	Ульяновская обл.
55673	Ульяновская обл., Сурский р-н, с. Гулюшево, а/д Р178 (Саранск - Ульяновск - Самара), 98 км, слева	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
55670	Ульяновская обл., Сенгилеевский р-н, г. Сенгилей, ул. Красноармейская	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	19.59	0.0	Ульяновская обл.
55671	Ульяновская обл., Майнский р-н, с. Тагай, а/д Р178 (Саранск-Ульяновск), 178 км, справа	41.45	0.0	44.39	0.0	0.0	0	0.0	0.0	44.74	0	0.0	0.0	Ульяновская обл.
