Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56381	Хабаровский край, Хабаровский р-н, г. Хабаровск, ш. Матвеевское, Остановка Пилот, слева	42.25	0.0	44.1	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Хабаровский край
56358	Хабаровский край, Комсомольский р-н, г. Комсомольск-на-Амуре, ш. Комсомольское, 11, справа	42.05	0.0	44.1	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Хабаровский край
56307	Хабаровский край, г. Хабаровск, ул. Тихоокеанская, 130а/1, правая	42.25	0.0	44.1	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Хабаровский край
56309	Хабаровский край, г. Хабаровск, ул. Восточное ш.  пересеч. с ул. Нововыборгская, правая	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
56288	Хабаровский край, г. Хабаровск, ул. объездная а/д Восток, ул. Трехгорная, 5, левая	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
56289	Хабаровский край, Вяземский р-н, г. Вяземский, ул. Шоссейная, 2е (119 км + 50 м), справа	42.45	0.0	44.4	0.0	46.0	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
56265	Хабаровский край, Бикинский р-н, г. Бикин, а/д М60 'Уссури', 221 км +650 м, справа	42.75	0.0	44.7	0.0	45.8	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
56264	Хабаровский край, г. Хабаровск, ул. 60летия Октября, 144/1	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
56118	Хабаровский край, Комсомольский р-н, г. Комсомольск-на-Амуре, ш. Магистральное, 53, слева	42.75	0.0	44.8	0.0	45.4	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54902	Хабаровский край, Комсомольский р-н, г. Комсомольск-на-Амуре, ул. Орловская, 1/2, справа	42.75	0.0	44.8	0.0	45.4	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54901	Хабаровский край, Комсомольский р-н, г. Комсомольск-на-Амуре, ул. Волочаевская, 1/2, слева	42.75	0.0	44.8	0.0	45.4	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54900	Хабаровский край, Комсомольский р-н, г. Комсомольск-на-Амуре, ул. Базовая, 1/2, справа	42.75	0.0	44.8	0.0	45.4	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54899	Хабаровский край, п. Тополево, ш. Чернореченское, 11 в, левая	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54898	Хабаровский край, Хабаровский р-н, п. Гаровка, а/д п.Гаровка-с.Ракитное	43.0	0.0	44.8	0.0	0.0	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54897	Хабаровский край, г. Хабаровск, пер. 3-й Путевой	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54896	Хабаровский край, г. Хабаровск, а/д г. Хабаровск- с. Ильинка, 0 км, левая	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54895	Хабаровский край, г. Хабаровск, ул. П.Л.Морозова, 53а, правая	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54894	Хабаровский край, г. Хабаровск, ул. Пионерская-Флегонтова	43.0	0.0	44.8	0.0	45.7	0	0.0	0.0	47.4	0	0.0	0.0	Хабаровский край
54893	Хабаровский край, г. Хабаровск, ул. Аэродромная, 2а, правая	42.25	0.0	44.1	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Хабаровский край
54892	Хабаровский край, г. Хабаровск, ул. Волочаевская, 15, справа	42.25	0.0	44.1	0.0	0.0	0	0.0	0.0	46.7	0	0.0	0.0	Хабаровский край
