Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58633	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. Авиаторов, 8	43.65	0.0	45.5	0.0	49.55	0	0.0	0.0	48.25	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58634	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. панель 22, Индустриальная, 2	43.65	0.0	45.5	0.0	49.55	0	0.0	0.0	48.25	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58635	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. панель 6, Индустриальная, 83	43.65	0.0	45.5	0.0	49.55	0	0.0	0.0	48.25	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58636	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. Интернациональная, 81	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58637	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. Самотлорская дорога 2ПС, 30	43.65	0.0	45.5	0.0	0.0	0	0.0	0.0	48.25	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58638	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Самотлорское месторождение нефти, а/д Нижневартовск-Радужный, 22км	40.45	0.0	41.35	0.0	0.0	0	0.0	0.0	48.7	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58639	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Самотлорское месторождение нефти, КСП-16  (УТТ БН)	40.45	0.0	0.0	0.0	0.0	0	0.0	0.0	48.7	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58640	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Пермяковское месторождение нефти, ДНС-1	40.45	0.0	0.0	0.0	0.0	0	0.0	0.0	48.7	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58641	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Бахиловское месторождение нефти, Площадка ЦПС	40.45	0.0	0.0	0.0	0.0	0	0.0	0.0	48.7	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58642	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Верхне Колек-Ёганское месторождение нефти и газа, КНС-3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58643	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Радужный, Южная промзона, база АТБ	43.65	0.0	45.5	0.0	0.0	0	0.0	0.0	48.25	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58644	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Самотлорское месторождение нефти, КСП-24	40.45	0.0	0.0	0.0	0.0	0	0.0	0.0	48.7	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
58695	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, г. Нижневартовск, ул. Индустриальная, 66в	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
55367	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, Западно-Полуденное месторожд. нефти	41.6	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
55363	Ханты-Мансийский (Югра) авт.о., Нижневартовский р-н, п. Вах	41.15	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ханты-Мансийский (Югра) авт.о.
