Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56470	Чеченская Респ., Шалинский р-н, с. Мескер-Юрт, а/д М29 'Кавказ' (Ростов-Баку), 658км, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56278	Чеченская Респ., Курчалойский р-н, с. Бачи-Юрт, справа	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56279	Чеченская Респ., Наурский р-н, с. Чернокозово, ул. Ревазова, 17, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56280	Чеченская Респ., Курчалойский р-н, с. Курчалой, ул. Кадырова, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56281	Чеченская Респ., Шалинский р-н, с. Мескер-Юрт, а/д Р306 (Грозный-Шали), 656 км, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56274	Чеченская Респ., Гудермесский р-н, г. Гудермес, а/д М-29 'Кавказ' (Ростов-Баку), 688 км, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56275	Чеченская Респ., Шалинский р-н, г. Аргун, ул. Ленина, слева	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Чеченская Респ.
56276	Чеченская Респ., Урус-Мартановский р-н, с. Алхан-Юрт, а/д М29 'Кавказ' (Ростов-Баку), 624км, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56277	Чеченская Респ., г. Грозный, ул. Ханкальская, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56272	Чеченская Респ., г. Грозный, п. Загряжский, ш. Старопромысловское, слева	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56273	Чеченская Респ., Шалинский р-н, г. Аргун, ул. Кадырова	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
56271	Чеченская Респ., г. Грозный, Старопромысловское ш., справа	40.05	0.0	43.15	0.0	46.55	0	0.0	0.0	41.1	0	0.0	0.0	Чеченская Респ.
