Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
56387	Ямало-Ненецкий авт.о., Тазовский р-н, г. Тазовский, ул. Промышленная, 1	41.8	0.0	42.9	0.0	0.0	0	0.0	0.0	50.3	0	0.0	0.0	Ямало-Ненецкий авт.о.
56388	Ямало-Ненецкий авт.о., Пуровский р-н, г. Тарко-Сале, район АЗГС	36.05	0.0	37.15	0.0	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Ямало-Ненецкий авт.о.
55005	Ямало-Ненецкий авт.о., Надымский р-н, г. Надым, пос.107 км	40.8	0.0	41.9	0.0	0.0	0	0.0	0.0	50.25	0	0.0	0.0	Ямало-Ненецкий авт.о.
55004	Ямало-Ненецкий авт.о., Приуральский р-н, г. Лабытнанги, ул. Подгорная, 25	42.8	0.0	44.2	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Ямало-Ненецкий авт.о.
55003	Ямало-Ненецкий авт.о., Приуральский р-н, г. Лабытнанги, ул. Автострадная, 30	42.8	0.0	44.2	0.0	0.0	0	0.0	0.0	48.5	0	0.0	0.0	Ямало-Ненецкий авт.о.
55002	Ямало-Ненецкий авт.о., Приуральский р-н, г. Салехард, район Аэропорта	40.0	0.0	42.1	0.0	0.0	0	0.0	0.0	47.6	0	0.0	0.0	Ямало-Ненецкий авт.о.
55001	Ямало-Ненецкий авт.о., Приуральский р-н, г. Салехард, ул. Объездная дорога, 48	40.0	0.0	42.1	0.0	0.0	0	0.0	0.0	47.6	0	0.0	0.0	Ямало-Ненецкий авт.о.
55000	Ямало-Ненецкий авт.о., Приуральский р-н, г. Салехард, ул. Маяковского, 64	40.0	0.0	42.1	0.0	0.0	0	0.0	0.0	47.6	0	0.0	0.0	Ямало-Ненецкий авт.о.
60350	Ямало-Ненецкий авт.о., Пуровский р-н, г. Губкинский, а/д Губкинский – Пурпе второй километр	36.05	0.0	37.15	0.0	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Ямало-Ненецкий авт.о.
60351	Ямало-Ненецкий авт.о., Пуровский р-н, г. Губкинский, а/д Губкинский-Ноябрьск, 2-ой км	36.05	0.0	37.15	0.0	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Ямало-Ненецкий авт.о.
60352	Ямало-Ненецкий авт.о., Пуровский р-н, г. Губкинский, ул. Промышленная зона, панель 12	36.05	0.0	37.15	0.0	0.0	0	0.0	0.0	45.3	0	0.0	0.0	Ямало-Ненецкий авт.о.
