Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58669	Ярославская обл., Ростовский р-н, Петровское, ш. Ярославское, 180 км, справа	41.4	0.0	43.68	44.41	47.67	0	0.0	0.0	43.68	0	0.0	0.0	Ярославская обл.
58181	Ярославская обл., Ярославский р-н, п. Карачиха, ул. Школьная, 32 ст.1	40.7	0.0	43.68	44.41	0.0	0	0.0	0.0	44.53	0	0.0	0.0	Ярославская обл.
58182	Ярославская обл., Некрасовский р-н, п. Некрасовское, ул. Советская, 127	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ярославская обл.
58183	Ярославская обл., Ярославский р-н, г. Ярославль, а/д Р151 (Тутаевское ш.), 120, справа	40.95	0.0	43.68	44.41	0.0	0	0.0	0.0	44.53	0	0.0	0.0	Ярославская обл.
58184	Ярославская обл., г. Ярославль, ул. Колышкина, 3 ст.1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ярославская обл.
58185	Ярославская обл., г. Ярославль, ш. Тормозное, 107	40.95	0.0	43.68	44.41	47.67	0	0.0	0.0	44.53	0	0.0	0.0	Ярославская обл.
58186	Ярославская обл., Большесельский р-н, п. Большое село, ул. Усыскина, 38	41.74	0.0	0.0	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Ярославская обл.
58187	Ярославская обл., Гаврилов-Ямский р-н, д. Шалаево, а/д М8 'Холмогоры', 230 км	41.4	0.0	43.68	44.41	0.0	0	0.0	0.0	43.68	0	0.0	0.0	Ярославская обл.
58188	Ярославская обл., Ростовский р-н, г. Ростов, ш. Московское, 8	41.4	0.0	43.68	44.41	0.0	0	0.0	0.0	43.93	0	0.0	0.0	Ярославская обл.
58190	Ярославская обл., Борисоглебский р-н, п. Борисоглебский, ш. Р153 (Угличское), 35 км	41.74	0.0	43.88	0.0	0.0	0	0.0	0.0	45.08	0	0.0	0.0	Ярославская обл.
58191	Ярославская обл., Ростовский р-н, Петровское, ш. Ярославское, 180 км, слева	41.4	0.0	43.68	44.41	47.67	0	0.0	0.0	43.68	0	0.0	0.0	Ярославская обл.
58192	Ярославская обл., Ростовский р-н, г. Ростов, ш. Ярославское, 60	41.4	0.0	43.68	0.0	0.0	0	0.0	0.0	43.5	0	0.0	0.0	Ярославская обл.
58193	Ярославская обл., Ростовский р-н, г. Ростов, ул. Загородная, 42	41.4	0.0	43.68	44.41	47.67	0	0.0	0.0	43.68	0	0.0	0.0	Ярославская обл.
58194	Ярославская обл., Переславский р-н, г. Переславль-Залесский, а/д М8 'Холмогоры' (Московская ул.), 135 км, слева	41.4	0.0	43.68	44.41	47.67	0	0.0	0.0	43.93	0	0.0	0.0	Ярославская обл.
58195	Ярославская обл., Переславский р-н, д. Маурино, ш. Ярославское (Окружная дорога Переяславля-Залесского), 145 км	41.4	0.0	43.68	44.41	47.67	0	0.0	0.0	43.93	0	0.0	0.0	Ярославская обл.
58196	Ярославская обл., Переславский р-н, с. Нагорье, -	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	Ярославская обл.
58197	Ярославская обл., г. Ярославль, пр-т Фрунзе, 1	40.7	0.0	43.68	44.41	47.67	0	0.0	0.0	44.53	0	0.0	0.0	Ярославская обл.
