Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58256	г. Москва, ш. Каширское, 61 к.5	42.3	0.0	46.2	47.2	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58257	г. Москва, ш. Варшавское, 132А стр.1	42.4	0.0	46.4	47.4	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
58660	г. Москва, пр-т 60-летия Октября, вл.19А	42.4	0.0	46.1	47.1	0.0	0	0.0	0.0	0.0	0	0.0	0.0	г. Москва
58685	г. Москва, ул. Б.Новодмитровская, 12Б	42.5	0.0	46.7	47.7	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58689	г. Москва, пр-т Мичуринский, 76А	42.1	0.0	45.9	0.0	0.0	0	0.0	0.0	45.4	0	0.0	0.0	г. Москва
58690	г. Москва, ул. Никулинская, вл.4	42.2	0.0	45.9	46.9	0.0	0	0.0	0.0	45.4	0	0.0	0.0	г. Москва
58114	г. Москва, ул. Милашенкова, 2А	42.5	0.0	46.4	47.4	0.0	0	0.0	52.3	45.9	0	0.0	0.0	г. Москва
58115	г. Москва, ул. Лётчика Бабушкина, вл.2Б	42.1	0.0	45.6	46.6	0.0	0	0.0	52.7	45.3	0	0.0	0.0	г. Москва
58116	г. Москва, ул. Красная Сосна, вл.8	42.0	0.0	45.6	46.6	0.0	0	0.0	52.7	45.3	0	0.0	0.0	г. Москва
58117	г. Москва, ш. Очаковское, вл.22А	42.5	0.0	46.7	47.7	0.0	0	0.0	52.0	46.0	0	0.0	0.0	г. Москва
58118	г. Москва, ул. Рябиновая, 26Б	42.5	0.0	46.7	47.7	0.0	0	0.0	52.0	46.0	0	0.0	0.0	г. Москва
58119	г. Москва, пр-т Волгоградский, 48 к.2	42.4	0.0	46.4	0.0	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58121	г. Москва, ул. Суздальская, 13А	41.5	0.0	46.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	г. Москва
58123	г. Москва, ул. Сельскохозяйственная, вл.30 корп.2	42.5	0.0	46.5	47.5	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58124	г. Москва, пр-т 3-й Угрешский, вл.30 стр.1	42.4	0.0	46.3	0.0	0.0	0	0.0	0.0	45.7	0	0.0	0.0	г. Москва
58125	г. Москва, ш. Варшавское, 172А	42.4	0.0	46.4	47.4	0.0	0	0.0	52.0	45.4	0	0.0	0.0	г. Москва
58126	г. Москва, ш. Энтузиастов, 33Б	42.5	0.0	46.8	47.8	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
58127	г. Москва, ул. Кусковская, 20Б, справа	42.5	0.0	46.8	0.0	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
58128	г. Москва, ул. Обручева, 28/2	41.7	0.0	45.5	46.5	0.0	0	0.0	52.6	44.6	0	0.0	0.0	г. Москва
58133	г. Москва, ул. Профсоюзная, 138А стр.1	42.4	0.0	46.7	47.7	0.0	0	0.0	52.6	46.0	0	0.0	0.0	г. Москва
58136	г. Москва, ул. Лобачевского, 92А стр.1	42.3	0.0	46.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	г. Москва
58137	г. Москва, пр-д Новолужнецкий, 1, стр.1	42.5	0.0	46.2	47.2	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58138	г. Москва, наб. Лужнецкая, 10Б стр.1	42.5	0.0	46.2	47.2	0.0	0	0.0	0.0	45.9	0	0.0	0.0	г. Москва
58139	г. Москва, а/д МКАД, 73 км вл.10	42.4	0.0	46.2	47.2	0.0	0	0.0	0.0	45.8	0	0.0	0.0	г. Москва
58146	г. Москва, МКАД (Трикотажный пр-д), 68 км вл.(д.3), внутренняя	42.4	0.0	45.9	46.9	0.0	0	0.0	0.0	45.8	0	0.0	0.0	г. Москва
58147	г. Москва, ул. Мневники, 10, к 1/1	42.7	0.0	46.8	47.8	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
58148	г. Москва, ул. 3-я Хорошевская, 6	42.7	0.0	46.8	47.8	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
58149	г. Москва, ул. Маршала Катукова, 28	42.7	0.0	46.8	47.8	0.0	0	0.0	0.0	46.0	0	0.0	0.0	г. Москва
