Azs	Address	92	92_fora	95	95_fora	98	98_fora	100	100_pulsar	diesel	diesel_fora	gas	methane	Regions
58085	г. Санкт-Петербург, пр. Александровской фермы, д. 17, к. 2	41.29	0.0	44.59	45.29	0.0	0	0.0	0.0	46.39	0	0.0	0.0	г. Санкт-Петербург
58661	г. Санкт-Петербург, пр. Наставников, д. 2, корп. 1	41.79	0.0	44.99	45.69	0.0	0	0.0	0.0	45.59	0	0.0	0.0	г. Санкт-Петербург
58094	г. Санкт-Петербург, ул. Салова д. 72	41.99	0.0	45.69	46.39	0.0	0	0.0	0.0	46.09	0	0.0	0.0	г. Санкт-Петербург
58086	г. Санкт-Петербург, Коломяжский пр., д. 13, к. 7	42.09	0.0	44.99	45.69	0.0	0	0.0	0.0	46.19	0	0.0	0.0	г. Санкт-Петербург
58077	г. Санкт-Петербург, пр. Непокоренных д. 53	42.59	0.0	45.89	46.59	0.0	0	0.0	0.0	45.59	0	0.0	0.0	г. Санкт-Петербург
58078	г. Санкт-Петербург, ш. Революции д. 86 к.3	40.59	0.0	44.09	44.79	0.0	0	0.0	0.0	44.89	0	0.0	0.0	г. Санкт-Петербург
58079	г. Санкт-Петербург, Октябрьская наб., д. 68. к.2	42.09	0.0	45.49	46.19	0.0	0	0.0	0.0	46.39	0	0.0	0.0	г. Санкт-Петербург
58080	г. Санкт-Петербург, ул. Карпатская д. 1	41.89	0.0	44.99	45.69	0.0	0	0.0	0.0	44.69	0	0.0	0.0	г. Санкт-Петербург
58081	г. Санкт-Петербург, Ириновский пр., д.52	40.79	0.0	44.29	44.99	0.0	0	0.0	0.0	44.99	0	0.0	0.0	г. Санкт-Петербург
58082	г. Санкт-Петербург, ул. Коммуны, д.17	40.89	0.0	44.09	44.79	0.0	0	0.0	0.0	45.69	0	0.0	0.0	г. Санкт-Петербург
58083	г. Санкт-Петербург, пр. Большевиков, д. 49, корп. 2	42.09	0.0	45.49	46.19	0.0	0	0.0	0.0	46.39	0	0.0	0.0	г. Санкт-Петербург
58088	г. Санкт-Петербург, пр. Народного Ополчения, д.26, к. 3	42.49	0.0	45.89	46.59	0.0	0	0.0	0.0	46.79	0	0.0	0.0	г. Санкт-Петербург
58084	г. Санкт-Петербург, ул. Кубинская, д.92	41.99	0.0	45.39	46.09	0.0	0	0.0	0.0	46.39	0	0.0	0.0	г. Санкт-Петербург
56332	г. Санкт-Петербург, ул. Фучика, 23 к.1 лит.А	41.69	0.0	44.89	45.59	0.0	0	0.0	0.0	44.79	0	0.0	0.0	г. Санкт-Петербург
56333	г. Санкт-Петербург, пр-т Дальневосточный, 13 к.1, лит. А	41.99	0.0	45.39	46.09	0.0	0	0.0	0.0	44.99	0	0.0	0.0	г. Санкт-Петербург
56334	г. Санкт-Петербург, ул. Будапештская, 116 лит.А	41.89	0.0	44.99	45.69	0.0	0	0.0	0.0	44.69	0	0.0	0.0	г. Санкт-Петербург
56322	г. Санкт-Петербург, 1-Верхний, пр.Культуры, д.30	42.09	0.0	45.69	0.0	0.0	0	0.0	0.0	44.99	0	0.0	0.0	г. Санкт-Петербург
56321	г. Санкт-Петербург, п. Шушары, ул. Ленина, 2В, литер А	42.29	0.0	45.79	0.0	0.0	0	0.0	0.0	46.29	0	0.0	0.0	г. Санкт-Петербург
56293	г. Санкт-Петербург, пр-т Лахтинский, 2 к.5	41.59	0.0	44.69	45.39	0.0	0	0.0	0.0	45.49	0	0.0	0.0	г. Санкт-Петербург
56284	г. Санкт-Петербург, п. Парголово, Выборгское шоссе д.222, корп.2, лит. А   	41.29	0.0	43.79	44.49	0.0	0	0.0	0.0	45.79	0	0.0	0.0	г. Санкт-Петербург
56247	г. Санкт-Петербург, пр. Ветеранов, д.182, лит. А	42.69	0.0	45.59	46.29	0.0	0	0.0	0.0	45.69	0	0.0	0.0	г. Санкт-Петербург
55931	г. Санкт-Петербург,ш. Южное, д. 61, лит. А,Г	41.79	0.0	44.89	45.59	0.0	0	0.0	0.0	44.69	0	0.0	0.0	г. Санкт-Петербург
55930	г. Санкт-Петербург, пр. Ириновский 22 литер А 	40.79	0.0	44.29	44.99	0.0	0	0.0	0.0	44.59	0	0.0	0.0	г. Санкт-Петербург
55322	г. Санкт-Петербург, пр-т Витебский, д.91, лит. А	42.39	0.0	45.79	46.49	0.0	0	0.0	0.0	45.19	0	0.0	0.0	г. Санкт-Петербург
55321	г. Санкт-Петербург, пр-т Маршала Казакова, д.25, лит.А	42.09	0.0	45.59	46.29	0.0	0	0.0	0.0	45.69	0	0.0	0.0	г. Санкт-Петербург
55320	г. Санкт-Петербург, пр-т Королева, д.40, лит. А	42.59	0.0	45.99	46.69	0.0	0	0.0	0.0	45.79	0	0.0	0.0	г. Санкт-Петербург
